year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2015,45.73095238095239,16.30952380952381,,1/1,0,0,0,0/0,0,0,0,0/0,0,0,0,0/0,59.26731601731602,40.18614718614719,,2/2,0,0,0,0/0
2016,56.03872964732708,31.92312762696377,24.602380952380955,14/16,63.07388941115167,43.68212018174273,,15/15,57.04020581716422,36.65897573804075,29.44251991064491,28/34,56.95424906830242,34.901101867357156,29.71269841269842,32/35,59.91812833759645,40.11293337032805,20.999305555555555,57/61,55.90003121762282,36.709513606483306,24.22488888888889,9/14
2017,54.885815245150695,31.628341896546058,28.404312573553728,28/36,64.61330124166628,45.095528346787404,,30/30,56.371236994130854,35.60817403697069,23.574316837263265,76/90,57.255382564458756,34.07448160509789,48.48,39/40,59.10329283826492,37.45147620593892,28.367902930402927,91/95,58.52254359375444,38.34469538844486,29.287093782286092,28/32
2018,54.849264577502495,31.867596886327252,22.471753246753245,17/23,63.53214749272472,43.37306677351006,,21/21,57.8163641021866,37.472308620715076,28.67189965654878,34/40,56.01840797263144,32.70375699869109,20.390258924082453,28/32,58.67024363266782,37.7995348668514,16.059065934065938,38/41,57.05233947594034,34.76513035820558,28.82606421356421,20/24
2019,52.93383775398013,27.985557403859595,24.950758352758356,14/19,63.753426316065244,44.93889916973441,,13/13,58.46437187209435,38.08778319468177,29.180074252346976,48/59,54.32643271006858,34.45010250366593,31.603986066843216,13/20,58.0895967266835,36.23049505980843,13.0,30/31,55.03999490189595,34.62839620159933,34.570238095238096,8/12
2020,51.67808035714286,28.675833333333333,33.457142857142856,3/4,77.92833333333334,66.41,,2/2,62.02026767676767,41.416535353535345,,5/5,48.715873015873015,30.0,33.009523809523806,1/2,66.38901942355889,47.81500626566416,,4/4,54.35351615646258,27.311079931972788,,2/2
2021,0.0,0.0,0.0,0/0,0,0,0,0/0,58.106741898148144,46.11651234567901,41.28819444444443,3/4,0,0,0,0/0,0.0,0.0,0.0,0/0,0,0,0,0/0
2022,52.27791005291006,26.047619047619044,42.058201058201064,2/4,66.05567027242753,47.39433996626026,,6/6,57.23714624406932,37.28724636638837,23.104662698412703,13/15,58.96484074374699,44.09856263528138,23.916666666666664,2/3,53.54031106459678,30.001773649630792,,4/4,59.077003023431594,45.29092592592593,33.56441798941799,5/7
2023,52.244365891348124,26.256394108569356,,6/6,65.7447924182299,47.835610569985576,,12/12,64.03514123071068,47.19103763110978,25.451124187279795,38/41,49.25145676691729,30.998120300751886,39.975,1/2,62.488440722436934,44.365220165436625,32.25757575757576,7/8,62.640770373332415,42.1415727013659,,8/8
General,54.26427646935863,,,85/109,64.53136581003355,,,99/99,58.33804556212847,,,245/288,56.235529187248765,,,116/134,59.24486022545476,,,233/246,57.66091045207865,,,80/99
