ChatGPT
" for each category


Year Category        Positive  Negatives 
----------------------------------------
2015 Cleaniness        1          0
2015 Services          0          0
2015 Value             0          0
2016 Cleaniness        3          0
2016 Services          4          1
2016 Value             0          0
2017 Cleaniness        8          0
2017 Services          7          2
2017 Value             0          0
2018 Cleaniness        6          0
2018 Services          5          3
2018 Value             0          0
2019 Cleaniness        5          1
2019 Services          3          2
2019 Value             0          0
2020 Cleaniness        3          0
2020 Services          1          1
2020 Value             0          0
2021 Cleaniness        5          0
2021 Services          4          2
2021 Value             0          0
2022 Cleaniness        7          0
2022 Services          6          4
2022 Value             0          0
2023 Cleaniness        0          0
2023 Services          0          0
2023 Location          7          1
2023 General           8          0"
