hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
"Peninsula Excelsior Singapore, A Wyndham Hotel",In desperate need of renovation but can't beat the location,"Reception was busy when I arrived, but I was checked in relatively quickly by a friendly receptionist. I was assigned a room in the Peninsula tower; the other tower is called Excelsior, thus the double name of the hotel. The receptionist said that the rooms in both towers are equal in terms of quality and size. The room was small, almost cramped, and screamed 1995 all over the place. It was worn out but clean. The bed was rock hard and gave me back pain, but on request, they brought an extra mattress pad the next day and after that it was okay. Make sure to ask for that if necessary. There was no socket by the bed (who would have needed that in 1995?). The room came with a desk+chair, armchair+coffee table, fridge (was turned off), safe (was broken), A/C (worked fine) and wifi",4 out of 5,September 2023,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.09950980392156862,0.4091503267973856,54.97549019607844,40.91503267973856,9.950980392156863,Services
"Peninsula Excelsior Singapore, A Wyndham Hotel",5 days in Singapore,"We had fun touring the City in the Garden as locals describes Singapore. There are lots of friendly people. The Hotel's location is walking distance to most of the attractions. It has a comfortable bed, friendly staff and nice food. We'll come back again to Peninsula when we visit Singapore.",3 out of 5,November 2015,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.3642857142857143,0.5,68.21428571428572,50.0,36.42857142857143,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",Old refurnished,Have my stay in the hotel last Jan 2015 during a conference meeting. Overall hotel staff are helpful Meeting room is rather worn out Guest room i am staying linger with cig smokes. Toilet furnishing are abit dirty due to worn out My colleague's room is fine its very clean,3 out of 5,December 2015,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.019285714285714302,0.3788095238095238,50.964285714285715,37.88095238095238,1.9285714285714302,Cleaniness
"Peninsula Excelsior Singapore, A Wyndham Hotel",At the Centre of Singapore,"The location is perfect. The best convenience for a tourist to stay near local transportation. The hotel is located just 500 mts away City Hall MRT and just couple of minutes walking distance from Clarke Quay. You can avail Singapore Tourist Pass from City Hall MRT, it is an ez-link card that offers tourist unlimited travel on Singapore's basic bus services, MRT and LRT trains for the duration that it is valid. You can roam whole Singapore from here by the public transportation. It is one of the memorable experience at the hotel, I want to share- we reached there by early morning but they had arranged the room for us before our scheduled time and moreover an upgraded room. The staff are well mannered and polite. The breakfast was awesome with combination of every tastes around",5 out of 5,December 2015,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.36363636363636365,0.4174242424242424,68.18181818181819,41.74242424242424,36.36363636363637,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",Stunning view across the harbour,"This hotel is clean, centrally located and easy to reach from the airport by the subway. Easy to go any sightseeing place in Singapore city. The view at night across the harbour to the casino was amazing. Good gym and nice pool.",4 out of 5,January 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.44761904761904764,0.730952380952381,72.38095238095238,73.0952380952381,44.761904761904766,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",Excellent Location,"This hotel is one of the best located in the Lion City. Situated in the heart of town, it is near to MRT station, bus routes and taxis are readily available. Close by are excellent shops and delicious eateries. Staff were polite and friendly.",5 out of 5,February 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.6458333333333334,0.6,82.29166666666667,60.0,64.58333333333334,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",Nice hotel in great location,I thought the location was nice and central. Was near a metro station as well. The room was pleasant and inns a wonderful view of Singapore. The buffet in the restaurant was tasty. Friendly and helpful staff also. I've stayed there a few times now. For the money it's a very nice place.,4 out of 5,February 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.4235416666666666,0.6520833333333333,71.17708333333333,65.20833333333333,42.35416666666666,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",Great hotel in walking distance to main attractions,"Great hotel within walking distance to Raffles for a Singapore Sling, Raffles Shopping Centre and continuing on to the Waterfront Promanade, Marina Bay Sands area and Gardens by the Bay attractions. Take a map and off you go! Our room was very modern, clean and comfortable. We arrived during the Chinese New Year celebrations, the hotel was fully booked. On arrival early morning we were told that our room would not be ready until the afternoon 1-2pm. This is something to consider as if you've flown from afar and fly out in February you may find the problem we did. Being extremely tired and having no room to lay our head for several hours. We eventually found that we could leave our luggage at a location on the ground floor with concierge and then half awake wandered the",4 out of 5,February 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.22469696969696976,0.47176767676767684,61.23484848484849,47.17676767676768,22.469696969696976,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",Good Location,"I liked: 1) Our room was on the 21st floor with wonderful view 2) Good Location: very near MRT station and within walking distance to Clark Quay where there are restaurants & bars 3) Two complimentary bottles of water daily 4) Big safety box inside closet I did not like: 1) Not enough closet space and not enough drawers 2) Toilet poorly ventilated 3) Staff not very knowledgeable: We asked tourist questions to front desk & were referred to concierge office staff who also did not know. Also when when we asked questions about New Year's Eve at the same hotel, they did not provide information 4) Gym is not new and not very clean",3 out of 5,February 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.12493075551899079,0.4113266145619086,56.246537775949534,41.13266145619086,12.493075551899079,Cleaniness
"Peninsula Excelsior Singapore, A Wyndham Hotel",Singapore stopover,"I didn't choose this hotel, my travel agent did and she picked a great one. The room was very comfortable and the hotel is in a good location to get to Marina Bay or the nearest MRT station. There is a Sky Lounge where you can grab a cocktail and stand outside to marvel at the view (it looks especially good at night). Cocktails aren't too expensive - I paid 18.00 for a Singapore Sling as I wanted to make sure I had one (although I did visit the Long Bar and have more the following day) I had two nights here as a stopover on the way home to the UK from Australia and would definitely stay again.",5 out of 5,February 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.3154545454545455,0.5898989898989899,65.77272727272727,58.98989898989899,31.54545454545455,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",Second visit,"Stayed for the second time ( and probably again this year) because we like where it is. Not too far from Clarke Quay, nice night view to Marina Bay hotel from a short stroll down the street, and it's just around the corner from the Raffles shopping centre ( our favourite) . You can walk probably 20 mins to Orchard Road.. we did walk to marina bay shopping mall and hotel too through a series of underground tunnels. Hotel is old but has 2 nice pools, the rooms are nice, tidy clean and of a reasonable size. Perfectly ok. Reception area always busy and so is the excursion desk downstairs. Staff helpful though ...",4 out of 5,March 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.2777777777777778,0.5914529914529914,63.888888888888886,59.145299145299134,27.77777777777778,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",Perfect 2-night stay!,"We stayed here after our cruise and were delighted to be able to check in to our room earlier than expected. I've stayed in 5-star Singapore hotels when there for work and this hotel I felt has much more personality. The location is ideal, close to shopping and an abundance of eateries. We never ate in the hotel as there are lots of local fun places to dine for breakfast, lunch and dinner just down on the street level and in the malls below. The hotel pools were really relaxing and a nice place to chill after a big day out. Also, Fort Canning Park is just a couple blocks away and a beautiful place for an early morning workout. One drawback which was nothing to do with the hotel is that getting a taxi from the taxi rank outside can take forever....we gave up and used Uber",4 out of 5,April 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.22465277777777776,0.4852430555555556,61.23263888888889,48.52430555555556,22.465277777777775,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",Location Is Great,"Was in a sudden plan to visit Singapore, accompanied my sister and nieces. Had a short time to book a hotel and got this Peninsula Excelsior. The hotel is quite old but clean at the lobby area. However, we must pay attention in the room cleanliness quality. Staffs were ok.....mixed of nationalities.",3 out of 5,April 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.11666666666666667,0.42500000000000004,55.833333333333336,42.50000000000001,11.666666666666666,Services
"Peninsula Excelsior Singapore, A Wyndham Hotel","Great hotel, great location","This hotel is about as central to the downtown ( Parliament, City Hall ) as you can get. Its got lots of little restaurants and Kaya places all around. The hotel is very large and mid to high for the market but its clean, excellent staff and decent sizes rooms. I would recommend this of the ""5 stars"" that charge double the money. Its not as ritzy but just as good for half the cost. Two thumbs up",5 out of 5,April 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.21070346320346323,0.4527705627705629,60.53517316017316,45.27705627705629,21.070346320346324,Value
"Peninsula Excelsior Singapore, A Wyndham Hotel",Not good internet,"I stayed almost week here when participated in food exhibition! Overall not so nice hotel, central location near to metro station! Breakfast not so good, nice pool! Rooms so so, very big problems with internet! You need to buy internet and still connection poor! I spend hours to call to staff and ask solve this problem...finally they asked anyway pay full price for such bad service! Will not return here!",3 out of 5,April 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.09318181818181817,0.5178787878787879,54.659090909090914,51.787878787878796,9.318181818181817,Services
"Peninsula Excelsior Singapore, A Wyndham Hotel",Nice hotel in the centre of Singapore,This is a nice hotel. Strange that the lobby is on the first floor and you have to give your bags on the ground floor. There are only 3 elevators and it's a very high building. When we were there one of the elevators didn't work so you had to wait a long time to go up or down. That is very irritating. Breakfasdt is good. The staff is friendly.,4 out of 5,May 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.13574444444444445,0.5974222222222222,56.78722222222222,59.74222222222222,13.574444444444445,Cleaniness
"Peninsula Excelsior Singapore, A Wyndham Hotel",Great family hotel,"Great staff, great rooms, great breakfast. Nothing can be faulted with this hotel. Very close walking distance to local public transport and also easily accessible from the airport. Fantastic convenance store just around the corner",5 out of 5,May 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.42187500000000006,0.4864583333333333,71.09375,48.645833333333336,42.18750000000001,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",A good place to stay,"In general it was a nice stay, eventhough the view could have been better. I guess I was in Excelsior tower and the Peninsula tower shielded my view to MarinaBay Sands hotel and around. My room wasn't the cleanest room I have ever seen, but I guess the high humidity might have played its role. The location is perfect, close from everything. Tip for runners: go eraly in the morning or late in the night and take a bottle of water. I went @ 7am and came after 5km wet to the bone. The humidity was insane.",4 out of 5,May 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.11374999999999996,0.6925,55.6875,69.25,11.374999999999996,Amenities
"Peninsula Excelsior Singapore, A Wyndham Hotel","Great View, Walking Distance to Marina Bay! (1-hr walk :D )","The hotel location is BEST for us. It was a family travel and this hotel is near to almost great tourist spots in Singapore. Walking distance to City Hall train station, Malls and restaurants. One thing that makes this hotel HIGHLY recommended... you can walk from Peninsula hotel to Marina Bay, Esplanade etc through the underground/Subway. GREAT EXPERIENCE! We left the hotel at 0800hr and returned at 2230hrs. The only taxi ride we made was from Marina Bay Sands to Clarke Quay and back to hotel. We walked from Peninsula to Harbourfront to Marina Bay and explored all the tourist spots within about 7 to 10km radius by walking. That is how near Peninsula hotel to Marina Bay :D The room itself has the view of the Marina Bay. the Eye etc. great to colors at night, a sight to",5 out of 5,June 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.4509090909090909,0.5354545454545454,72.54545454545455,53.54545454545454,45.09090909090909,Location
"Peninsula Excelsior Singapore, A Wyndham Hotel",Good - again,I have stayed at this hotel a number of times and I was there again last June (just before the neighbouring Funan sadly closed). As usual I found the stay to be very satisfactory. What I didn't mention in my last review is how nice the pools are; there are 2 of them at the lobby level (a few floors above ground) and the one opposite the check-in counter is worthy of any 5 star hotel which makes it a great selling point for the Peninsula-Excelsior. By Singaporean standards the room prices are quite reasonable so this is always on my list of hotels to check when I book a trip to Singapore.,4 out of 5,June 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.13194444444444445,0.3611111111111111,56.59722222222222,36.11111111111111,13.194444444444445,Value
"Peninsula Excelsior Singapore, A Wyndham Hotel",Central location and easy to go anywhere,The rooms are pretty good. I have been staying in the hotel quite often. Breakfast is decent. The view was good. And they have a new executive lounge. Is new so not much experience I guess. Rooms are clean and up to standard.,4 out of 5,June 2016,4.0 of 5 stars,#136 of 373 hotels in Singapore,0.2617845117845118,0.5195286195286195,63.089225589225585,51.95286195286195,26.17845117845118,Cleaniness
