ChatGPT
" and within each category. 

For 2017, the number of positive versus negative reviews in each category were: 

Cleaniness: Positive (3) vs Negative (0) 
Services: Positive (3) vs Negative (0) 
Value: Positive (3) vs Negative (0) 

For 2018, the number of positive versus negative reviews in each category were: 

Cleaniness: Positive (5) vs Negative (3) 
Services: Positive (5) vs Negative (2) 
Value: Positive (7) vs Negative (3) 

For 2019, the number of positive versus negative reviews in each category were: 

Cleaniness: Positive (9) vs Negative (0) 
Services: Positive (7) vs Negative (3)
Value: Positive (9) vs Negative (2) 

For 2020, the number of positive versus negative reviews in each category were: 

Cleaniness: Positive (4) vs Negative (2) 
Services: Positive (7) vs Negative (4) 
Value: Positive (11) vs Negative (2)

For 2021, the number of positive versus negative reviews in each category were: 

Cleaniness: Positive (7) vs Negative (2) 
Services: Positive (9) vs Negative (3)
Value: Positive (10) vs Negative (2)

For 2022, the number of positive versus negative reviews in each category were: 

Cleaniness: Positive (10) vs Negative (3) 
Services: Positive (10) vs Negative (2) 
Value: Positive (9) vs Negative (1)

For 2023, the number of positive versus negative reviews in each category were: 

Cleaniness: Positive (13) vs Negative (3)
Services: Positive (14) vs Negative (0)
Value: Positive (24) vs Negative (0)
Location: Positive (14) vs Negative (0)
General: Positive (24) vs Negative (0)"
