hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Quincy Hotel Singapore by Far East Hospitality,Excellent,First time In Singapore and stayed at this gem of a hotel. Amazing friendly staff. Clean room with comfy big bed. 24 hour access to tea/coffee and soft drinks/snacks. 5 minutes walk to Orchard Rd and the accessible MRT. Would recommend to family and friends. Infinity pool a bonus!,5 out of 5,September 2023,4.0 of 5 stars,#22 of 372 hotels in Singapore,0.3086309523809524,0.46547619047619054,65.43154761904762,46.54761904761905,30.86309523809524,Amenities
Quincy Hotel Singapore by Far East Hospitality,Quite expensive! More than we were notified,"Staff at hotel were very good and service was great. Room was lovely but not the best we have stayed in. Swimming pool was really small. Found it very expensive when charged. Originally when we booked we knew it would be dear but ended up being a lot more than we thought. In August we received a notification that we would pay $718 NZ ( for everything, 2 nights) before we stayed. I have a photo of this but it will not let me upload it to this site. This was not charged at the time as stated ( we were travelling in Europe and found out later ) when payment was processed after we left Singapore it was $770.25! Understand about exchange rates etc but this seems excessive given that it was not over a long time. Spoken to different friends who have recently stayed in Singapore and",4 out of 5,September 2019,4.0 of 5 stars,#22 of 373 hotels in Singapore,0.2060714285714286,0.5278571428571428,60.30357142857143,52.78571428571428,20.60714285714286,Value
Quincy Hotel Singapore by Far East Hospitality,Will definitely go back,"This is a great hotel with great location. Walking distance to Orchard road and major public transportation station. It offers free breakfast, afternoon refreshments, light dinner and cocktails! And free minibar in the room!!! All the hotel staffs are very friendly. Highly recommend it.",5 out of 5,September 2019,4.0 of 5 stars,#22 of 373 hotels in Singapore,0.40912500000000007,0.5556666666666668,70.45625,55.56666666666668,40.91250000000001,Location
Quincy Hotel Singapore by Far East Hospitality,Good Service,"I stay 1st time here. Good service, Cleanness and good location. A little away from Orchard. So it’s quiet at night. But visitors can visit to downtown in 10 min. Price is high, but considering here is Singapore, It’s acceptable.",4 out of 5,September 2019,4.0 of 5 stars,#22 of 373 hotels in Singapore,0.27449999999999997,0.5146666666666667,63.725,51.46666666666667,27.449999999999996,Value
Quincy Hotel Singapore by Far East Hospitality,Review from corporate guest,"Very satisfied with the service. Nice selection of pillows Food is great, and I love that you provided dinner so I dont wave to go out. Well done! Note : I had a difficulty finding the elevator button but no problem.",5 out of 5,September 2019,4.0 of 5 stars,#22 of 373 hotels in Singapore,0.66875,0.8375,83.4375,83.75,66.875,Services
Quincy Hotel Singapore by Far East Hospitality,A great small hotel,"For a comfortable, reasonably priced, convenient for walking and transport,interesting buffet daily and the most friendly and helpfui staff look no further than the Quincy Hotel. As a single mature woman I always felt safe and never alone in such a friendly place.",5 out of 5,September 2019,4.0 of 5 stars,#22 of 373 hotels in Singapore,0.21623376623376628,0.4285714285714286,60.811688311688314,42.85714285714286,21.62337662337663,General
Quincy Hotel Singapore by Far East Hospitality,Good Hotel in Good Location,"Really liked this hotel as it was modern, clean & in a good location. Small pool but for the four days we were there every time we used it we had it to ourselves. The bonus of this hotel is the complimentary food & drinks served between 6-8pm.",5 out of 5,September 2019,4.0 of 5 stars,#22 of 373 hotels in Singapore,0.3194444444444445,0.55,65.97222222222221,55.00000000000001,31.944444444444446,Amenities
Quincy Hotel Singapore by Far East Hospitality,"Fantastic staff, clean, great value for money","My wife and I had 3 nights here in September, we enjoyed good food morning and night and friendly and helpful staff.Highly recommend. Our clever travel agent found this for us from England and we scored a great special deaal they do from time to time.",5 out of 5,September 2019,4.0 of 5 stars,#22 of 373 hotels in Singapore,0.4831349206349207,0.6591269841269841,74.15674603174604,65.91269841269842,48.31349206349207,Services
Quincy Hotel Singapore by Far East Hospitality,Our home away from home,"We were offered daily breakfast, light lunch and refreshments, along with cocktails and a light meal in the evening and the staff were great. Nothing was too much trouble. Our room had some lovely city views of Singapore and all the amenities you could ask for, including a selection of daily mini bar items. Was a bit of a walk to the nearest MRT, but when enjoying so much good hospitality, we were more than happy to walk. Would definitely recommend for couples and families.",5 out of 5,September 2019,4.0 of 5 stars,#22 of 373 hotels in Singapore,0.3666666666666667,0.525,68.33333333333333,52.5,36.66666666666667,Amenities
Quincy Hotel Singapore by Far East Hospitality,Brilliant,"I cannot speak highly enough of The Quincy. The staff were lovely. The rooms were well presented. The food choices at breakfast and evening meal were great, the afternoon treats too. The minibar, the toiletries faultless. It had a handy location to Orchard too. Definitely recommend",5 out of 5,September 2019,4.0 of 5 stars,#22 of 373 hotels in Singapore,0.48333333333333334,0.7333333333333334,74.16666666666667,73.33333333333334,48.333333333333336,Services
