hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Rendezvous Hotel Singapore by Far East Hospitality,Great contral location accommodation,"W stayed at the Rendezvous Singapore for three nights in August 2019. The hotel was very clean, the service was fine and friendly and the room excellent. Very clean, comfortable and reasonably priced. It is in an excellent central location within walking distance of most city attractions and shopping.",4 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.48450000000000004,0.697,74.22500000000001,69.69999999999999,48.45,Amenities
Rendezvous Hotel Singapore by Far East Hospitality,EXCELLENT HOTEL AND FABULOUS STAFF,"After much research we chose the Rendezvous and a Club Room. Wow! We were not disappointed! From the moment we stepped in to the hotel we felt at home! We were welcomed at the club check in by the truly wonderful Sofia! She took us into the lounge and got us a drink whilst she did the paperwork. Our room was huge, comfortable and very clean. The bed was so comfortable that we didn’t want to get out it in the morning! The club lounge is must definitely worth every penny. It’s peaceful and there’s a good selection of drinks and snacks and breakfast can be taken there or you can opt for the main restaurant. The staff are all wonderful but in particular Sofia and Kiki! They really go out of their way to please you! The hotel is in a fabulous central location. The MTR and bus stops",5 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.40450980392156866,0.6280392156862745,70.22549019607844,62.80392156862745,40.450980392156865,General
Rendezvous Hotel Singapore by Far East Hospitality,Great Services,"Made a business trip, 2nd time staying here in 1 month. Great location, super awesome and friendly staff. Flexible with check-out so I can work my check-out around my meetings. Great staff, especially Sofia from Club floor",5 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.47261904761904766,0.6666666666666666,73.63095238095238,66.66666666666666,47.261904761904766,Services
Rendezvous Hotel Singapore by Far East Hospitality,Aug2019,Rendezvous is a nice hotel but windows are not sound-proof; hence we heard the noise outside the hotel during the night event. We had difficulty sleeping because of the loud sound from the event. The lavatory sink drainage was not so efficient.,3 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.275,0.5625,63.74999999999999,56.25,27.500000000000004,General
Rendezvous Hotel Singapore by Far East Hospitality,Centric hotel,"We spent four days at this hotel, staff very friendly, perfect location to go everywhere. Small pool but it did the job, breakfast was just ok, clean rooms. We asked for a take away breakfast as we had an early departure and I am afraid was not good enough, we had to throw them away, dried cheese sandwich with small pastries from the previous day, bearing in mind the restaurant was opened for breakfast at 6:30 and we left at 6:45 they should have provided better food",3 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.06916666666666667,0.4877777777777778,53.45833333333333,48.77777777777778,6.916666666666667,Services
Rendezvous Hotel Singapore by Far East Hospitality,My Experience,The hotel has good services but needs to improve on the customer services especially on the arrival day by showing the guests to their rooms and provide some general orientation. Otherwise it was a pleasant experience for me.,4 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.37083333333333335,0.7666666666666667,68.54166666666667,76.66666666666667,37.083333333333336,Services
Rendezvous Hotel Singapore by Far East Hospitality,Sanctuary in Singapore,"Our first visit to Singapore and I can highly recommend the Rendezvous after spending 4 nights in a Junior Suite. Room was spacious, clean and really quiet. Service was fantastic, in particular, Sofia, who could not do enough for us whilst in the Clubroom. Would recommend taking the Club package which gives you access to food/refreshments morning and night. Located close to Orchard Rd and a short walk to Raffles and the other main attractions. Plenty of eateries plus a rail station right outside the door means you have plenty of options. Would definitely stay here again.",5 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.12851648351648354,0.441080586080586,56.42582417582418,44.1080586080586,12.851648351648354,Location
Rendezvous Hotel Singapore by Far East Hospitality,Banquet wedding,"we love rendezvous. all the staffs,service,facilities and coordinator are so nice! glad we choose rendezvous❤️ Highly recommended! You wont regret!! But get feedback from my mother in law’s friend,they were still drinking and chit chat but got one lady parttimer is so rude just take away their drink and chase them to leave the banquet which is not even 4pm,the banquet officially ends at 4:30pm.the parttimer didnt even wear tag name and keep Black Face since banquet started.pls train and educate ur parttimer,DONT LET SUCH PPL SPOIL RENDEZVOUS REPUTATION!",5 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.22797619047619047,0.6676190476190477,61.398809523809526,66.76190476190477,22.797619047619047,Services
Rendezvous Hotel Singapore by Far East Hospitality,Central hotel,We booked into a Junior suite with access to the Club Room. In the club room you can enjoy breakfast and Sophia does a wonderful job of helping guests in anyway she can. The hotel is showing its age in places but the staff more than make up for that. It is close to two train lines and is nice and central to a lot of things.,5 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.5,0.65,75.0,65.0,50.0,Services
Rendezvous Hotel Singapore by Far East Hospitality,"a quiet room, close to everything",Great location. Quiet Hotel. Clean and spotless pool. The rooms need to improve their ventilation. Very good breakfast in a extended time. Great welcoming and departing. House keeping need to improve.,4 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.5753333333333334,0.6626666666666667,78.76666666666668,66.26666666666668,57.53333333333334,Cleaniness
Rendezvous Hotel Singapore by Far East Hospitality,Good location but tired,This hotel is in a great location in central Singapore. Many shopping and eating locations are within walking distance. The buffet breakfast was good. The rooms are a bit dated and have minimal amenities but clean and comfortable. The tv didn’t work and it needed a room change on day 2. Staff were friendly and helpful. Overall not great value for money if you shop around on line.,2 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.26416666666666666,0.545,63.208333333333336,54.50000000000001,26.416666666666664,Value
Rendezvous Hotel Singapore by Far East Hospitality,Value for money in an excellent location.,"The facilities are well maintained, the location is extremely convenient. Entrance and public areas very nicely decorated, calm. The rooms were comfortable, clean and quiet. Bathroom nicely decorated, furniture and caulking a little tired. Although we only had the breakfast buffet, the food was good and the selection standard. We received complimentary late check out. The staff were exemplary, could not be faulted.",4 out of 5,August 2019,4.0 of 5 stars,#52 of 373 hotels in Singapore,0.1622777777777778,0.6366666666666666,58.11388888888889,63.66666666666666,16.22777777777778,Amenities
