ChatGPT
".

For 2019:
Cleaniness: Positive 2, Negative 0
Services: Positive 5, Negative 0
Value: Positive 1, Negative 0 
Amenities: Positive 3, Negative 1 
Location: Positive 3, Negative 0 
General: Positive 0, Negative 0 

For 2020:
Cleaniness: Positive 1, Negative 0 
Services: Positive 2, Negative 1 
Value: Positive 1, Negative 0 
Amenities: Positive 0, Negative 0 
Location: Positive 1, Negative 0 
General: Positive 1, Negative 0 

For 2021:
Cleaniness: Positive 0, Negative 0 
Services: Positive 1, Negative 0 
Value: Positive 0, Negative 0 
Amenities: Positive 0, Negative 0 
Location: Positive 0, Negative 0 
General: Positive 0, Negative 0 

For 2022:
Cleaniness: Positive 0, Negative 0 
Services: Positive 1, Negative 0 
Value: Positive 1, Negative 0 
Amenities: Positive 1, Negative 0 
Location: Positive 0, Negative 0
General: Positive 1, Negative 0 

For 2023:
Cleaniness: Positive 0, Negative 0 
Services: Positive 2, Negative 0 
Value: Positive 0, Negative 0 
Amenities: Positive 0, Negative 0 
Location: Positive 1, Negative 0 
General: Positive 0, Negative 0"
