hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Royal Plaza on Scotts,Very nice hotel,"Good hotel, nice clean and strategic. Staff very nice and helpfull They provide free pocket wifi too so you dont have to buy any local simcard Room is big and nice Will recommend to friends and family And definetely will go back there when we go to sgp again",5 out of 5,September 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.38296296296296295,0.5777777777777778,69.14814814814815,57.777777777777786,38.2962962962963,Amenities
Royal Plaza on Scotts,Relaxing break in Singapore!,Had a wonderful five night stay in Singapore. Service with a smile - first impression is very important and I was not disappointed. From the door man to the housekeeping staff - such courteous & friendly bunch!! Great location - plenty of food options and is a shoppers paradise.,5 out of 5,October 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.49232638888888897,0.6592592592592593,74.61631944444444,65.92592592592594,49.2326388888889,Services
Royal Plaza on Scotts,Good upgrade. Excellent location,Good upgrade. Excellent location. Disciplined and helpful staff. Very comfortable bed and pillows. Quite a complete selection of amenities and refreshment provoided 4 lifts so a very short wait each trip to and from the room.,5 out of 5,October 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.46399999999999997,0.678,73.2,67.80000000000001,46.4,Services
Royal Plaza on Scotts,Family Holiday,"Good location, clean and comfortable. friendly staff and good services .....the most important is the hotel location is very strategis....near to public fasilities, MRT, BUS, Mall etc. the hotel price not to expensive",4 out of 5,October 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.3141666666666667,0.5766666666666668,65.70833333333333,57.66666666666668,31.41666666666667,Location
Royal Plaza on Scotts,Nice but noicy guests,"The hotel is nice, big, and apparently received several awards (they are on display in the lobby). The room was good and clean, the breakfast was abundant. The negative point was that when other guests were talking in the corridors we could hear them loud snd clear in the room. I woke up several times. Ware these party guests?",4 out of 5,October 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.1743055555555556,0.47152777777777777,58.715277777777786,47.15277777777778,17.43055555555556,Cleaniness
Royal Plaza on Scotts,Pleasant and convenient,"Old and reliable establishment, recently renovated. Convenient location closed to Orchard Road shopping and eateries. Always friendly, the lobby staff and reception are most welcoming.Complimentary drinks in room are .appreciated but we only consume the mineral water. As senior citizens, we avoid the sugary drinks. We also skipped the buffets at the hotel as we avoid heavy meals. Perhaps the hotel can package a different and lighter meal program for seniors. so we can't give you an honest feedback on the food quality.But have to say, their advertisement for middle eastern food looks very enticing! Housekeeping staff were very prompt with our request for extra towels and a prayer mat and clean our room very well. Wifi needs some improvement as you need to find a proper place in",4 out of 5,November 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.14322916666666669,0.3968749999999999,57.161458333333336,39.68749999999999,14.322916666666668,Amenities
Royal Plaza on Scotts,my stay,"quite poor, most of the upgrade appears superficial. The feeling of things being money orientated was very evident. really wanted it to be better than it was. really believe everything laid out was not with europeans in mind.",1 out of 5,November 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.22083333333333333,0.3875,61.04166666666666,38.75,22.083333333333332,Value
Royal Plaza on Scotts,Used to be better,"Went there for halal breakfast but it was too the same everyday, boring that u dont mind missing. But praying area is great. Cleanliness is acceptable and services could have been better. Would i go back? Just maybe.. might want to consider next door w other hotel that provides halal breakfast too!",2 out of 5,November 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,-0.028472222222222208,0.3777777777777778,48.576388888888886,37.777777777777786,2.847222222222221,Amenities
Royal Plaza on Scotts,Nice & convenient hotel,"Good location, close to MRT and bus stations. Many restaurants and shopping mails outside the hotel. Big room and lobby. Reasonable room rate. However, there are always many people staying in the lobby which made me not feeling so good.",4 out of 5,November 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.3714285714285714,0.42142857142857143,68.57142857142857,42.142857142857146,37.14285714285714,Location
Royal Plaza on Scotts,Nice,Wonderful experience and will definitely stay again! This is my second time to stay here and this time was even better than before. Visiting Singapore is a great experience but staying at the Royal Plaza makes it an even greater one.,5 out of 5,November 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.4666666666666666,0.5416666666666666,73.33333333333333,54.166666666666664,46.666666666666664,Amenities
Royal Plaza on Scotts,Royal Plaza Experience,"Elegance hotel, friendly and helpful staff, clean and cozy room, awesome food buffet. Short walking distance to shopping mall (Far east plaza, Takashimaya, Paragon) Easy to find taxi and grab with the help of Syed.",5 out of 5,November 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.29642857142857143,0.7261904761904762,64.82142857142857,72.61904761904762,29.642857142857142,Location
Royal Plaza on Scotts,i love RP,"My go to hotel in Sg. Staff there were great, even room service when I ordered food, the lady who picked up and took my order was sweet. The second meal I ordered through room service, the man who took my order (steak, which was superb) was kind to ensure my meal did not contain corn cos I am allergic to corn. The bellmen were very kind to let me put my last minute shopping goodies into my luggage with privacy in the baggage storage.",5 out of 5,December 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.5042857142857143,0.6238095238095237,75.21428571428572,62.38095238095237,50.42857142857143,Services
Royal Plaza on Scotts,Good hotel to stay,Hotel was awesome. Great customer service. Dinner was awesome. Great location and everything is nice about the hotel. Only problem is there's so much receptionist but i called more than 10 times from my room to no answer.,5 out of 5,December 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.6124999999999999,0.775,80.62499999999999,77.5,61.24999999999999,Services
Royal Plaza on Scotts,Staycation,"Stayed over one night, the room is little bit small.As I expected the room should be bigger than I thought. Anyway we only stayed for one night. The toilet looked little bit old but at least it cleaned. The most important is the bed which is comfortable and make me sleep throughout my night.",4 out of 5,December 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.0537878787878788,0.5272727272727272,52.68939393939394,52.72727272727272,5.37878787878788,Cleaniness
Royal Plaza on Scotts,Best location!,Excellent and Friendly staff members. Location is superb and central to many big malls. Getting groceries is conveniently next door at Isetan. Duty Free Mall is at the same building and convenient to get gifts.,3 out of 5,December 2019,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.3638888888888889,0.47500000000000003,68.19444444444444,47.5,36.388888888888886,Services
Royal Plaza on Scotts,Not as good as before,"I used to stay at this hotel quite often. One of the reasons was that there were several choices of free drinks provided in the room’s fridge (soft drinks, juices, and even Bir Bintang). I noticed that the owner of this hotel has changed, because some of the services that were previously provided are now reduced or even no longer provided, such as the free drinks, now only provided 2 small cups of juice; and 2 bottles of water on the first day, instead of 4 bottles on other days. When I arrived at the hotel and it was already 4 p.m., the room was not ready until 5 p.m., while the check in time should be at 2. The amenities were also lacking. Only 1 small bottle of shampoo (and also other toiletries) was provided on the first day, which was not enough to use for 2 persons. The",2 out of 5,January 2020,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.02395833333333334,0.4895833333333333,51.197916666666664,48.95833333333333,2.395833333333334,Services
Royal Plaza on Scotts,Not For Tourists!,Don't be fooled by the stunning entrance - the room although spacious and spotlessly clean lacked facilities. There was only hanging space for clothes and no drawer space so we basically lived out of our suitcase. Minimal tea and coffee in the room but only Coffeemate so had to go out and buy milk for tea. There was no Tourist information available for places to go and we had to ask for a map. The only Bar was a very small area on the 1st floor open from 6pm till 10pm so nowhere to sit and relax. I had asked on booking for a room on a low floor as I do not care for Lifts and preferred to use the stairs. On arrival I was taken through the kitchens to a back staircase to get to the 4th floor! I did find a better route by myself but having asked the question about stairs,3 out of 5,January 2020,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.11180555555555556,0.6266666666666667,55.59027777777777,62.66666666666667,11.180555555555555,Location
Royal Plaza on Scotts,Easy Singapore Stopover,A nice hotel with helpful staff. The bed was very comfortable. Awesome shower. Very convenient location. Lots of shops nearby. Only issue was our children's room was several rooms down the corridor and we would have preferred it closer.,5 out of 5,January 2020,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.30920634920634926,0.6555555555555556,65.46031746031747,65.55555555555556,30.920634920634924,Cleaniness
Royal Plaza on Scotts,Not a kid friendly hotel.,"No kids channel on tv and problem with AC, hot water and wifi.. other than that, location is great! At the heart of Orchard road. Booked a suite n wishEd it was slightly more bigger. Hotel staffs are friendly and smiley.",3 out of 5,February 2020,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.3333333333333333,0.5791666666666667,66.66666666666666,57.91666666666667,33.33333333333333,Value
Royal Plaza on Scotts,Heartless in a time of need,I was due to visit Singapore on the way to a medical conference overseas. The conference was cancelled due to the coronavirus and as a medical professional i have been asked to stay in Australia to assist with the current situation. Also the government has directed for the 1st time in history 'Do Not Travel' -despite this this hotel would not allow me to reschedule to the new conference date in September. Instead they took my money and said there was no reason I could still not come. All of my other bookings I have had to cancel for this trip and 2 others planned have allowed free cancellation or at least a free rebook. Not this hotel,1 out of 5,March 2020,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.03285123966942149,0.3708677685950414,51.64256198347107,37.08677685950414,3.2851239669421486,Services
Royal Plaza on Scotts,ok and average,Nothing fancy nor memorable. More can be improved especially the suite rooms and premiere lounge. Good thing is the check-in and check-out as the front office staff were friendly and efficient. Location is the main draw to this hotel.,3 out of 5,March 2020,5.0 of 5 stars,#114 of 372 hotels in Singapore,0.3736111111111111,0.6555555555555556,68.68055555555556,65.55555555555556,37.361111111111114,General
