hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
"Shangri-La Rasa Sentosa, Singapore",Totally relaxing!,"No matter if you are staying a day or two or a week or even longer this hotel is just bloody good. Friendly, luxurious, tropical, modern, cozy and relaxing. But don't bother go to the beach. The pool is just fine. We, 4 adults and 2 children arrived half a day too early but we got a private place and a small VIP lounge. Very sweet. Thanks! (Beware of the monkeys climbing on the hotel facade, searching the balconies for food.)",5 out of 5,May 2017,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.09000000000000001,0.4863888888888889,54.50000000000001,48.63888888888889,9.000000000000002,General
"Shangri-La Rasa Sentosa, Singapore",Best family resort in Singapore,"Close to all the family entertainment district , with Universal Studios, Aquarium, monorail, shops and playgrounds. The area also provides free bus transport scheduled around the island, which is less cost to manage. Shopping centres are within this free bus transport, to provide a multitude of eating experiences. Well situated for some quiet time, the resort comes with many pools and it's own water park area, to occupy the kids....they will play all day on this. The weather is great. There is even a beach on your doorstep. Food restaurants are well catered, covering all tastes for breakfast. Dinners also are well catered, with different themed nights, reasonably priced. Rooms are clean and comfortable, and again reasonably priced. Best hotel for a family.",5 out of 5,November 2017,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.33571428571428574,0.5607142857142856,66.78571428571429,56.07142857142856,33.57142857142858,Location
"Shangri-La Rasa Sentosa, Singapore",Nice hotel,This hotel is one of the best hotel in sentosa island why ? It’s suitable for both families with children and couples or young travelers Has private big and clean beach Very big swimming pool Very nice breakfast Nice and friendly staff Big and nice view rooms And located near to all attractive places Highly recommended,4 out of 5,December 2017,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.3621111111111111,0.553,68.10555555555555,55.300000000000004,36.21111111111111,General
"Shangri-La Rasa Sentosa, Singapore",One of the Best Tropical Beach Resorts,"Nothing beats the sun, sea and surf experience with family and friends, than what we had at The Rasa. There was hardly anything that was not available inside the resort - excellent rooms, superb food, great outdoors, and very well connected by shuttle buses and MRTs with the main Singapore city. Overall - A top rated resort in a top rated destination.",5 out of 5,January 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.36750000000000005,0.5325,68.37500000000001,53.25,36.75000000000001,General
"Shangri-La Rasa Sentosa, Singapore",Kids,"Hello Another hotel another review. I would first like to thank you for having my family at your hotel. Thank you to all the staff that looked after and tailored my needs. This resort is truely number 1, for children. I was amazed at the detail and care that are directed at the children. I have never seen this before at any hotel. Highly recommend to anyone with children. Staff are highly trained and all confirm to one tune. Very well done. We had a few problems but the staff were quick to address and fix to the best of there capabilities. I found most staff to be quiet friendly and helpful. Thank you. The pool area does need more staff as it does get very busy, I wouldn’t recommend for couples that want quiet. The pool staff work very hard and deserve high",4 out of 5,March 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.22119791666666666,0.4415104166666666,61.059895833333336,44.151041666666664,22.119791666666664,General
"Shangri-La Rasa Sentosa, Singapore",Great place for stayaction for Family,"We stayed over the long weekend and the stay was excellent. Room was spacious and the beds were just right. The best of all the hotel really accommodate to kids as they have kid sections - playrooms, art and crafts sessions, not to mention the pool areas as well. Even for breakfast, they have a section for kids! So thoughtful of the hotel. There is free shuttle to and fro the hotel to Vivo City everyday, at around 15 mins interval so do check out the schedule if you are planning to go out to Vivo.",4 out of 5,March 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.3857142857142857,0.5419642857142857,69.28571428571428,54.19642857142857,38.57142857142857,Amenities
"Shangri-La Rasa Sentosa, Singapore",Superb family experience,"I want to thank the crew at Shanghai-La for an amazing family holiday. Here’s why families should stay here and why you deserve 5 out of 5: the pool and slides and pool side facilities were AWESOME, the breakfast spread was FIRST-CLASS, the tropical location was BEAUTIFUL, the sheer attention to detail that is evidently paid by management to their guests’ experience. My kids loved: the roaming peacocks, the room service cart/dining table, the slides, the pool balls to play with, the large comfortable sofa bed, the garden access, the complimentary mini bar items, the playground near the pool, the garden nursery with exotic SE Asia plant varieties and the ice machine near the room. My wife loved: the self service washer/dryer machine, the barnacles by the sea Sunday seafood",5 out of 5,March 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.43956043956043955,0.6945054945054946,71.97802197802197,69.45054945054946,43.956043956043956,Value
"Shangri-La Rasa Sentosa, Singapore",Perfect family stay.,We have just returned from our visit where we stayed for four nights and wished we could have stayed longer. We travelled with 3 adults and four kids and arrived early in the evening. On arrival the staff could not have been more helpful and friendly with smooth check-in and helping us to our room. They also suggested where we could take the kids for a quick dinner before restaurants closed which we were extremely grateful for. The breakfast buffet was fantastic so definitely include that in your package and having a designated kids selection is brilliant and not something I had seen before. We also enjoyed one of the evening buffets (chilli mud crab night) and I would highly recommend trying this. It's excellent value and has a massive selection of food with drinks included.,5 out of 5,March 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.3173809523809524,0.6457142857142857,65.86904761904762,64.57142857142857,31.738095238095237,Services
"Shangri-La Rasa Sentosa, Singapore",hotel with beach,"located in Sentosa not far from the city ,the hotel has been refurbished the room are all modern and very clean the beds are comfortable the linen and towels clean and fresh ,good swimming pool for children .just outside the hotel you can go for hiking or for walk in nature park especially early morning.",4 out of 5,March 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.2881481481481482,0.6066666666666667,64.40740740740742,60.66666666666667,28.81481481481482,Location
"Shangri-La Rasa Sentosa, Singapore",AN EXCELLENT HOTEL 5***** HOTEL .,"This hotel is well worthy of being 5***** however make sure you book a sea view room to experience the magnificent outlook over the bay . well worth the extra expense and far superior than the SILOSA BEACH HOTEL"" nearby.",5 out of 5,March 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.41904761904761906,0.7126984126984127,70.95238095238095,71.26984126984127,41.904761904761905,General
"Shangri-La Rasa Sentosa, Singapore",Great location overlooking the South China Sea.,"We stayed here for 3 nights relaxation at the end of a 6-week holiday touring New Zealand. Located on Sentosa Island, but only around 15 minutes taxi ride to the centre of Singapore, this hotel is really good for a relaxing stay in Singapore. Check-in was fast and efficient and our room (a Panoramic Sea View Room), on the 9th floor had great views over the lush gardens to the ocean beyond. The room was very nicely furnished and well equipped, and the bathroom, with a bath and separate shower, had an unusual feature of plantation blinds, which could be opened into the bedroom to enjoy the views from the room. There was a furnished balcony, and the air conditioning was efficient, which is essential in Singapore. The view from the room was fantastic, and it was particularly",4 out of 5,March 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.3235858585858586,0.6448232323232324,66.17929292929293,64.48232323232324,32.35858585858586,Location
"Shangri-La Rasa Sentosa, Singapore",Just divine!!,We stayed here as a stop over to Thailand. We wish we ended our trip here as they had so many beautiful preparations for Easter and it was wonderful in every way. Have to say aunty Lam’s waffles at breakfast were scrumptious along with her friendly smile and Vera made stunning little breakfast smoothies every morning and all staff remembered my little boys name! The self service washing machine and dryer were fantastic as with a little boy we needed to keep on top of our laundry. The buffet food was so cleverly and beautifully presented and the kids food station was great! Rooms were lovely and we were on the 3rd floor close to the restaurant and close enough to the pool! Was a very memorable stay and I do hope to be back!,5 out of 5,March 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.3674890350877193,0.6228070175438596,68.37445175438597,62.28070175438596,36.74890350877193,Services
"Shangri-La Rasa Sentosa, Singapore",Excellent stay,"This is a really nice hotel. The staff were friendly and welcoming. We got upgraded to a beautiful ocean view room for our wedding anniversary, and they left a celebratory cake in our room too! The room was large with plenty of storage. The bathroom was nice with plenty of amenities. It was spotlessly clean. The only thing I would say is that the bed was a bit hard and we both had broken sleep because of it. The hotel is well located on the beach front. It has a gorgeous pool which stays open into the evening. There's also a section just for adults which is a bit quieter and more relaxing. Sentosa is easy to walk around, but remember to make use of all the free transport. We ate dinner at the a la carte restaurant several times because it was so nice - and it gave",5 out of 5,March 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.29103641456582635,0.6531512605042017,64.55182072829132,65.31512605042018,29.103641456582636,General
"Shangri-La Rasa Sentosa, Singapore",Best family getaway in Singapore!,"This was our third time with Shangri-La at Sentosa. We we love this property for the facilities, service and location. Kids love the club facilities, sports and recreation activities, pools and slides etc. The kids club team are really great in taking care of the little ones and arranging activities to keep them entertained. The breakfast and dinner buffets are another big attraction. Chef Pradeep and team delivers a food fiesta as per the daily themes which caters for everybody. We were pleasantly surprised to see some of the South Indian traditional breakfast items in the morning buffet. Rooms are always kept neat and tidy and the guys are doing an excellent job to make your stay comfortable. Overall we had a wonderful experience at Shangri-La and looking forward to our next",5 out of 5,March 2018,5.0 of 5 stars,#13 of 16 hotels in Sentosa Island,0.3141666666666667,0.52,65.70833333333333,52.0,31.41666666666667,Amenities
