ChatGPT
" in each category (For both Overall and Average).

Overall: 

For 2018:
Cleaniness: Positive: 1, Negative: 1 
Services: Positive: 1, Negative: 1 
Value: Positive: 0, Negative: 0 
Amenities: Positive: 0, Negative: 0
Location: Positive: 0, Negative: 0
General: Positive: 0, Negative: 0

For 2019: 
Cleaniness: Positive: 0, Negative: 0 
Services: Positive: 0, Negative: 0 
Value: Positive: 0, Negative: 0 
Amenities: Positive: 0, Negative: 0
Location: Positive: 0, Negative: 0
General: Positive: 0, Negative: 0 

For 2020: 
Cleaniness: Positive: 11, Negative: 0
Services: Positive: 4, Negative: 3 
Value: Positive: 30, Negative: 1 
Amenities: Positive: 3, Negative: 0
Location: Positive: 13, Negative: 1
General: Positive: 13, Negative: 0

For 2021: 
Cleaniness: Positive: 13, Negative: 1 
Services: Positive: 5, Negative: 3 
Value: Positive: 0, Negative: 0 
Amenities: Positive: 31, Negative: 0
Location: Positive: 14, Negative: 0
General: Positive: 9, Negative: 0 

For 2022: 
Cleaniness: Positive: 7, Negative: 4 
Services: Positive: 9, Negative: 2
Value: Positive: 19, Negative: 0 
Amenities: Positive: 24, Negative: 0
Location: Positive: 14, Negative: 0
General: Positive: 11, Negative: 0 

For 2023: 
Cleaniness: Positive: 6, Negative: 1 
Services: Positive: 15, Negative: 1
Value: Positive: 18, Negative: 0 
Amenities: Positive: 3, Negative: 1
Location: Positive: 16, Negative: 0
General: Positive: 33, Negative: 1 


Average: 

Cleaniness: Positive: 6.17, Negative: 1.83 
Services: Positive: 8.83, Negative: 1.83
Value: Positive: 19, Negative: 0.17
Amenities: Positive: 13.17, Negative: 0.17
Location: Positive: 12.83, Negative: 0.17
General: Positive: 13.83, Negative: 0.17"
