hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Shangri-La Singapore,Excellent stay at Valley wing during Pharse 2 heighten alert Jun 2021,"We were deciding if we should continue with our staycation during this period due to the various restrictions. We were really glad we went ahead with it. Everyone tried their best to make us feel welcome, from the moment we stepped in, we were warmly received. Check in was a bliss and the room was ready when we arrived at 1.30pm. A high tea and canapes set with champagne/red and white wine was served to us in the room before 3pm! Breakfast was also served on time and the team tried their best to accomodate our request... Yummy valley wing eggs!! We booked the 28 hr package so there was no rush to check out, we did our buds, splash and pool and had another high tea set sent to the room. A special thank you to the entire valley wing team working on 2nd and 3rd of Jun 21. My family",5 out of 5,June 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.3101428571428571,0.45009523809523805,65.50714285714285,45.009523809523806,31.014285714285712,Services
Shangri-La Singapore,Whole new level of luxurious experience,"This is my 2nd visits in 6 months. My kid loves the BUDS by Shangri-La so much. The best time for him to make new friends and play in a safe and happy place. We celebrated my wife birthday, enjoyedstay and play in Valley Wings and had fantastic experience in Shangri-la. Valley wing brings us whole new level of luxurious experience.",5 out of 5,June 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.3722727272727273,0.4959090909090909,68.61363636363636,49.59090909090909,37.227272727272734,Amenities
Shangri-La Singapore,Birthday staycation at Shangri-La,I have been to many hotels for staycation during the pandemic period and I enjoyed the most in Shangri La. We throughly enjoyed the stay and service. Staffs are friendly and greets us without fail when walked pass us. Restaurant staffs are nice and friendly as well. Very premium and professional customer service. Will definitely come back again with kids next time.,5 out of 5,June 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.24230769230769234,0.4307692307692307,62.11538461538461,43.076923076923066,24.230769230769234,Services
Shangri-La Singapore,Fabulous family stay - staff are amazing,"With restrictions on travel from Singapore, we decided on a second visit to the fabulous Valley Wing at Shangri-La Singapore. It most definitely did not disappoint. The staff at the Shangri-La Valley Wing really did make our stay outstanding. They are so king and courteous providing such fantastic service. The room is not the most modern, but it very big and plenty of space for a family of four. Although you are only allowed one extra bed for one of the children, the other child has to sleep in the bed with you, or on the sofa. The bed is super comfy and all the amenities in the room are lovely, including robes, slippers and L'Occitane toiletries. You can also scan a QR code to make any requests such as extra bedding, towels, pillows or toiletries. They really do make",5 out of 5,June 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.2104166666666667,0.5048333333333332,60.520833333333336,50.48333333333333,21.04166666666667,Amenities
Shangri-La Singapore,Relaxation staycation,"Excellent stay - staff were amazing, even with restrictions and made it feel brilliant! We thoroughly enjoyed the facilities, highlights for the kids were the splash zone and buds play space and for us it was the swimming pool 2-hour slots!",5 out of 5,June 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.80625,0.8999999999999999,90.3125,89.99999999999999,80.625,Services
Shangri-La Singapore,Staycation ~,"Awesome place with full of fun activities for kids and family gathering~ the staff are thoughtful and kindness; we are surprised with the spacious room and comfort bed, will definitely come back again",5 out of 5,July 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.3071428571428572,0.5214285714285715,65.35714285714286,52.142857142857146,30.714285714285722,General
Shangri-La Singapore,Great 5-star service with tons of surprise during our stay,"Room service is super, they provided us with free decoration service upon our request. This is the day when my husband prepared for the special proposal at the hotel and their staff did bring us with great surprise. The room is spacious and very clean Fantastic stay there",5 out of 5,July 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.4611904761904762,0.7663492063492064,73.05952380952381,76.63492063492065,46.11904761904762,Services
Shangri-La Singapore,Marriage Proposal at Diner de Fleurs Shangri-la,"Great staying experience! The view on the top floor was fantastic and the room was spacious and clean. Had a great time with my Fiancee at the Diner de Fleurs, great food preparation by Chef Ganesan, and service by Gerald. Will always remember the moment I proposed to my partner there, an awesome beautiful evening dinner.",5 out of 5,July 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.7145833333333332,0.79375,85.72916666666666,79.375,71.45833333333333,General
Shangri-La Singapore,Perfect for families with young kids!,We thoroughly enjoyed our stay at Shangri-La in July! Our 1 year old son loved the indoor playground at Buds and we all had a lot of fun at the Splash Zone. Wished we stayed for more than 1 night! Highly recommended for families with young children.,5 out of 5,July 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.37285714285714283,0.47714285714285715,68.64285714285714,47.714285714285715,37.285714285714285,Amenities
Shangri-La Singapore,Fun for Adults and Kids Alike!,"We had a wonderful time, my 1YO boy utterly enjoyed his time at the Splash Zone and Buds. Thank you for paying attention to the little things, despite the increased restrictions we face due to P2HA. The room was spacious and clean, the app for guests to get instantaneous response is a great touch. Thanks for a lovely time, we will be back!",5 out of 5,July 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.3393518518518519,0.5527777777777778,66.9675925925926,55.27777777777778,33.93518518518519,Amenities
Shangri-La Singapore,A wonderful stay at the hotel!,"The staffs were friendly to the guest and to the kids as well. The greetings by the staffs made the guest felt very welcoming. From the lobby staffs to the lawn mower, helping the kids to complete their treasure hunt and patiently explain to them. Lots of activities to keep the kids occupied. Thank you for the wonderful stay!",5 out of 5,July 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.41874999999999996,0.55,70.9375,55.00000000000001,41.87499999999999,Services
Shangri-La Singapore,The kids love it here!!,The kids love it here even with the heightened alert restrictions!! A family oriented hotel. Am very much impressed by the cheerful and meticulous service by all the staff from the start to end of our staycation. Special mention to Ms Yana Arshad and Elvis for their extra special personal touch that is befitting of the high standards set by the Shangri-La brand. Even today our kids are still calling out for Mr Elvis to dance together with them. Thank you again Ms Yana for arranging the complimentary birthday cake for my wife. Thank you all and thank you Shangri La. Will definitely be back soon!!,5 out of 5,July 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.33555357142857145,0.5182857142857143,66.77767857142858,51.828571428571436,33.55535714285715,Services
Shangri-La Singapore,Fantastic Valley Wing Experience,It's all about the great service and amenities for families at the Valley Wing! We were very impressed by the cheerful and meticulous service from the start to end of our staycation. My wife and I would like to specially commend Mr Allen Khoo and Ms Nora Ghazali who made our anniversary celebration extra special with their personal touch that is befitting of the high standards set by the Shangri-La brand. We will definitely look forward to be back again soon!,5 out of 5,July 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.32742857142857146,0.5332857142857143,66.37142857142857,53.32857142857142,32.74285714285715,Services
Shangri-La Singapore,Valley Wing for the experience,"The whole team in Valley Wing was perfect, from check-in to check out , they made us feel welcome and like family. Smiles and greeting every day. If you seen my reviews you would known that I have stayed in quite a handful of top hotels around the world. Some how Valley Wing hits it different and made us feel like our home away from home from the friendliness and attentiveness of the staff. This is going to be a long list but it is worth it to mention all the names that have touched us throughout our stay in the Shangri-La Valley Wing. Mr Rajiv and Mr Ono-san who helped us with our luggage and assisting us when we arrived, Ms, Iris who made all the arrangements for us upon check in and ensured that our luggage is in the room after our lunch. Ms Aishah for getting back to",5 out of 5,July 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.34375,0.4875,67.1875,48.75,34.375,Services
Shangri-La Singapore,Very enjoyable stay at the Valley wing,Excellent service from the team. We found ourselves booking the next staycay even before checking out! The staff prepared a cake and surprised us in the room when they realised it was my husband's birthday upon check in. Food was also superb at the waterfall ristorante.,5 out of 5,July 2021,5.0 of 5 stars,#42 of 372 hotels in Singapore,0.525,0.725,76.25,72.5,52.5,Services
