hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Sheraton Towers Singapore,Excellent hotel for business trip,Quiet hotel in the midst of bustling Sinapore. Front desk and lounge staff were excellent. Special thanks to Puru who went oout of the way to make the stay comfortable. I am defintely staying here on my next trip.,5 out of 5,September 2023,5.0 of 5 stars,#16 of 372 hotels in Singapore,0.3261904761904762,0.4841269841269842,66.30952380952381,48.41269841269842,32.61904761904762,Location
Sheraton Towers Singapore,Relaxing stay,"Elegant, quiet and charming hotel with warm and personable service from the team. Special thanks to Ms Jessica (Front desk) and Ms Michelle & Ms Aqidah (Lobby restaurant) for taking care of us. Will recommend to other couples who’d like some quiet time to unwind.",5 out of 5,October 2020,5.0 of 5 stars,#14 of 373 hotels in Singapore,0.27901785714285715,0.5516369047619047,63.95089285714286,55.163690476190474,27.901785714285715,General
Sheraton Towers Singapore,"Pleasant experience, exceed expectations","Held my wedding here and was amazed by the professionalism. Venue:It is very close, 5-8 minutes walk to the city centre and yet traffic is light and quiet. Sales:Valerie was very meticulous, answering all my queries patiently. Was handed over to Simin due to the covid but the handover was very good and the standards never dipped. Operations:Tommy was my operations manager and his experience made us feel at ease. He took note of changes and made them seamlessly. Phyo ran the show in the AV room without a hitch. There were many instructions and I initially got my friend to help ensure things proceed well. But the communications between Tommy and Phyo was wonderful and my friend was not required, allowing him to enjoy the banquet. Food:Very good, no one made any comments about",5 out of 5,October 2020,5.0 of 5 stars,#14 of 373 hotels in Singapore,0.35708333333333336,0.4573611111111111,67.85416666666667,45.736111111111114,35.708333333333336,Services
Sheraton Towers Singapore,"First Class Service, Wonderful Staff",Stayed close to a fortnight with my family and had excellent experience from the front desk managers Sheila and Murali! The housekeeping team was efficient and very responsive to our needs as well! Highly recommend staying at Sheraton Towers!,5 out of 5,October 2020,5.0 of 5 stars,#14 of 373 hotels in Singapore,0.48333333333333334,0.6133333333333333,74.16666666666667,61.33333333333333,48.333333333333336,Services
Sheraton Towers Singapore,"Memorable Stay, Amazing Service and Food","Stayed for 2 nights, I've always love Sheraton and it's no exception this time - especially the staff and their attention to details. I'm no big eater. but Chef Eric's cooking was simply delicious and irresistible, not to mention the food presentation. I know the chef grow some of his food ingredients within the hotel compound. I can't forget the ""purple rice"" - forgot the name but still thinking about it as I'm writing. Will be back again... for sure.",5 out of 5,October 2020,5.0 of 5 stars,#14 of 373 hotels in Singapore,0.3333333333333333,0.5981481481481482,66.66666666666666,59.814814814814824,33.33333333333333,Services
Sheraton Towers Singapore,First stay at this hotel -,"Booked here for 2 nights.... seamless checkin. Was upgraded to a suite as part of Bonvoy rewards program. Rooms and service were great - typical of Sheraton standards. Had a welcome treat from Chef Goh too - delivered to our suite. Lounge is closed so breakfast and cocktails were served at Level 1 - the Dining Room. Sitting space great with proper social distancing between tables. Cocktails were serve Bento style. For breakfast, you can choose from one of the 4 options. We chose American and Asian. Portions are generous. Staff in the Dining Room were helpful. Special mention to Wadani for his friendliness and for going out of his way to meet our dietary requests! The one down side....carpark and ramps were narrow... so drive and park with care.",5 out of 5,October 2020,5.0 of 5 stars,#14 of 373 hotels in Singapore,0.18134920634920634,0.34822954822954827,59.067460317460316,34.82295482295483,18.134920634920633,Services
Sheraton Towers Singapore,Fantastic experience at the lobby bar,"Was in for a treat at the lobby bar ! Decided to try their promotional menu ! And this was the portion given to us ! And that’s not all, they even allow refill! This is what I call post covid treat! Will defo come back with my mum !",5 out of 5,October 2020,5.0 of 5 stars,#14 of 373 hotels in Singapore,0.0,0.0,50.0,0.0,0.0,Services
Sheraton Towers Singapore,"Excellent Stay - Old Gem with Great Service, Convenient Location, Clean, Comfortable Rooms.","Stayed for an evening over the weekend. Staff in general were attentive to detail, helpful and courteous throughout my stay. The hotel is located next to Newton MRT Station - a 15 minute walk/1 train stop/2 bus stop ride from the main shopping areas in Orchard. Check-In: The pre-check-in process was commendable. The hotel gave a lot of details in-advance of your arrival and what to expect due to the COVID-19 Situation. I was impressed and armed with all the information I needed before I arrived. Check-In on the day itself was fast even though there was a slight queue given that I arrived at peak-check in time. The front desk agent was pleasant and friendly and explained the details of the stay/bookings required for gym and the pool due to COVID. I was provided with a very",5 out of 5,October 2020,5.0 of 5 stars,#14 of 373 hotels in Singapore,0.2544871794871795,0.5397435897435897,62.72435897435897,53.97435897435897,25.448717948717952,Services
Sheraton Towers Singapore,Dont waste your money here,Main reason was first This property keeps on coming out during my search second most of the property i like was on full house third i was desperates for a stay as it was my wife’s birthday Stated clearly on my 3rd party booking (booking .com) that I requested for a birthday cale to be delivered to my room as i got no time to buy one Upon checking inform the front desk (Jess) for the follow up about the cake and she can even ask me the time to send the cake and so i thought that its gonna arrive After dinner I waited from 7pm to 8pm to 9pm and until all of us when to sleep Tried calling the non existence operator no like 30 times to no avail!! No one is there to man the line *next up -Swimming pool system Apparently due to this covit the hotel only allowed 10 guest per hr,1 out of 5,October 2020,5.0 of 5 stars,#14 of 373 hotels in Singapore,0.11416666666666667,0.3091666666666667,55.708333333333336,30.91666666666667,11.416666666666666,Value
Sheraton Towers Singapore,7 courses meal in The Dining,We are in group of 10 and tried the 7 courses dinner/lobster meal in The Dining. The food was good and served in big portion. The atmosphere and service was satisfying. Will definitely visit again with family.,4 out of 5,October 2020,5.0 of 5 stars,#14 of 373 hotels in Singapore,0.3,0.55,65.0,55.00000000000001,30.0,Amenities
