ChatGPT
".

2017:
Cleaniness: Positive 2, Negative 0
Services: Positive 7, Negative 1
Value: Positive 0, Negative 0

2018:
Cleaniness: Positive 5, Negative 0
Services: Positive 8, Negative 0
Value: Positive 3, Negative 1

2019:
Cleaniness: Positive 5, Negative 2
Services: Positive 12, Negative 1
Value: Positive 4, Negative 0

2020:
Cleaniness: Positive 4, Negative 1
Services: Positive 11, Negative 4
Value: Positive 6, Negative 0

2021:
Cleaniness: Positive 4, Negative 0
Services: Positive 11, Negative 0
Value: Positive 1, Negative 0

2022:
Cleaniness: Positive 7, Negative 0
Services: Positive 8, Negative 2
Value: Positive 2, Negative 0

2023:
Cleaniness: Positive 3, Negative 0
Services: Positive 8, Negative 0
Value: Positive 0, Negative 0
Location: Positive 8, Negative 0
Amenities: Positive 0, Negative 0
General: Positive 1, Negative 2"
