hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Singapore Marriott Tang Plaza Hotel,Traveler Beware,"I’m disappointed with my recent stay at the Marriott Tang Plaza. Despite multiple attempts to correct an issue with my personal information in their system, the staff failed to resolve it each time. This has made me question the overall reliability and professionalism of the hotel. I expected better service, particularly when it comes to safeguarding guest information.",1 out of 5,September 2023,5.0 of 5 stars,#80 of 373 hotels in Singapore,-0.07592592592592594,0.3148148148148148,46.2037037037037,31.48148148148148,7.5925925925925934,Services
Singapore Marriott Tang Plaza Hotel,Great location on Orchard Road.,Been coming here since 2008. Rooms renovated in 2015. Super breakfast buffet. Staff all very professional and pleasant. Great location at Orchard and Scott. Clarke Quay only 15 minute walk. Plenty of shopping and restaurants nearby. Concierge service above par. Hotel pool and exercise room all very nice.,4 out of 5,March 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,0.3966666666666666,0.659047619047619,69.83333333333333,65.9047619047619,39.666666666666664,Amenities
Singapore Marriott Tang Plaza Hotel,Not so happy stay,Nobody welcomed us. Entrance of hotel is complicated with public around that staff do not know who actually are the guests. Sad! Service is bad! Receptionist ignored us. None served with a smile. No welcome drinks were offered.,1 out of 5,May 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,-0.29999999999999993,0.5476190476190477,35.0,54.761904761904766,29.999999999999993,Services
Singapore Marriott Tang Plaza Hotel,Excellent Location. Wonderful Customer Service.Great Amenities.,"My parents, nephews, son, and I were on a mini vacation in Singapore. We had two rooms on the same floor as the Executive Lounge. The kids loved the swimming pool, especially the cabanas. The service at the pool was efficient. The staff was friendly. Our son made an ePal at the pool with a young man from Australia who was staying with his family at this hotel. The location of the hotel is convenient to public transport.",5 out of 5,July 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,0.19583333333333333,0.48194444444444445,59.791666666666664,48.19444444444444,19.583333333333332,Amenities
Singapore Marriott Tang Plaza Hotel,Class and Comfort!,"Super luxurious hotel, service is great and the staff are super friendly and helpful. Enjoyed having access to the gym and basket ball court. The view from the pool is amazing and the buffet food was fantastic. An excellent experience, great for business and holiday goers alike.",5 out of 5,July 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,0.5712962962962963,0.7592592592592593,78.56481481481481,75.92592592592592,57.12962962962963,Amenities
Singapore Marriott Tang Plaza Hotel,Comfortable enough room but other aspects very disappointing,"Having experienced other Marriott Executive Lounges around the world, this was sadly lacking. It's a fairly large space but very crowded with underwhelming food choices in the evening. Breakfast, depending on which chef was working the eggs station, was either wonderful or disappointing. But the biggest issue with the lounge was the staff. The first answer to any request, no matter how small, was no. There was certainly no sense of hospitality, until we found a great staff member on our final day who seemed genuinely warm and engaging. Room was OK, although aspects of it looked a bit tired. It was certainly quiet enough at night and given the location at the heart of Orchard Road that was a bonus.",3 out of 5,August 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,0.15456349206349207,0.6162037037037036,57.72817460317461,61.62037037037036,15.456349206349207,Services
Singapore Marriott Tang Plaza Hotel,The most centrally located Marriott in SG,Enjoyed my stay at this lovely Marriott hotel. Excellent rooms. Great food in the hotel and also great dining options within the vicinity of the property. Warm and courteous staff. Also it is located bang on Orchard street over a metro station that’s makes commute to anywhere in SG a breeze.,5 out of 5,August 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,0.6857142857142856,0.7928571428571428,84.28571428571428,79.28571428571428,68.57142857142856,Location
Singapore Marriott Tang Plaza Hotel,Very nice,"Mostly I loved the location of this hotel. The service was very good. I was traveling with just me a my little guy and they wouldn't let him in the lounge. I did NOT like that. I didn't want to leave him but I wanted to take advantage of the lounge. However, they did offer breakfast downstair for us, as well as dessert service in the lobby because I couldn't take him in there. So although not perfect they did try to accommodate.",4 out of 5,August 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,0.23062499999999997,0.77,61.53124999999999,77.0,23.062499999999996,Services
Singapore Marriott Tang Plaza Hotel,Do not look further,Beautiful hotel. Absolutely the nicest room with view of pool that was spectacular. The bathroom was roomy with every convenience.The bed was so comfortable. Great room service. The service all around is outstanding! Enjoyed my stay so much. Will not hesitate to stay there again.,5 out of 5,September 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,0.521875,0.765625,76.09375,76.5625,52.1875,Amenities
Singapore Marriott Tang Plaza Hotel,At Orchard but...,Old establishment with poor maintenance. My room was not properly cleaned. Found hair in the bathroom. Some tv channel wasn’t clear and sometimes without sounds. Don’t think they pay for cable. Same breakfast spread. Staffs not as friendly and helpful. Waited for hours for them to revert my call on my request. Plus point is it’s location at Orchard shopping area.,3 out of 5,September 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,0.029166666666666664,0.31805555555555554,51.45833333333333,31.805555555555554,2.9166666666666665,Cleaniness
Singapore Marriott Tang Plaza Hotel,2+ Months at Marriott Tang Plaza,"5 of 5 · I stayed at the Marriott Tang Plaza for 2+ months on business. I'm Marriott Platinum so I used the Concierge Lounge daily. The lounge has a more compact menu version of the lobby buffet. The food is really good. The lounge isn't huge, but it's big enough to accommodate the crowd on an average day. The lobby buffet is expensive for breakfast, but try it once, even if you're not staying there. It's the most diverse offering of local foods I've ever experienced at a hotel restaurant. Everything is fresh and tastes amazing. Being there without my wife to judge me, I ate everything from soup to eggs to ice cream for breakfast. Marriott Tang Plaza is right above the MRT inside the ION mall. Out the front door, make a quick right and down the escalator and you can get anywhere",5 out of 5,September 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,0.21662257495590828,0.47001763668430346,60.83112874779542,47.00176366843035,21.66225749559083,Amenities
Singapore Marriott Tang Plaza Hotel,Marriott is really amazing,Marriott is very big company and serves the guest well in all over the world. We achieved the satisfaction. The restaurants are quiet and cozy. They treated us as royalty. Thumbs up to marriott hotel.,5 out of 5,October 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,-0.06666666666666667,0.40444444444444444,46.666666666666664,40.44444444444444,6.666666666666667,General
Singapore Marriott Tang Plaza Hotel,Excellent.,This Hotel is recommended when staying in Singapore. It is well located for most sights; is very clean and the Staff and Service are first rate. We couldn’t fault the Hotel during the time we were there. Excellent.,4 out of 5,October 2017,5.0 of 5 stars,#80 of 373 hotels in Singapore,0.5566666666666666,0.6858333333333333,77.83333333333333,68.58333333333333,55.666666666666664,General
