hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Sofitel Singapore City Centre,"Compliment for Ibrahim, Rey, Moghan, Clemence, Taufek & Sharvin","The purpose of writing this is to compliment your hotel staffs for their wonderful service. Thanks to your staff for making it such a comfortable stay at your Sofitel. I was there for 3 days and for all these days I was attended with utmost warmth. I was impressed to see the prompt check in service to Racines despite the peak season. Every need was catered with utmost perfection making me & my guests feel so important. I would like to compliment Ibrahim, Rey, Moghan, Clemance Taufek & Sharvin for being so professional. With smile on their faces, they have been really very impressive in their service. And I would like to visit your hotel again for this outstanding experience.",5 out of 5,September 2023,5.0 of 5 stars,#15 of 372 hotels in Singapore,0.49000000000000005,0.6575,74.5,65.75,49.00000000000001,Services
Sofitel Singapore City Centre,Great food and service,"The food is still as good as before. We had the Ngoh Hiang which came piping hot with a great chilli dip, laksa, which was a super generous portion and tasted really authentic and the fried Hokkien Mee (my mum’s favorite), which tastes really good. All dishes can rival those found in street side stalls and has the “wok hei”. Service by Ibrahim and Rey was attentive without being intrusive. We were warmly welcomed by them and taken care of by them throughout. Thanks guys!",5 out of 5,September 2023,5.0 of 5 stars,#15 of 372 hotels in Singapore,0.5033333333333333,0.6916666666666667,75.16666666666667,69.16666666666667,50.33333333333333,Amenities
Sofitel Singapore City Centre,Dinner @ Racine,"Great food especially love the ngoh hiang, hokkien prawn mee and laksa!! Served hot with ample flavors, coupled with warm ambience and great scenery of pinnacle@duxton against the sunset, this is a heartful experience in the city~!",4 out of 5,September 2023,5.0 of 5 stars,#15 of 372 hotels in Singapore,0.73,0.79,86.5,79.0,73.0,Amenities
Sofitel Singapore City Centre,nailed it!,"Great service and awesome food. Loved the Chicken Satay and the Hookien Mien. Would recommend the place for get togethers with friends or even for solo diners like myself. Service is great, as I never really felt alone despite dining solo. I felt taken cared of. The noodles in the photo really takes you back home.",5 out of 5,September 2023,5.0 of 5 stars,#15 of 372 hotels in Singapore,0.35000000000000003,0.58125,67.5,58.12500000000001,35.0,Amenities
Sofitel Singapore City Centre,Would definitely come back for more!,"The experience was absolutely amazing. The seafood brunch was certainly delightful, leaving all of us craving for more. I would like to extend my heartfelt gratitude to the service staff, particularly Rey and April, who went above and beyond to ensure that our dining experience was exceptional. They were incredibly attentive, and serving us with a smile.",5 out of 5,September 2023,5.0 of 5 stars,#15 of 372 hotels in Singapore,0.4037037037037037,0.6481481481481483,70.18518518518519,64.81481481481482,40.37037037037037,Services
Sofitel Singapore City Centre,Would definitely come back for more!,"The experience was absolutely amazing. The seafood brunch was certainly delightful, leaving all of us craving for more. I would like to extend my heartfelt gratitude to the service staff, particularly Rey and April, who went above and beyond to ensure that our dining experience was exceptional. They were incredibly attentive, and serving us with a smile.",5 out of 5,September 2023,5.0 of 5 stars,#15 of 372 hotels in Singapore,0.4037037037037037,0.6481481481481483,70.18518518518519,64.81481481481482,40.37037037037037,Services
Sofitel Singapore City Centre,Pleasant dining experience,"We enjoyed ourselves w d Sunday seafood brunch at racines. Area is also a nice pleasant place to take a stroll around after the meal. Great service from John n team - Rey, Paul n April. Will surely return.",5 out of 5,September 2023,5.0 of 5 stars,#15 of 372 hotels in Singapore,0.6266666666666667,0.861111111111111,81.33333333333333,86.1111111111111,62.66666666666667,Amenities
Sofitel Singapore City Centre,Pleasant dining experience,"We enjoyed ourselves w d Sunday seafood brunch at racines. Area is also a nice pleasant place to take a stroll around after the meal. Great service from John n team - Rey, Paul n April. Will surely return.",5 out of 5,September 2023,5.0 of 5 stars,#15 of 372 hotels in Singapore,0.6266666666666667,0.861111111111111,81.33333333333333,86.1111111111111,62.66666666666667,Amenities
Sofitel Singapore City Centre,Fantastic,"Great hotel, food magnificent BUT the staff are the best - unbelievably good. Just stay here if you’re in Singapore. Great location, great pool, train station immediately below you that will get you anywhere in Singapore in minutes.",5 out of 5,September 2023,5.0 of 5 stars,#15 of 372 hotels in Singapore,0.85,0.6916666666666668,92.5,69.16666666666667,85.0,Amenities
Sofitel Singapore City Centre,Fantastic,"Great hotel, food magnificent BUT the staff are the best - unbelievably good. Just stay here if you’re in Singapore. Great location, great pool, train station immediately below you that will get you anywhere in Singapore in minutes.",5 out of 5,September 2023,5.0 of 5 stars,#15 of 372 hotels in Singapore,0.85,0.6916666666666668,92.5,69.16666666666667,85.0,Amenities
