ChatGPT
".

Report for Year 2022

Category      Positive      Negative
Cleaniness        0            0
Services         27            0
Value            0            0
Amenities       12            0
Location         0            0
General          2            0

Report for Year 2023

Category      Positive      Negative
Cleaniness        0            0
Services        109            2
Value            2            0
Amenities       89            0
Location         5            0
General         12            0"
