hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Sofitel Singapore Sentosa Resort & Spa,Such a beautiful ambience,One of the nicest resorts I’ve stayed at! The grounds are immaculate and the pool is soo relaxing! The breakfast buffet is amazing and the staff were super friendly and helpful. The rooms are beautifully decorated which adds to the overall experience.,5 out of 5,November 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.43166666666666664,0.6133333333333333,71.58333333333333,61.33333333333333,43.166666666666664,Amenities
Sofitel Singapore Sentosa Resort & Spa,Friendly staffs and good service,"Held my wedding there recently and it went really smooth thanks to our sales coordinator Jayden! He have been really helpful. Also a big shoutout to Anne and Giulio, they were very friendly and made the the whole stay better.",5 out of 5,November 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.2546875,0.35,62.734375,35.0,25.46875,Services
Sofitel Singapore Sentosa Resort & Spa,Sofitel Sentosa staycation,"Impressed with the service at our staycation and was happy with my decision to go ahead with choosing Sofitel Sentosa for our annual Christmas staycation. Specially impressed with the service from pool staff - Joshi Marcus Eidil and Dylan, my kids made a mess with the slushy ordered and they cleaned up the mess without a word of complaint and also served us another glass on the house. They ensured all our needs were attended to and made sure we were comfortable and happy throughout our stay. Different experience as what we have encountered from other 5 star hotel. Worth staying!",5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.34166666666666673,0.6094907407407406,67.08333333333334,60.94907407407406,34.16666666666667,Services
Sofitel Singapore Sentosa Resort & Spa,Relaxing & calming!,"A very pleasant & relaxation staycation experience! However my wife & I did experience a lot of mosquito bites at the garden area nearby our room at the Peace Wing. Nevertheless, the excellent staff at the pool, exceptionally Marcus, made our day with fantastic service, like bringing us a set of towels & drinks during our swim, without us having to request for these!",5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.7916666666666666,0.975,89.58333333333333,97.5,79.16666666666666,Services
Sofitel Singapore Sentosa Resort & Spa,Great food with excellent service,Love the service from Nataliya. She gave very good recommendations of food choices. Took the extra mile to speak to us and check in with us. Very good experience with The Cliff. Would definitely recommend anyone who would like to have dinner with nice ambience and excellent service.,5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.5599999999999999,0.6799999999999999,78.0,68.0,55.99999999999999,Amenities
Sofitel Singapore Sentosa Resort & Spa,Shiok Dinner,"If you are looking to an immersive dinner, The Cliff is the answer. You are able to indulge the delicious food in a beautiful atmosphere setting. The staffs are friendly and approachable too. They accommodate to your taste and recommends the best. Just amazing!",4 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.7458333333333335,0.7208333333333333,87.29166666666669,72.08333333333333,74.58333333333334,Amenities
Sofitel Singapore Sentosa Resort & Spa,Great place,"Great place, really awesome service from Nataliya and Jay and the rest of the staff. The pizza and linguine were so good 👍 The view is also really cool, general ambiance was fantastic 🫶 Thank you for the great night!",5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.6142857142857142,0.7357142857142858,80.71428571428572,73.57142857142858,61.42857142857142,Amenities
Sofitel Singapore Sentosa Resort & Spa,Excellent,"I just finished eating dinner at The cliff with my dad and his friends. The service was excellent and the ambiance relaxed. The lamb we ordered was cooked medium and it was delicious. The pink sauce scallop pasta and meat lovers pizza both were good too. Unfortunately the risotto was not to my liking, it was more on the bland side. My dad didn’t like the clam linguine as he found it sandy, for which we were eventually told, that was due to some fish roe they used.",5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.28854166666666664,0.7010416666666667,64.42708333333333,70.10416666666667,28.854166666666664,Amenities
Sofitel Singapore Sentosa Resort & Spa,Service provided,"The buffet and poolside services provided during the stay was excellent. Everyone that has came up to offer help and amenities to ensure that we have an enjoyable experience at the resort has done their best, of those were Joshi, Marcus and Eidil. Thank you!",5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.8333333333333334,0.6333333333333334,91.66666666666667,63.33333333333334,83.33333333333334,Amenities
Sofitel Singapore Sentosa Resort & Spa,Wonderful anniversary dinner,We celebrated our anniversary with dinner at The Cliff restaurant and had a pleasant experience with the care and attention from Emma and her team. They were very attentive and surprised us with a generous cake to celebrate our special occasion.,5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.41209523809523807,0.8376190476190477,70.6047619047619,83.76190476190477,41.20952380952381,Services
Sofitel Singapore Sentosa Resort & Spa,Good service and friendly place to hang out,"Staycation in this hotel for birthday celebration and pre-Christmas chillax time before marching into new year 2023. Lunch at The Cliff, without fail, they never failed me so many times I been lunching or dinner there. Staff are friendly and especially Mani whom bother to remember my previous order and even reminded me of my desert when I nearly walked out after a sumptuous and fulfilling lunch in such a nice weather. Thanks so much for the hard work and effort to keeping the environment friendly for patrons. Highly recommend all to come dine or drink at this restaurant. Oh special thanks to those behind the bars for also remembering my margarita and pina colada order every time I bypass them. 😀😀 Have a wonderful Merry Christmas and a prosperous happy new year 2023!",5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.19360131931560504,0.5251834673263245,59.68006596578025,52.51834673263245,19.360131931560502,Services
Sofitel Singapore Sentosa Resort & Spa,Great meal at The Cliff,"Brought my family and domestic helper there for an appreciation meal to my helper who was due to return to her home country for good. Mani, Charis and Angela (the staff who took care of us at The Cliff) - they were welcoming and took good care of us. Very attentive and made us feel welcomed. We enjoyed the lunch and took lotsa nice pictures. We will be planning to return for another meal soon. Send our warmest regards to them. K and family",5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.4135714285714286,0.625,70.67857142857143,62.5,41.35714285714286,Services
Sofitel Singapore Sentosa Resort & Spa,Great Experience,"Our very first trip to Singapore and stayed here for 4 days.Rooms were very clean,Had all the facilities like pool,Gym etc.Service was great .All the staff members esp their Manager Anne and staff member Hafidz went out of the way to ensure we had a memorable trip.Highly recommended",5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.45625000000000004,0.6208333333333333,72.8125,62.083333333333336,45.62500000000001,Services
Sofitel Singapore Sentosa Resort & Spa,Great Experience!,"Amazing poolside and accommodating staff especially Joshi, Marcus, and Eidil! Loved the service, tranquillity and the ambiance. Room was as pictured, check in was smooth and staff were all helpful. Would book again!",5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.45,0.8,72.5,80.0,45.0,Services
Sofitel Singapore Sentosa Resort & Spa,Relaxing Stay At Sofitel Sentosa,Warm and attentive service provided by staff especially Giulio at the reception.Best enjoyed the relaxed swimming under the palm trees and the resort being close to the relatively quieter tanjong beach is a bonus for us; To do a leisure walk after an hearty meal and take in the sea views! Will visit again definitely.,5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.25,0.6166666666666667,62.5,61.66666666666667,25.0,Services
Sofitel Singapore Sentosa Resort & Spa,Massage,Fantastic massage by Rodel. His training in physical therapy and over a decade of experience in the massage line with Spa Botanica which later became So Spa really shone through the fantastic massage he gave to me. My shoulder muscles are now loose and limber and my skin feels fantastic from the oil treatment of lavender and sage. Would come back! Great sauna facility and hot + cold pools too.,5 out of 5,December 2022,5.0 of 5 stars,#5 of 16 hotels in Sentosa Island,0.16118881118881123,0.5374625374625375,58.05944055944057,53.74625374625375,16.118881118881124,Amenities
