hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Category,Normalized_Polarity_POS_NEG
Swissotel The Stamford Singapore,Check-in one of the worst I've ever experienced,"Check in procedure is insulting. They've replaced staff at the check-in counter with computers and a system which failed for every single person trying to self-check-in at the time I was there. I felt sorry for the member of staff who was there, who was running around trying to assist and apologise on behalf of swissotel for the mess that check in is.",1 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,-0.4492857142857142,0.5378571428571428,27.535714285714292,53.78571428571428,Services,44.928571428571416
Swissotel The Stamford Singapore,Well located and a great stay!,"Checking was smooth, hotel first impressions were awesome. Felt at home. Felt safe and secure and the staff was ever ready to assist if needed. Hotel connected to the mall so it was easy to get around.",5 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.4547619047619048,0.6095238095238095,72.73809523809524,60.95238095238095,Services,45.47619047619048
Swissotel The Stamford Singapore,Excellent stay!,"Beautiful hotel-majestic in size, even better in service! I was received at my car as I arrived, keys to my room ready!! Vanessa was brilliant. Food, stay, room cleanliness and customer care all was beyond expectations.",5 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.671875,0.75,83.59375,75.0,General,67.1875
Swissotel The Stamford Singapore,Well located,"We had a blast on our stay for our family vacation. Rooms were spacious and breakfast was great. Location was very convenient, lots of food at Raffles City connected to the hotel and within walking distance to Suntec and Marina Square. Staff were courteous and very helpful. Will definitely stay here again.",5 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.36,0.57,68.0,56.99999999999999,Amenities,36.0
Swissotel The Stamford Singapore,Convenient location,check in experience was challenging - given that the self service system did not work. needed assistance to check in. the staff needed to manually search and input my information in the self-service kiosk to check in,4 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.5,1.0,75.0,100.0,Services,50.0
Swissotel The Stamford Singapore,Singapore's Best,From the Moment you arrive you are treated like 5stars. The staff are fantastic. The Rooms are Modern and Fresh and the Corner Suit has great views of Singapore and Marina Bay. The Executive Lounge has sweeping views of Singapore. Great Way to watch the Sunset. The Food is also 5 star. Will be back for more!,5 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.44642857142857145,0.5285714285714286,72.32142857142857,52.85714285714286,Amenities,44.642857142857146
Swissotel The Stamford Singapore,A great stay albeit the Front Office experience,"* Location * Smack right in the intersection to the different parts of the city, location is no doubt an A* * Room * Cozy, spacious and impressive although it would have been better if its fully carpeted for the lush feel. * Service Staff * A shoutout to Leonardo whom we met at the driveway! We felt very welcome when he escorted us to the Lobby and was at hand to assist with the luggage when we left. * Front Office * When we arrived, we were walked to the island table @ Front Office counter. There was no clear indication of a queue system. We had to wait around and hope someone notices us and render assistance while the staff on duty were attending to other guests. A pre-registration was done but the process has to be repeated again when we arrived. At 3.30pm, the room",4 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.25357142857142856,0.5444047619047618,62.67857142857143,54.44047619047618,Location,25.357142857142854
Swissotel The Stamford Singapore,Normal,"Smooth check in and check out. Booked a room for 3 but everything was for 2. Went down to concierge to get extra bed and toiletries. Indicated birthday staycation when booking but there seems to be no special attention to the remarks, not even a simple message arranged : I Signed up ACOR membership but not know how to earn points at restaurants, and no asking for this membership when paying bills.",4 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.013174603174603172,0.36349206349206353,50.65873015873016,36.349206349206355,Services,1.3174603174603172
Swissotel The Stamford Singapore,Staycation at Swissotel the Stamford,The rooms air conditioning are not cold due to the ECO setup. There is no complimentary car park tickets for in house guests. This will discourage locals to select this hotel for staycation. Hope the management can review this.,3 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.008333333333333331,0.625,50.416666666666664,62.5,Value,0.8333333333333331
Swissotel The Stamford Singapore,Staycation,"Have to refresh on their hospitality /forget to greet and smile ! Do not give excuse that foreign talent work in Singapore ! Service comes from heart and with a built in the DNA . Is not about color or country ! Bell hop from fairmont just let us carry our own luggage to swissotel although is just next door , due to we drop off the wrong entrance! Welcome 2870 ! Who did they welcome ? Curtain",2 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.19774305555555557,0.4833333333333333,59.88715277777777,48.33333333333333,Services,19.774305555555557
Swissotel The Stamford Singapore,Expected More - Disappointed,"Stayed here for 3 nights. I'll start with the positives: - Great location, just steps away from City Hall MRT station. Plenty of food at the basement of Raffles City. - The bed is very comfortable and the view from the room facing MBS is fantastic. - Staff were generally friendly and did their best to assist us. - Prego service team were very professional. I was only there for a coffee and dessert but had a great experience. - Housekeeping very great and did well in keeping things neat and tidy. Now the negatives: - Arrival was a disaster. About 10 cars parked right outside the lobby, practically blocking the driveway. My car was parked at the back where the buses usually park as I had to get my suitcases out. I went in to the concierge desk to ask a bellboy for help",2 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.40433673469387754,0.5671938775510204,70.21683673469387,56.719387755102034,General,40.433673469387756
Swissotel The Stamford Singapore,Overall below expectations,"Breakfast lack variations if you stay for many days. the receptionist at the kids cafe area on the last day wanted to charge me for my children's breakfast when my package comes with 4 pax breakfast. Though I had 5 pax (2 adults 3 kids), my youngest was 3 years and she told me that she will charged me for my 9 year old instead, which I went confused: the 3 year old should dine for free, right? This is no complimentary parking despite numerous asking and Paid Valet parking was more like self service parking. Swimming pool was crowded and service was slow to replenish towels and drinks delivered almost 40 mins from ordering. Make up room was replenishing slippers each day and I already told them not to waste (environmentally), as we can reuse. threw away both all of our",3 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.06964285714285713,0.4085317460317461,53.482142857142854,40.85317460317461,Value,6.9642857142857135
Swissotel The Stamford Singapore,Nice family staycation,Wonderful location with plenty of F&B choices both in hotel and Raffles City Mall. Pool at level 8 is perfect for a swim and sun. Renovated rooms are clean and layout is ok. Coffee machine in pantry is a plus factor instead of the usual instant coffee bag. View from this hotel is always a reason why guest are repeating to come for stay.,4 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.4361111111111111,0.6861111111111112,71.80555555555556,68.61111111111113,Amenities,43.611111111111114
Swissotel The Stamford Singapore,Perfect Singapore Location,"The Swissotel The Stamford is a premium hotel located in a wonderful central location in Singapore, with views directly over Marina Bay - iconic! Not only are their great views from the rooms, the bar on level 70 of the hotel offers panoramic views of even more of the city. The staff were accommodating, the rooms were clean and luxe and the buffet breakfast offerings were extensive. Only downside was the lack of dairy-free milk available (no free coffee for me). But there is a Starbucks right outside the breakfast restaurant. As a member of the tourism industry myself, a big well done to the team behind this wonderful hotel 👏",5 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.2542989417989418,0.5566137566137566,62.714947089947096,55.66137566137566,Amenities,25.42989417989418
Swissotel The Stamford Singapore,Swiss Harbor View Room amazing,"Booked a Swiss harbor view room & was given at 56th floor. The view was breath taking and absolutely beautiful. Took it for father's day as its my hubby's fav Hotel. I had no regrets. There were some NDP rehearsals so it was an added bonus. Check in and check out was very smooth. Highly recommended. Only setback is the swimming pool. Very small n cramp. But the room is very big and clean. Very convenient to eateries as well as the hotel is connected to the mall. Btw the difference between normal room n swiss Harbor room, is the level. Swiss Harbor is after 38th floor.",5 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.19716666666666666,0.569,59.858333333333334,56.89999999999999,Amenities,19.716666666666665
Swissotel The Stamford Singapore,Hotel with a view!,"We stayed at the Swiss harbour view suite. It's all about the view, view, view. I can't recommend taking any other room. Big room, decent bathroom, nice tub. Slow room service. Took 1-1.5 hours to get us lunch. The reception is always crowded but that's fine. Breakfast spread was good, but couldn't you guys keep it at a higher floor with a view? Cocomelon cafe is a winner with kids. It has a play area too! Hotels in a Great location. Mrt, and mall are right below. Just that the rooms are pricey! All in all, Id definitely stay here again if I get myself a good deal!",5 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.3169146825396825,0.5439484126984127,65.84573412698413,54.394841269841265,General,31.691468253968253
Swissotel The Stamford Singapore,Wonderful Stay,"Had a fabulous time here. Beautiful hotel and great location. Stunning rooms and so clean, very well equipped with toiletries and your own Nespresso machine! Lovely swimming pools. Great staff. We walked to many of the attractions but taxis are cheap and the staff will get one for you. The hotel breakfasts are amazing! And it is over a fabulous mall. Would definitely stay there again. Great value for money.",5 out of 5,June 2022,5.0 of 5 stars,#62 of 372 hotels in Singapore,0.5344444444444445,0.7733333333333333,76.72222222222223,77.33333333333333,Amenities,53.44444444444445
