hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
The Clan Hotel by Far East Hospitality,Perfect city hotel.,"Great hotel with everything you need. We arrived late in the evening but the staff were extremely helpful, quickly got a cot to the room for our little one. We left late in the evening a few days later and they had excellent facilities such as showers and a large waiting room for people in transit such as ourselves.",5 out of 5,September 2023,5.0 of 5 stars,#4 of 372 hotels in Singapore,0.09500915750915749,0.49835164835164836,54.75045787545787,49.83516483516483,9.500915750915748,Services
The Clan Hotel by Far East Hospitality,Beautiful hotel with amazing customer service,Was a great customer experience from the moment of check in to check out. Had a few deliveries during our stay and the staff always brought everything up to the room when they could. Highly recommend The Clan Hotel!,4 out of 5,August 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.26666666666666666,0.4633333333333333,63.33333333333333,46.33333333333333,26.666666666666668,Services
The Clan Hotel by Far East Hospitality,Clan Hotel Singapore Staycay,"Very nice boutique hotel in the heart of Singapore with great bars and restaurants nearby. Very clean, crisp and perfect for the business trip or short stay. Comfortable bed and Very friendly staff. Ms Joanne Selvaraj was very helpful and accommodating with excellent service.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.5394166666666667,0.7126666666666666,76.97083333333333,71.26666666666665,53.94166666666666,Location
The Clan Hotel by Far East Hospitality,Design Hotel with rooftop pool,"Nice rooms, great breakfast, wonderful rooftop pool and jacuzi with great views, nice gym with view, lovely little touches like tea, chocolate and chips were included. Great breakfast with many choices. Kind staff.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.6012500000000001,0.79,80.0625,79.0,60.12500000000001,Amenities
The Clan Hotel by Far East Hospitality,Nice and charming,"This hotel is greatly located between Raffles Place and Chinatown. Very nice design and the overall atmosphere. Efficient and friendly staff, fantastic reception desk. Rooftop pool on 30th floor - not very big but really a nice place to relax. Reasonable pricing and a pretty good value for money. Definitely worth staying at.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.40045454545454545,0.5933566433566433,70.02272727272727,59.335664335664326,40.04545454545455,Amenities
The Clan Hotel by Far East Hospitality,Excellent stay but slightly pricey,"Excellent room cleanliness and quality customer service. No shopping malls near the hotel but lots of food options and convenient stores. Check in/out reception was quite congested, can explore having pre-arrival check in to ease the queue.",4 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.55,0.7,77.5,70.0,55.00000000000001,Services
The Clan Hotel by Far East Hospitality,"Clean, Friendly and Strategic Location","It was my first time staying in The Clan. I couldn't find the entrance at first as the sliding door sensor was off. They switch it off in the night (after a certain time, i think 10pm onwards if I'm not mistaken). You can press the intercom or use your room keycard to access. Lucky someone was coming out so I could go in to check in. Otherwise there should be someone (staff) at the drop off point to assist you. I enjoyed my stay and the place was well maintained and clean sheets. Staff was friendly and helpful. It's also very near to the Telok Ayer MRT station. My office was 3mins walk away (and I usually walk very slow/take much longer than Google's estimated walking time) so that was very convenient location for me.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.23077380952380958,0.46178571428571424,61.53869047619048,46.17857142857142,23.077380952380956,Services
The Clan Hotel by Far East Hospitality,"Location, service and quality",Hidden little gem....get in before the world finds it! Defintely a must if you're looking for accomodation in Singapore. Breakfast a little basic but plenty of Cafe`s with excellent breakfast within 100 metres away fro hotel.,5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.08229166666666668,0.4916666666666666,54.114583333333336,49.16666666666666,8.229166666666668,Value
The Clan Hotel by Far East Hospitality,Excellent hotel,"Very nice hotel, stayed here during the F1 weekend. Not crowded. Super friendly staff, very nice beds and silent rooms. Good breakfast en excellent pool on 30th floor. Well equiped room and als an gym",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.5669047619047619,0.6952380952380953,78.3452380952381,69.52380952380953,56.69047619047619,Amenities
The Clan Hotel by Far East Hospitality,Best place to Stay if you like a Boutique experience and a great location,"Best place to stay if you like a boutique experience, great attention to detail. Nothing has been left to chance. Checking in and the Tea greeting was a wonderful way to start our stay. And to understand about the area’s history. We stayed 3 nights at the Clan and then moved to Marina Bay sands for 3 nights as another experience, wish we had stayed 6 nights at The Clan. Will definitely stay here next time we are in Singapore. Thank you To everyone at The Clan.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.4666666666666666,0.425,73.33333333333333,42.5,46.666666666666664,Services
The Clan Hotel by Far East Hospitality,Fantastic new boutique hotel!,"Reward yourself with a booking at the Clan Hotel. A stylish hotel with comfy bedding and great shower and bathroom facilities which is conveniently located close to the MRT, Clark and Boat Quay, china town food plus the hip district of Amoy with great bars and cool eating options to boot. We stayed for 5 nights throughout the Singapore f1 and couldn’t have enjoyed the stay more. The infinity pool, casual breakfast atmosphere and helpful and kind staff really topped the experience. We hope to see you again in 2023. Warm thank you team 🙏",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.43500000000000005,0.6916666666666667,71.75,69.16666666666667,43.50000000000001,Amenities
The Clan Hotel by Far East Hospitality,Top notch,"I loved this hotel! Rooftop pool was a great place to unwind and cool down. Beds were extremely comfortable, like sleeping on a cloud. The heated toilet was unexpected surprise. Service was top notch. 40 min train ride from Changi. I missed out on the tea ceremony, hopefully next visit.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.3151234567901235,0.5320987654320988,65.75617283950618,53.20987654320988,31.51234567901235,Amenities
The Clan Hotel by Far East Hospitality,"Excellent, want to come again!",Most pleasant stay. The only negative about it was that it ended eventually. Spent one week in this hotel. Fantastic Sunday special breakfast. Loved the pool area on the 30. floor. Very friendly and attentive staff. Will definitely come again!,5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.2889069264069264,0.6625541125541127,64.44534632034632,66.25541125541126,28.890692640692638,General
The Clan Hotel by Far East Hospitality,"Good location and friendly staff, but","The hotel is in a great location in Chinatown with the Heritage Walk ('Eat Street') commencing behind the hotel and continuing for ever :) The room (Grand Premier King) was clean, comfortable and spacious with a good fit-out. Staff at the front desk were very helpful and accommodating. But... the room was double booked and another guest was trying to move in and share the room with us. The Qin restaurant was of the view that breakfast was not included while the booking record in reception showed that it was included. By the time this was sorted out, breakfast was over and an 'all day' (big) breakfast offered on the terrace (no aircon outside of course) The breakfast arrangements were a little odd - no buffet, just 6 set breakfast menus. If you only wanted part of one menu, the",4 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.19375,0.5535714285714286,59.68750000000001,55.35714285714286,19.375,Location
The Clan Hotel by Far East Hospitality,Fantastic accomodation!,Comfortable bed and wonderful shower. The room was also so sound proof and had a beautiful view of Singapore. Awesome pool! The staff was very helpful. We needed to stay another night due to our flight cancellation and The Clan hotel was able to accommodate despite very busy with The Grand Prix season. Thank you!,5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.49799999999999994,0.689,74.9,68.89999999999999,49.8,General
The Clan Hotel by Far East Hospitality,Beautiful Sleek Hotel,"Staying with The Clan was the best choice! The location was excellent, right next to the MRT and only a 15 min walk from Mariana by the Bay. Chinatown, right outside their door, was interesting and had great Asian food choices! The view from the pool and hot tub was next level, and we had the space to ourselves at 10 AM. My two favorite things about this hotel were the in-room water filter and cups to cut down on water bottle waste and the shower suite. We had a midnight red-eye flight back to the US, so quite a bit of time to kill after check-out. They had no problem holding our many bags for us, and then after exploring Chinatown all day, we were able to come back to get showered and changed before the long flight home.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.26079365079365074,0.4167658730158729,63.03968253968254,41.67658730158729,26.079365079365076,Location
The Clan Hotel by Far East Hospitality,A wonderful stay,My partner and I enjoyed a great stay at The Clan hotel. The location was convenient so close to Amoy St for restaurants and bars and only a short walk to the riverside and marina. Room was well designed and nicely furnished in muted tones keeping things minimal. The gym and pool have a fantastic view of the city skyline. We enjoyed happy hour drinks on the terrace before heading out for dinner a few nights. Staff were extremely helpful especially when my partner hurt his ankle and needed to attend A&E. Nothing was too much trouble and they followed up the next day to see how he was and if we needed anything. At checkout we were assisted with our luggage. Thanks for a lovely stay! We will return!,5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.247265625,0.6375,62.36328125,63.74999999999999,24.7265625,Amenities
The Clan Hotel by Far East Hospitality,This stay exceeded our expectations.,"Love everything! Excellent choice! We arrived at the hotel early in the morning from an overnight flight. The receptionist was kind enough to allow us a early check-in as she understood the logistics of long haul international travel times. Fabulous location, just near DT line Telok Ayer, and walking distance to China Town and lot other attractions. Absolutely stunning views from our room on the 17th floor. The rooms were very spacious and had everything you needed and comfy beds and pillows. We were impressed with services provided from arrival till departure. All the service staff are polite and helpful. The whole experience was awesome. Would highly recommend staying at this hotel and we will be back again for sure! Thank you perfect CLAN!",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.3717500000000001,0.5951944444444444,68.5875,59.51944444444444,37.17500000000001,Services
The Clan Hotel by Far East Hospitality,Great hotel for Chinatown,"Great views of the city, comfortable and relaxing, nice layout of room with big spacious bathroom. Would recommend. We had tea and snacks upon arrival and they provided calming oil and more tea for the evening.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.4600000000000001,0.63,73.0,63.0,46.00000000000001,Amenities
The Clan Hotel by Far East Hospitality,The Clan Holiday,"Awesome place to stay, very central and only small walks to great eateries. Chicken Satay late night room service meal was better than some of the restaurants meals we had and none of those were bad. Definitely will stay here again.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.045000000000000026,0.6691666666666667,52.25,66.91666666666667,4.500000000000003,Location
The Clan Hotel by Far East Hospitality,Overall amazing,"Booked this hotel a day before I arrived and didn’t expect anything. Highly recommended for anyone who loves convenience and accessibility as it’s just opposite the train station. Good customer service, comfy and clean room.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.30666666666666664,0.4600000000000001,65.33333333333333,46.00000000000001,30.666666666666664,Location
The Clan Hotel by Far East Hospitality,Good value for money,"Excellent service with beautiful rooms and style. Really enjoyed our Honeymoon in Singapore and staying at this hotel. They also left a cute note congratulating us, which is very sweet. Little details in the hotel show they really care for their customers.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.41468750000000004,0.655625,70.734375,65.5625,41.46875000000001,Services
The Clan Hotel by Far East Hospitality,Honeymoon Stop over,"Excellent welcome and service throughout. It was a layover before Bali and could not have enjoyed the evening better. Local area is fantastic with great food nearby. We used the subway also to get to the light and water show. Very easy, beautiful people welcoming us as their own 😊",4 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.583030303030303,0.7681818181818181,79.15151515151516,76.81818181818181,58.3030303030303,Location
The Clan Hotel by Far East Hospitality,Excellent Hotel,"Good service and excellent hospitality. Breakfast choices were great. Desirable room top pool. But check in may be friendly for older guests or guests with mobility challenges as one needs to carry luggage up a few steps. Without hotel key card, one can’t use the ramp at the opposite end of the building",4 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.37129629629629624,0.5314814814814814,68.56481481481481,53.148148148148145,37.129629629629626,Amenities
The Clan Hotel by Far East Hospitality,We Will Stay Here Again Next Time,"The hotel is clean and modern, and the location is perfect. It is right next to the MRT station and walking distance to Chinatown. The breakfast is a la carte menu with kaya toast and fruits provided. We enjoyed the chefs daily special and daily porridge. We will definitely stay here again next time when we visit Singapore.",5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.24632034632034633,0.39155844155844155,62.316017316017316,39.15584415584416,24.63203463203463,Amenities
The Clan Hotel by Far East Hospitality,Great new hotel,I’m a sucker for an infinity rooftop pool and this place definitely didn’t disappoint. Great central location with a metro station directly across the street and within easy walking distance to the marina area. Staff were extremely friendly and room was immaculate. Would definitely stay here again!,5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.17604166666666665,0.5666666666666667,58.802083333333336,56.666666666666664,17.604166666666664,Amenities
The Clan Hotel by Far East Hospitality,The Clan Number 1,The hotel is in 100% good conditions. Toilet have the black marble like which is what I’m searching for. Feels like Im in modern ancient china. The theme suits my taste and the quality of the toiletries is extremely good. Thanks for the stay.,5 out of 5,September 2022,5.0 of 5 stars,#4 of 373 hotels in Singapore,0.26666666666666666,0.3555555555555556,63.33333333333333,35.555555555555564,26.666666666666668,Cleaniness
