hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
The Fullerton Bay Hotel Singapore,Great ambience and services,"Very home warming fell and great services from the staff. Went for the hi tea, they change a new menu display the best menu and matching with a great choice of tea or coffee. The service by the team is great and always timely and patience. Great introduction and recommends of the hitea item and what drinks is matching .",5 out of 5,,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.648051948051948,0.5792207792207792,82.4025974025974,57.92207792207792,64.8051948051948,Services
The Fullerton Bay Hotel Singapore,Holiday,Very beautiful and very clean hotel. I would love to visit again. The food is very good. They are very friendly and always smiling. They have very good service. The fountains are so beautiful especially the decoration during christmas season,5 out of 5,December 2020,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.6417708333333333,0.8400000000000001,82.08854166666666,84.00000000000001,64.17708333333333,General
The Fullerton Bay Hotel Singapore,Bayfront luxury oasis,"The Fullerton Bay hotel has a couple of fantastic things going for it. First, being fairly new, it has all the nice modern fittings that sets it apart from other hotels in its class (and there aren’t many operating at this upper echelon of luxury anyway, and they are mostly older and dated). Second, and more importantly, it has an exclusive, unrivalled location on the bayfront promenade. Other hotels in the area can claim to have a bay view, but only the Fullerton Bay can boast to be right at the bayfront, over the water in fact. Given this, it is absolutely incumbent that you minimally book a bay view room to fully enjoy the hotel’s unique appeal (yes, the premium over the entry rooms is totally worth it; it will make perfect sense every time you enter the room). Pair these",5 out of 5,January 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.2554164089878376,0.5574726860441146,62.770820449391884,55.74726860441146,25.541640898783758,Location
The Fullerton Bay Hotel Singapore,Great BayView but had smoking neighbours. Poor sleep because of the thin/soft pillows.,"[Positives] 1. It is the view. you get an absolutely unblocked view to MBS. you can chill by the balcony whole day. 2. the swimming pool is massive and tastefully designed with 2 x Jacuzzi by the sides. 3. Breakfast selection was ok. (much lesser selection than Fullerton Hotel) 4. Bath robes are probably the best across all hotels in Singapore. 5. we were celebrating valentine day and they placed 2 bears in the room for us. Tks! [Negatives] 1. as the header suggested, yup, I had neighbours who smoked at the balcony beside me. not sure if it was to my left or right. everytime they smoked, we will just get back into the room. It is a non-smoking hotel, but well, if you are a smoker and you have an open balcony, you won't be able to resist the convenience. 2. the pillows are",4 out of 5,February 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.20297619047619045,0.5124669312169312,60.14880952380952,51.24669312169312,20.297619047619044,Amenities
The Fullerton Bay Hotel Singapore,At Home!,"One of the best hotels in the world! Am so happy To have stayed here and will definitely return with my husband. The food, service, yoga, spa and business center were beyond compare! Nothing else like it in the world!",5 out of 5,February 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.4109375,0.47500000000000003,70.546875,47.5,41.09375,General
The Fullerton Bay Hotel Singapore,Best hotel that makes us feel like a second home. Will be back again soon!,"We are glad to come back again after a wonderful stay in January. Warmest welcome by the hotel and the excellent services from the hotel team. We meet friends in the hotel, not just the service staff! Especially our butler - Olivia, always give us the best and attentive services. We look forward to seeing her every day during the stays. Rhea, the Room Manager work extra miles to everything just to make us feel like a second home and she did! The Duty manager Ummar, always make sure that we are well-taking care of and at his best to fulfil during the stays. This is the best staycay ever and we are so happy to able to celebrate our special day at Fullerton Bay Hotel! It is beyond words to express how we love this staycation! Thanks.",5 out of 5,February 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.5428571428571428,0.5936287477954143,77.14285714285714,59.36287477954143,54.285714285714285,Services
The Fullerton Bay Hotel Singapore,21st Birthday,"Held my son’s 21st birthday at the private room of La Brassiere in mid- March. Rhea worked with us to decorate the room beautifully for the occasion. The menu was also semi-customised for us and the food was of course, excellent. It was a memorable occasion for everyone especially the birthday boy.",5 out of 5,March 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.33571428571428574,0.625,66.78571428571429,62.5,33.57142857142858,Services
The Fullerton Bay Hotel Singapore,Pleasant Staycation.,Great staycation at FBH. All staffs are very professional and helpful. Great views from bay view corner room. Easy to get a slot for the pool booking due to being a small hotel. Nice and wonderful complimentary little gifts for our anniversary. Overall a plesant staycation.,5 out of 5,March 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.31825757575757574,0.5671212121212121,65.9128787878788,56.71212121212121,31.825757575757574,Amenities
The Fullerton Bay Hotel Singapore,Amazing stay at FBH for my 21st Birthday!,"I would like to thank the team at Fullerton Bay hotel for the amazing 21st birthday staycation! The room was decorated extremely beautifully with all my favorite colours taken into consideration :) All decors and balloons especially were carefully selected for the room! I loved the decorations, birthday cake and the signature Fullerton bear and had a shock when I entered the room. No words could describe the feeling I had! Not to mention the breath-taking view from the room’s balcony which spanned the entire waterfront! The next day’s breakfast was delivered to the room and I was given yet another cake with a 21st topper! Overall I had an awesome stay amidst this COVID-19 restrictions. My 21st was indeed a memorable one! Feel absolutely blessed. Thank u once again to the team",5 out of 5,March 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.3140625,0.6390625,65.703125,63.90625,31.406250000000004,Services
The Fullerton Bay Hotel Singapore,Good service,"Visited La Brasserie on 29 April. I will like to applaud the Good service by kumar and chloe, they are very attentive, friendly and helpful. Good environment and decent food. Good experience. Will recommend friends and family over here.",5 out of 5,April 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.5269444444444443,0.6611111111111111,76.34722222222221,66.11111111111111,52.694444444444436,Services
The Fullerton Bay Hotel Singapore,Fantastic hospitality as expected,We stayed at the Fullerton Hotel and dined at Fullerton Bay. The hotel service was great as expected. Just want to highlight our experience at la brasserie - a shout-out to Kumar and Chloe who were helpful and fantastic throughout the evening,5 out of 5,April 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.3666666666666667,0.6833333333333332,68.33333333333333,68.33333333333333,36.66666666666667,Services
The Fullerton Bay Hotel Singapore,Wonderful afternoon tea,"Pleasant weekday afternoon tea by the bay. Food was great, with asian flavours on the seasonal menu. Service was superb, Princess and Lotha did a fantastic. Our savory and scones were topped up at regular intervals, they paid special attention to the particular item we liked and offered it almost instantaneously. Would definitely return again.",4 out of 5,April 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.4057142857142857,0.5898351648351647,70.28571428571428,58.983516483516475,40.57142857142857,Amenities
The Fullerton Bay Hotel Singapore,Afternoon Tea at The Landing Point,Great view and great service by Princess and Lotta! Very attentive to what my preferences are and offered the top ups actively! The buffet is worth the money! This is my third time back and I’m always satisfied with the service! Thank you for the great experience!,5 out of 5,April 2021,5.0 of 5 stars,#1 of 372 hotels in Singapore,0.46533333333333343,0.545,73.26666666666667,54.50000000000001,46.533333333333346,Amenities
