hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
The Fullerton Hotel Singapore,Best Hotel,"It my first time check in to this hotel, and good service bytheir staff, the room & the view was good. Overall my stay is fine only for 2 day stay, will come back again here with my family when we do some holiday in sinagpore",5 out of 5,February 2021,5.0 of 5 stars,#9 of 372 hotels in Singapore,0.2952380952380952,0.4333333333333333,64.76190476190476,43.33333333333333,29.52380952380952,Services
The Fullerton Hotel Singapore,Excellent service recovery,"Belated review as I stayed at TFH Heritage room for one night (with late checkout) in April 2021. We were given a corner room so the room and bathroom were extremely spacious. The room was generally very clean, but we found trash (likely from previous guest) hidden behind the curtains. Which brings me to my point about their service. When we found the trash I called for housekeeping, and though it was late at night, they still came quite quickly. I was expecting just one staff to come clean up, but two of them showed up to apologise. And I thought that was the end of the incident. But when I checked out, one of the front desk managers (sorry I don’t remember her name anymore!) voluntarily came up to me to offer her apologies, contact details and a Fullerton Bear! I was",5 out of 5,April 2021,5.0 of 5 stars,#9 of 372 hotels in Singapore,-0.09662878787878788,0.6827272727272727,45.1685606060606,68.27272727272728,9.662878787878789,Cleaniness
The Fullerton Hotel Singapore,Excellent staycation and exceptional service,"A staycation for my birthday and wedding anniversary, we arrived earlier than the stipulated check in time but still manage to get a room! The room was clean and comfy and the view was great! We spent the weekend enjoying the facilities at the hotel and experienced the various dining options and was impressed by the all the staff for their attentiveness and excellent service that brighten up our stay.",5 out of 5,September 2021,5.0 of 5 stars,#9 of 372 hotels in Singapore,0.5074074074074074,0.6722222222222223,75.37037037037038,67.22222222222223,50.74074074074074,Services
The Fullerton Hotel Singapore,Love it... will be an annual affair for us...,Love the hospitality & warm welcome from beginning to end... this staycation is a vacation very long overdue since we couldn’t travel for the past 10 months & we were afraid to step out of the house due to the pandemic... our kids enjoyed the stay so much they weren’t keen to leave the hotel to venture out for meals... our 5,5 out of 5,October 2021,5.0 of 5 stars,#9 of 372 hotels in Singapore,0.17333333333333337,0.5605555555555556,58.666666666666664,56.05555555555556,17.333333333333336,General
The Fullerton Hotel Singapore,Thank you for the great hospitality!,Had a staycation with my mom at The Fullerton Hotel and I’m so impressed by the hospitality of the team. They are all so cheery and helpful and we’ve thoroughly enjoyed our stay there. Breakfast was amazing too! Will strongly recommend a stay here!,5 out of 5,November 2021,5.0 of 5 stars,#9 of 372 hotels in Singapore,0.6983333333333334,0.8666666666666666,84.91666666666666,86.66666666666666,69.83333333333334,Services
The Fullerton Hotel Singapore,Overrated hotel during peak season,"Visited the hotel in Nov, 2 days after my birthday. Went at 10am to drop my luggage and the bellboy service was excellent, the best of the day. Completed the check in formalities and told to return at 3pm for a room. The rest of the trip gone downhill from there. Upon check in, given Quay Room. However, the room was small, and did not have a balcony. Went back to check back with the receptionist, after 1 hour, and 3 calls, no updates. Went back to the front desk, only to be told that the rooms are all full. I wonder how they allocated those rooms with balcony, as i had paid more for the quay room, to get one with better views and a balcony, only to be told nothing was available, despite coming in at 10am and signed up for their membership programme. returned at 6pm to find a",2 out of 5,November 2021,5.0 of 5 stars,#9 of 372 hotels in Singapore,0.2916666666666667,0.4708333333333334,64.58333333333334,47.083333333333336,29.166666666666668,Services
The Fullerton Hotel Singapore,A very awesome place to create awesome memorries,This hotel has never failed to amaze me and for me to hold my wedding ROM lunch with extended stay means a lot. Good view of the marina bay side and excellent service staff. Always helpful and a very good corrdinator to help you every step of the way (Wendy),5 out of 5,December 2021,5.0 of 5 stars,#9 of 372 hotels in Singapore,0.715,0.67,85.75,67.0,71.5,General
The Fullerton Hotel Singapore,Staycation to celebrate birthday,"Beautiful historical building next to Singapore river where there are a few historical buildings and can get a good view of the marina bay from One Fullerton with a drink, walking distance to boat quay and Clarke quay.",5 out of 5,December 2021,5.0 of 5 stars,#9 of 372 hotels in Singapore,0.22499999999999998,0.2833333333333334,61.25000000000001,28.33333333333334,22.499999999999996,Location
The Fullerton Hotel Singapore,Clean and comfortable modern hotel.,"Comfortable bedding and sound proof walls. Clean toilet and the toilet bowl has the Japanese wash bidet installed. Room service tasted better than the sit down buffet breakfast but the former was quite pricey. All said, it’s a great hotel and the service was prompt and good. Will return again.",4 out of 5,December 2021,5.0 of 5 stars,#9 of 372 hotels in Singapore,0.2676767676767677,0.36717171717171726,63.38383838383839,36.71717171717172,26.767676767676768,Cleaniness
The Fullerton Hotel Singapore,Beautiful Place to Stay,"Quay Pool View room had excellent views, highly recommended for an unforgettable and romantic stay. The newly renovated rooms were very classy and clean as well. Service staff were all welcoming and approachable.",5 out of 5,December 2021,5.0 of 5 stars,#9 of 372 hotels in Singapore,0.3704329004329004,0.742077922077922,68.52164502164501,74.2077922077922,37.04329004329004,Amenities
