hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
The Hotel Telegraph,Underwhelmed... Expected More.,"I must say I was quite underwhelmed with my experience at Hotel Telegraph. Right from the beginning, the experience was just 'average'. The taxi dropped me off from the airport (theres 2 entrances which is quite confusing) and there is no assistance with your luggage - No bellboy etc. This is surprising - isnt it a 5 star? I expected help - esp as I was paying $300 per night. The room was ok... Nothing fantastic - typical of a 4 star (not 5) hotel I would say. The breakfast was also nothing special. I struggled to get excited about going down to eat and ended up having 1 of my 4 brekky's on offer. The only good thing is location. Its quite central and an easy walk to Raffles Place, Boat Quay, China Town etc. Would I go back? For the price I paid, definitely not. I would",3 out of 5,September 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,0.16935107376283848,0.5252567693744165,58.467553688141926,52.525676937441645,16.93510737628385,Services
The Hotel Telegraph,Great Location,"The hotel is in a great location, situated close to a variety of MRT lines and bus stops. Best of all, it is located right beside the wonderful Lau Pa Sat Hawker Market. After enjoying the many delights of the market you don't have far to waddle back to your room. The hotel is located in a heritage building but is very modern inside. The decoration is bright and welcoming. The reception staff are efficient. The bellboys are wonderful, providing a cheery welcome every time that you return to the hotel. We stayed in a Balcony Suite. It was spacious with comfortable furnishings and a great bathroom. The soundproofing could be improved. We could hear the sound of the televisions in the rooms on both sides of us. Whilst it was not very loud it was still an intrusion. We chose the",4 out of 5,April 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,0.5416031027795734,0.6671234647705235,77.08015513897867,66.71234647705235,54.160310277957336,Location
The Hotel Telegraph,"Insolent manager, no response to emails and phone calls","I had the most unpleasant and unhappy experience, my first ever, in dealing with someone who is ill-mannered and ill-trained in the hospitality industry. Dhirah is the reservation manager and the supervisor of a staff who made multiple mistakes. Dhirah did not take ownership of the mistakes, blamed it on technical glitch, did not apologise and to top it all, she got into an argument with me, a guest. I asked for the mistake(s) to be rectified but she stood firm that she was not going to do it. Dhirah has previously asked me to do my own bookings online. I am a paying guest, there is a reservations team, I was thinking why I cannot enlist the help of the reservations team. On their hotel website, reservations@thehoteltelegraph.com is given. What is the purpose of this email?",1 out of 5,April 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,0.023333333333333338,0.485,51.16666666666667,48.5,2.333333333333334,Services
The Hotel Telegraph,Singapore Sings,"From the time our cases were unloaded at the front entrance to when they were reloaded three days later our stay at the Hotel Telegraph was amazing. Concierge, reception, restaurant and bar staff elevated our Singapore experience to the highest level. The room was very comfortable and our package include daily drinks and canapés which were delicious. Loved the rooftop bar and pool area also. A big shout out to Rochelle and Muhamed who looked after us so well when were dining. We'll be back....",5 out of 5,April 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,0.35250000000000004,0.47500000000000003,67.625,47.5,35.25,Services
The Hotel Telegraph,Awesome Heritage Hotel,"Comfortable stay, lovely breakfast and cool and good ambience at rooftop pool and bar, room was comfortable and clean with a nice touch. Conveniently located near public transport and opposite food market. Service is absolutely genuine everyone was attentive and helpful specially Ben. He greeted every guest with their name. Thanks Ben for a good recommendations and directions.",5 out of 5,April 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,0.3649206349206349,0.5692063492063493,68.24603174603175,56.920634920634924,36.492063492063494,Amenities
The Hotel Telegraph,Great hotel at the heart of Singapore with some improvement needed,"Strategically located next to Lau Pa Sat and SGX building, the legacy of F.G. Lundon from 1927 stands elegantly among the Singapore skyscrapers. The newly-renovated building itself offers a clean and cozy feeling with perfect conditioning among the heat of Singapore. I also felt like home with all the services that they offer to me and I was constantly in awe with the architecture and interior. The hotel applied pre check in form that was sent to my phone, so I could fill all the details and straight to the reception to receive my room key. However, due to their system change, they gave me separate key for lift and the room (they say it should be temporary and I hope it will be fixed as soon as possible). The room was awesome with high tech and can be operated through their",4 out of 5,May 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,0.20677777777777778,0.6198888888888888,60.33888888888889,61.98888888888888,20.677777777777777,Location
The Hotel Telegraph,Terrible condition of hotel rooms!,"The worst hotel in Singapore ever! Photos doesn’t match reality. Hotel rooms are old and dirty, personal is rude, administration doesn’t pay attention for guests requirements. We won’t be able to stay here because price and quality are not comparable. No one offers the refund, even 50% of payment amount. Not recommended, don’t waste your time and money for this accommodation",1 out of 5,May 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,-0.175,0.440625,41.25,44.0625,17.5,General
The Hotel Telegraph,Perfect in every way,"We chose the hotel due to the location and being a member of SLH, a good choice and one we’d definitely recommend. Everyone is so friendly and welcoming. We had a cozy room which was very comfortable and adequate for our 2 night stay. Checkin / checkout was quick and easy. The rooftop bar/pool area is lovely too.",5 out of 5,May 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,0.28700000000000003,0.6141666666666666,64.35,61.416666666666664,28.700000000000003,General
The Hotel Telegraph,Marvellous Experience at Singapore,"Marvellous experience in Singapore especially from this hotel, Singapore is a beautiful country with lots of interesting places to discover lovely people. our stayed was an unforgettable and wonderful. Clean room, nice hotel lobby and very attentive staff like Ben. He was very charming and friendly to assist us and other guest to their inquiries.",5 out of 5,May 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,0.5247222222222222,0.81875,76.2361111111111,81.875,52.47222222222222,General
The Hotel Telegraph,Beautiful boutique hotel,An absolute pleasure to stay at this boutique hotel adjacent to China town. The service was second to none. The breakfast was varied and delicious. The rooms were a little small but very comfortable. After a hard day seeing the sights of Singapore the roof top pool was great to cool off and enjoy a cold beverage,5 out of 5,May 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,0.2034027777777778,0.6451388888888889,60.17013888888889,64.51388888888889,20.34027777777778,Amenities
The Hotel Telegraph,Singapore Experience,"Conveniently located near public transportation and food markets. Nice comfortable room, pool and bar is a nice place to hangout. Food taste good and serve by friendly servers, cool and friendly concierge staffs led by Ben and his peers Vic,Smokey. Thanks guys for your assistance I really appreciate your efforts to feed us valuable informations.",5 out of 5,May 2023,5.0 of 5 stars,#68 of 372 hotels in Singapore,0.3545454545454546,0.537878787878788,67.72727272727272,53.787878787878796,35.45454545454546,Amenities
