ChatGPT
"

2018
Cleaniness: Positive: 1, Negative: 0
Services: Positive: 4, Negative: 0
Value: Positive: 3, Negative 0

2019
Cleaniness: Positive: 6, Negative: 2
Services: Positive: 2, Negative: 0
Value: Positive: 4, Negative 0

2020
Cleaniness: Positive: 8, Negative: 1
Services: Positive: 3, Negative: 0
Value: Positive: 6, Negative 1

2021
Cleaniness: Positive: 10, Negative: 3
Services: Positive: 6, Negative: 0
Value: Positive: 5, Negative 2

2022
Cleaniness: Positive: 11, Negative: 2
Services: Positive: 9, Negative: 0
Value: Positive: 8, Negative 0

2023
Cleaniness: Positive: 12, Negative: 0
Services: Positive: 15, Negative: 0
Value: Positive: 30, Negative 0"
