hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
"The Ritz-Carlton, Millenia Singapore",Exceeded our Expectations!!,"Our family of 4 had done quite a fair bit of staycations this past year in SG. However, Ritz totally wins us over with their exceptional services from arrival to departure. It was a birthday staycation for my two boys and we were upgraded to their 1 bedroom suite. Wow, the room was huge in size, two extra bed was added for the boys, birthday treats prepared in the room for them. Of course, not forgetting the “killer” view of the gorgeous marina bay areas! They certainly had a whale of time running around in the suite. Services at the club lounge was also wonderful, quiet and food was tasty too, especially love the breakfast. It was certainly not a cheap staycation but worth every penny spent!",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.33206349206349206,0.6036507936507935,66.6031746031746,60.36507936507935,33.20634920634921,Services
"The Ritz-Carlton, Millenia Singapore",Best hotel I've experienced!,"We stayed in the hotel for 3D2N to celebrate a birthday. I booked the 25th anniversary sale (1-for-1, for club marina room) and my experience from start to end was just mindblowing. The club staff were extremely responsive over email and very helpful, even pre-checkin. Ayaka from the front desk assisted us in checking in and she provided such wonderful service. The hotel had been thoughtful in upgrading us to a corner suite as they took note that it was for a birthday. I appreciated that throughout the stay, they continued to extend exemplary and thoughtful service despite us having purchased the room on sale. Ayaka even gave us a handwritten note and a box of (super yummy) chocolates which was a delight. When we got to the room, we were blown away to see the size of the",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.3010416666666667,0.5708333333333333,65.05208333333333,57.08333333333333,30.10416666666667,Services
"The Ritz-Carlton, Millenia Singapore",The best hotel at Marina Bay area,"We came early for check in, lucky the room was ready. The front desk(Catherine if i remember correctly) was very welcoming and even provide a coloring book for my toddler. They prepared extra bed since they know that our toddler is coming. Such a thoughtful gesture. They provide us with afternoon chocolates, made our bed before sleep and give another chocolate by the bed. Among all other hotels in Marina Bay area that i stayed before, Ritz-Carlton has the best service and the most spacious room.",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.26083333333333336,0.4208333333333333,63.041666666666664,42.08333333333333,26.083333333333336,Services
"The Ritz-Carlton, Millenia Singapore",Our favorite staycation in Singpaore,"The Ritz-Carlton is our favorite hotel in Singapore. We stayed in a club deluxe suite located at the corner of the hotel and just down the hall from the club lounge. The views were stunning and we loved the iconic octagonal windows. Service at the club lounge was impeccable, warm, and friendly as always, and we enjoyed the food selections and free-flow all-day champagne. We cannot recommend the Ritz-Carlton enough, especially if you are able to splurge on a club level room!",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.4226495726495727,0.7049145299145299,71.13247863247864,70.49145299145299,42.26495726495727,Amenities
"The Ritz-Carlton, Millenia Singapore",Best hotel in Singapore!,"I stayed in many 5* hotels in Singapore including both Raffles Hotel and Capella but this is without a doubt the best hotel out of all of them! I stayed at The Ritz for my hen do. I rented a Millenia Suite with lounge access and it exceeded my expectations. The view from my room was breathtaking (pictures attached). The room was located on the same floor as the lounge so it was super easy and convenient to pop in for a glass of champagne at any time! The lounge was also INCREDIBLE. Unlimited champagne, delicious food and so many different meals to choose from including breakfast, lunch, afternoon tea etc. However, what truly made my stay at The Ritz so special was the Ritz staff. They were just wonderful - very thoughtful and helpful and they truly cared about our",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.5886263736263737,0.6651098901098901,79.43131868131869,66.51098901098901,58.86263736263737,Amenities
"The Ritz-Carlton, Millenia Singapore",Undoubtedly the best for life’s special moments and celebrations,"For years now, the Ritz-Carlton Millenia has been my go-to for celebratory occasions - memorable stays to mark birthdays and anniversaries, but also such wonderful feasts (dinners, afternoon teas, even takeaway picnic when dining in was restricted due to the pandemic). Each time, they have not only delivered, but exceeded my expectations on multiple counts - from special cake arrangements (the hotel has a world-class pastry team that creates and customises with glee every imaginable form of delicious, beautiful cakes), handmade cards, and other delightful surprises. The team would go the distance to ensure every encounter is a memorable one - out of sincere passion to delight and nurture the relationship. Indeed, over the years, I feel grateful and blessed to be able to",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.42551020408163265,0.7104591836734694,71.27551020408163,71.04591836734694,42.55102040816327,Services
"The Ritz-Carlton, Millenia Singapore",wonderful staycation for our wedding anniversary,"My family (with our 6 months old baby) booked a staycation to celebrate our wedding anniversary at The Ritz-Carlton, Millenia Singapore. We were well taken care of by Ms. Murphy (Guest Relations) and her colleagues, Kevin (Guest Relations) and Naresh (Housekeeping Butler)! We were also well greeted by your staff before check in and had a great chat with him as well! (so sorry I did not manage to get his name, but we checked in on 27 Mar 2021, at around 1~2pm) The room was well prepared and nicely decorated to commemorate our anniversary, along with some snacks and drinks. My wife and I were pleasantly surprised by the personalised posters pasted in the room to welcome us too! Even our son had a little surprise with the balloon zebra! His comfort was also well taken care of,",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.29866071428571433,0.75,64.93303571428571,75.0,29.866071428571434,Services
"The Ritz-Carlton, Millenia Singapore",Best Hotel Room! Legendary Service!,"The Ladies and Gentlemen at The Ritz-Carlton Millenia has truly been a gem. We had a great time and refused to leave the room! Our check in was done by Ms Nana Suzuki who was extremely professional, polite and courteous. Upon arriving to our room, we were blown away by the spacious room and 'sexy bathroom' followed by the preparation done by the Guest Relation team led by the legendary Ms Murphy Loh. We hear a lot about her on Tripadvisor and to witness first-hand of what she does is truly exceptional! Murphy prepared a personalized handwritten card to welcome us, as well as a photo of us (which we took home and framed it). Even while writing, we still can't get over how we felt when we saw it. We were truly blown away. After coming back to the room, we had a note from Ms",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.6041666666666666,0.71875,80.20833333333333,71.875,60.416666666666664,Services
"The Ritz-Carlton, Millenia Singapore",The best hotel in Singapore,"I cannot stress how impressed I was with the quality of service both leading up to my stay and throughout the stay! Room was perfect with amazing views of the city. Staff ( in the club) go above and beyond to ensure your stay is one not to be forgotten! Food and drinks were excellent quality throughout (breakfast, afternoon tea and evening canapés). Cannot wait to return!!",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.72,0.8,86.0,80.0,72.0,Services
"The Ritz-Carlton, Millenia Singapore",5 STAR HOTEL,"The family and I stayed here for 3 days 2 nights in March 2021. This hotel has a view that other hotels can only dream of. Imagine bathing in the bathtub with the view of Singapore skyscrapers right in front of your eyes. Staffs were friendly, the room was in immaculate condition, a well-equipped gym and a large swimming pool. Surrounded by shopping centres, you will have no problem going shopping if the need arises. Wifi and parking were complimentary too. I will definitely come here again if there chance ever arises again.",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.15,0.548469387755102,57.49999999999999,54.8469387755102,15.0,Location
"The Ritz-Carlton, Millenia Singapore",Best hotel experience ever,"This hotel has provided the best service and amenities among all the 5-star hotels I have been to. From the moment we entered the hotel to the moment we left, every moment has been extraordinary. All of the staff we passed by, from housekeepers to receptionists to managers, every single one of them genuinely greeted us with smiles. We went for our anniversary staycation, and our special day was made a memorable one thanks to the hotel. They truly went the extra mile and never failed to surprise us. The club lounge especially, constantly provided us with excellent quality of food and drinks, with impeccable customer service. The club lounge access is a must to enhance the experience, and you will not be disappointed. The view from the club lounge and the suite room is",5 out of 5,March 2021,5.0 of 5 stars,#28 of 372 hotels in Singapore,0.28350340136054425,0.5251700680272109,64.17517006802721,52.51700680272109,28.350340136054424,General
