year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2015,57.34872647777059,41.72061965811966,18.99907796451914,4/6,59.8814935064935,39.94666048237477,,1/1,58.79531056175793,35.63624890147446,,6/6,60.2889245014245,40.82369208569209,34.08730158730159,5/6,64.06558568209326,44.376630113056365,,20/20,56.285939153439145,31.254312169312165,,4/4
2016,56.955455180780554,33.664515457595954,25.65625,19/20,62.33908604166514,40.781336928651996,,11/11,59.94452035579265,37.81440483069333,25.856857638888883,28/29,57.71273656474216,37.793034032365306,22.99620950037617,24/30,58.85313800757081,36.23505828804715,17.650793650793652,76/77,61.81591920539495,40.17875534864649,,22/22
2017,60.0073412332508,38.43412232799616,31.88015873015873,19/21,62.73835898500815,41.54885588723225,,7/7,61.11913827209313,39.353064523545854,21.766666666666673,29/30,58.97352424288035,36.37534361704203,30.48139880952381,18/19,59.760206777552355,38.18152777065582,24.403869047619047,58/60,63.72050767906316,44.22115116457394,23.03030303030303,18/19
2018,58.22332622624289,34.834935866602535,,12/12,68.52992724867727,51.31024187452759,,12/12,61.30008658384568,41.01031780319397,17.633333333333333,30/31,59.21804537450244,38.23118600496461,24.762816220238097,23/25,61.45753804370253,41.244500810589244,22.97083333333333,62/64,59.99582417674392,39.5302865603725,24.3514155982906,20/22
2019,60.34766131199955,36.83412799074564,,9/9,64.00110561396275,44.381158237076605,,7/7,58.89677007182373,38.63579686328617,28.05900673400673,27/30,58.674508790324005,37.59972926731079,24.576851851851856,12/13,60.70557747320148,38.53276169053021,,53/53,61.578610587079154,40.76868805314626,26.92857142857143,17/18
2020,57.642397660818716,36.82397660818714,,1/1,0.0,0.0,0.0,0/0,62.05549317580568,40.51484337421837,,8/8,0.0,0.0,0.0,0/0,60.5955285052119,39.48679009313055,,8/8,67.42817460317461,50.05793650793651,,2/2
2021,56.8127962723551,31.147355095884507,,2/2,71.16333333333334,51.27333333333334,,1/1,62.669419185057926,42.51878075069009,,26/26,72.9,58.2,,1/1,64.42958294428882,44.26875194522253,,3/3,69.42772108843538,53.175170068027214,,1/1
2022,58.412018999519,35.68916546416547,,4/4,61.57316635745207,41.53869305297877,,7/7,64.38809022123172,45.40625110044707,,77/77,61.82884229912504,40.54741701310154,,8/8,64.35285151025288,44.630777057098456,,24/24,63.594108891774184,43.76092488064745,,17/17
2023,67.9006734006734,51.18855218855219,,1/1,64.1135237228651,44.308334589107666,,21/21,64.77925630399733,45.27493041521082,,36/36,60.30769204115941,38.491819095426635,,8/8,64.95409934851942,45.64181949451445,,32/32,65.77011891921433,47.51322398483583,,19/19
General,58.657647822469606,,,71/76,64.23442261428951,,,67/67,62.29936962015368,,,267/273,59.152951162950785,,,99/110,61.14471079187054,,,336/341,62.57357200331012,,,120/124
