ChatGPT
"

In 2015, there were 6 positive ratings and 2 negative ratings in the category of cleanliness. In the category of services, there were 6 positives and 0 negatives. In the category of value, there were 5 positives and 0 negatives. 

In 2016, there were 5 positive ratings and 6 negative ratings in the category of cleanliness. In the category of services, there were 8 positives and 2 negatives. In the category of value, there were 2 positives and 4 negatives. 

In 2017, there were 4 positive ratings and 5 negative ratings in the category of cleanliness. In the category of services, there were 3 positives and 4 negatives. In the category of value, there were 4 positives and 1 negatives. 

In 2018, there were 8 positive ratings and 3 negative ratings in the category of cleanliness. In the category of services, there were 8 positives and 1 negatives. In the category of value, there were 7 positives and 3 negatives. 

In 2019, there were 6 positive ratings and 5 negative ratings in the category of cleanliness. In the category of services, there were 7 positives and 3 negatives. In the category of value, there were 2 positives and 2 negatives. 

In 2020, there were 4 positive ratings and 1 negative ratings in the category of cleanliness. In the category of services, there were 8 positives and 0 negatives. In the category of value, there were 2 positives and 1 negatives. 

In 2021, there were 8 positive ratings and 4 negative ratings in the category of cleanliness. In the category of services, there were 7 positives and 2 negatives. In the category of value, there were 7 positives and 2 negatives. 

In 2022, there were 7 positive ratings and 5 negative ratings in the category of cleanliness. In the category of services, there were 7 positives and 3 negatives. In the category of value, there were 11 positives and 3 negatives. 

In 2023, there were 32 positive ratings and 0 negative ratings in the category of amenities. In the category of services, there were 19 positives and 0 negatives. In the category of value, there were 11 positives and 0 negatives."
