hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
The Scarlet Singapore,Great Cinatown Location,"When I booked in March , I became aware that the 5 days I needed to stay in Singapore was durng F1 week which explained the high hotel rates even 6 months out, and the limited availability. At the time of booking, all that was available was an interior room (without window). On arrival, I was very happy to be allocated a room with a very small balcony and windows. Pros: * Location is in Chatatown, directly opposite the new Maxwell MRT * Within short walking distance to Maxwell, Amoy & Chinatown Food Centres, and within 5 minutes of Amoy Street where there are many restaurants (should you tire of food centres) * Hotel room has a small refidgerator with free beverages (soft drinks, Coconut water, and Tiger beers), These are topped up daily as are te chocolate bars and packets of",4 out of 5,September 2023,4.0 of 5 stars,#18 of 372 hotels in Singapore,0.16428107606679035,0.40410018552875693,58.21405380333952,40.41001855287569,16.428107606679035,Location
The Scarlet Singapore,4 night break for Singapore GP,"Stayed for 4 nights for the Singapore Formula 1 race, it was great. Really friendly, helpful staff, room ideal with good amenities, bed very comfortable and hotel in excellent position for MRT and Chinatown.",5 out of 5,September 2018,4.0 of 5 stars,#17 of 372 hotels in Singapore,0.7158333333333333,0.8083333333333332,85.79166666666667,80.83333333333333,71.58333333333333,Amenities
The Scarlet Singapore,Great location,"I recently stayed at the Scarlet Hotel, on the very edge of Chinatown. There are many things that make this hotel a great place to stay. First and foremost is it's incredible location, being right next to Chinatown, and also Club Street, which is packed with cosy bars and restaurants and has a quaint old colonial street appeal. The interior decor of the hotel is loaded with character, and my room was very comfortable and clean. It's worth choosing a premier room as you have windows that open onto a tiny balcony, and this lends a sense of a bit more space than the other smaller rooms. The staff are delightful and extremely helpful. You cannot fault the service here. My main complaint, if anything, was the quality of the breakfast provided, which costs around $30 but is absolutely",3 out of 5,September 2018,4.0 of 5 stars,#17 of 372 hotels in Singapore,0.2517748917748918,0.5171536796536796,62.588744588744596,51.71536796536797,25.177489177489182,Location
The Scarlet Singapore,Excellent location!,"Excellent location, just take less than 1 minutes to go to famous food court - Maxwell and take around 2-3 minutes to go to China Town. But some of the facilities are not in good condition, for example the bath room door, the shower and tv.",4 out of 5,September 2018,4.0 of 5 stars,#17 of 372 hotels in Singapore,0.5083333333333333,0.6666666666666666,75.41666666666667,66.66666666666666,50.83333333333333,Amenities
The Scarlet Singapore,Good hotel with great staff,"We found the Scarlet a really good hotel. The staff were welcoming and helpful. The bed was very comfortable and the amenities were good. We had a small issue with the sink and they organised maintenance to attend within 30 minutes. Don’t let that concern you, the hotel is good.",5 out of 5,September 2018,4.0 of 5 stars,#17 of 372 hotels in Singapore,0.47400000000000003,0.64,73.7,64.0,47.400000000000006,General
The Scarlet Singapore,Unique Stay!,"Perfect location in Chinatown, close to all the good eats and Hawker Food Stalls. One con is we wish the room had windows. We honestly didn't use any other amenities, like the spa or step foot in the restaurant.",4 out of 5,September 2018,4.0 of 5 stars,#17 of 372 hotels in Singapore,0.54375,0.71875,77.1875,71.875,54.37499999999999,Value
The Scarlet Singapore,A Small Luxury Hotel Indeed!,"As part of the Small Luxury Hotels of the World portfolio, the Scarlet has lived up to its expectations. The room was small but cozy, and had all the amenities you would actually find in most luxury hotels. The gym was surprisingly well equipped, but the outdoor jacuzzi could only accommodate 4 people at the most. The breakfast was fine, but a bigger selection of hot food would have been much appreciated. I was very pleased with my stay!",4 out of 5,September 2018,4.0 of 5 stars,#17 of 372 hotels in Singapore,0.20608974358974358,0.5461538461538461,60.304487179487175,54.61538461538461,20.608974358974358,General
The Scarlet Singapore,My Favourite Quirky Hotel Singapore,"We stayed one night before flying out of Singapore. This gorgeous hotel in a row of heritage converted shophouses has a sloping hallway, half floors and a roof top terrace. The staff and service are lovely, breakfast was nice and the room whilst very small, was comfortable and clean, the bathroom is large and lovely. I know that the rooms are all different. Location is fabulous, across the road from genuine Singapore Hawkers market, end of the street is Chinatown. Only downside is the build occurring mext door for a new MRT station, not a pretty view and noisy during the day, was fine overnight though - request a back of hotel room is my suggestion. Love the Scarlet Hotel.",4 out of 5,August 2018,4.0 of 5 stars,#17 of 372 hotels in Singapore,0.2640692640692641,0.6405149236728184,63.20346320346321,64.05149236728184,26.406926406926413,Location
The Scarlet Singapore,Really nice :),"We have been there for 3 nights and everything has been as expected, nice staff and polite, clean room and nice breakfast:) And a big point more is for the position,perfect! Near to all the best points",4 out of 5,September 2018,4.0 of 5 stars,#17 of 372 hotels in Singapore,0.4101851851851852,0.6,70.50925925925927,60.0,41.01851851851852,General
The Scarlet Singapore,Location & Price equals value.,"What was I worried about before booking at the Scarlett? The location was right side of city for cruise port and within Chinatown where we hadn't been before. We had secured early a good price on Wotif. We liked the idea of the heritage of the converted shop houses. Some reviews mentioned lack of a window. So we asked by email before arriving and were granted one. If we weren't granted one, multiple lights on dimmer switches. Some reviews how small the standard room. There was a trestle for one suitcase and I stored mine in the dead space between front door and bathroom door. Mention of a tired bathroom. Sure some mildew on grout and sealant, but a good shower with good volume of flow. I liked the bathroom, compact and functional. It rained the first morning. You can",4 out of 5,September 2018,4.0 of 5 stars,#17 of 372 hotels in Singapore,0.25612244897959185,0.49699546485260765,62.80612244897959,49.69954648526077,25.612244897959187,Location
