ChatGPT
".

For 2017, there were 2 positives and 2 negatives in terms of cleanliness, 0 positives and 0 negatives in terms of services, 0 positives and 0 negatives in terms of value.

For 2018, there were 2 positives and 2 negatives in terms of cleanliness, 1 positives and 1 negatives in terms of services, 0 positives and 1 negatives in terms of value.

For 2019, there were 2 positives and 1 negatives in terms of cleanliness, 2 positives and 1 negatives in terms of services, 1 positives and 0 negatives in terms of value.

For 2020, there were 2 positives and 1 negatives in terms of cleanliness, 2 positives and 1 negatives in terms of services, 2 positives and 0 negatives in terms of value.

For 2021, there were 0 positives and 2 negatives in terms of cleanliness, 2 positives and 0 negatives in terms of services, 0 positives and 0 negatives in terms of value.

For 2022, there were 1 positives and 1 negatives in terms of cleanliness, 2 positives and 0 negatives in terms of services, 2 positives and 1 negatives in terms of value.

For 2023, there were 0 positives and 2 negatives in terms of cleanliness, 2 positives and 1 negatives in terms of services, 10 positives and 0 negatives in terms of value."
