hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
The St. Regis Singapore,The remarkable experience at St Regis!,It is one the best hotels I have visited. People here all are well mannered and good behaved. The service was just amazing. Every one was just a call away for any sort of assistance required. I'd definitely share and take back all the moments here to my country.,5 out of 5,September 2023,5.0 of 5 stars,#59 of 372 hotels in Singapore,0.45999999999999996,0.4600000000000001,73.0,46.00000000000001,46.0,Services
The St. Regis Singapore,Wonderful stay with great customer service. Good location to Orchard and Tanglin Mall. Diversified breakfast,"- Spacious bathroom - Front office lady (Ms. Suyikin) was so helpful and friendly from the first time we checked in. All staff is really nice with smiles all the time. - Breakfast is cooked with healthy ingredients. All of our requests were served quickly. My children enjoyed everyday breakfast with hot/ice chocolate. Staff is always ready to clean our table and is so attentive to guests, especially Mr. Kamal. - I really love the toilet amenities brand Laboratoire Remede. The smell is very comforting. - Near Tanglin Mall where we can find imported goods. Thank you so much for giving us a wonderful stay during first days of Lunar New Year. We must come back when we visit Singapore.",5 out of 5,January 2023,5.0 of 5 stars,#60 of 373 hotels in Singapore,0.2839015151515152,0.5260606060606061,64.19507575757576,52.60606060606061,28.39015151515152,Services
The St. Regis Singapore,Too good to be true,"From the moment we entered the hotel lobby, we were impressed. The interior decor was luxurious yet warm and inviting. The hotel restaurant has a stunning interior as well. We were able to have a relaxing breakfast, the food was delicious and top-notch. The staff of Astor Bar was excellent and pleasant. They were very welcoming and accommodating, efficient and attentive, specially to this girl name Christianne, everyone was caring about our needs to ensure that we were enjoying our stay. I would definitely recommend The St, Regis Hotel as it is a great place for guests to relax and enjoy themselves.",5 out of 5,February 2023,5.0 of 5 stars,#60 of 373 hotels in Singapore,0.5993650793650793,0.7542063492063491,79.96825396825396,75.42063492063491,59.93650793650793,General
The St. Regis Singapore,Daily Aperitivo Hour @ Astor Bar,"Did a staycaytion over the weekend at St Regis, and would love to commend the team on their hospitality and warmth extended while we are there. From the front-desk to room service staff, porters and guest services; everyone we met greeted us with a smile and was quick to help and attend to us. We enjoyed ourselves at Astor bar too, which despite us being there for the Daily Aperitivo Hour (which was complimentary), the service rendered to us by Winty and her colleagues made us feel really welcomed. Looking forward to coming back again to stay!",5 out of 5,February 2023,5.0 of 5 stars,#60 of 373 hotels in Singapore,0.26666666666666666,0.325,63.33333333333333,32.5,26.666666666666668,Services
The St. Regis Singapore,Epitome of luxury,This hotel is stunning and the service is impeccable. We got an upgrade to a deluxe room which was gorgeous. Super comfortable bed and bathroom. Wish we got to spend time more time there. The cocktail bar is very nice with wonderful wonderful service.,5 out of 5,February 2023,5.0 of 5 stars,#60 of 373 hotels in Singapore,0.6563333333333333,0.8516666666666666,82.81666666666668,85.16666666666666,65.63333333333333,General
The St. Regis Singapore,St. Regis/Singapore/2023,"I am currently visiting Singapore, and have been staying at St. Regis for the last 5 days. I will be very sad leaving this wonderful hotel tomorrow. I have travelled around the world, and had excellent service from hotel staff. This hotel itself is excellent, but the staff have been fantastic. If you are fortunate enough to stay here, please ask for Executive butler Ramesh Pavadai for the special art tour. His guide made the experience even more special.",5 out of 5,February 2023,5.0 of 5 stars,#60 of 373 hotels in Singapore,0.3636904761904762,0.6841269841269842,68.18452380952381,68.41269841269842,36.36904761904762,Services
The St. Regis Singapore,"5 star service, 5 star food, 5 star experience","Fantastic service standards, provided assistance to the wedding couple every step of the way and even went the extra mile to accommodate some of the requests! Food during the banquet was great and the ambience of the ballroom was majestic!",5 out of 5,February 2023,5.0 of 5 stars,#60 of 373 hotels in Singapore,0.4666666666666666,0.5833333333333334,73.33333333333333,58.333333333333336,46.666666666666664,Services
The St. Regis Singapore,There is no other choice!,"My absolute favorite place to stay in Singapore. Stayed her years ago on my honeymoon, It didn't disappoint then, and doesn't disappoint now. The staff is friendly, food good, rooms imaculate and location is is central to everything.",5 out of 5,February 2023,5.0 of 5 stars,#60 of 373 hotels in Singapore,0.355,0.65,67.75,65.0,35.5,Services
The St. Regis Singapore,"Pleasant stay overall, with minor problems","It was a smooth check-in process and the staff was very friendly. Beautiful hotel, although the inside of the lifts do look a bit tired (same for the room). For the room, it looks beautiful. We were served hot chocolate for two as a welcome drink of sorts, and it tasted great. The room is spotless. Complimentary tea and coffee were provided, along with 4 bottles of water. There were also a minibar with snacks and mini bottles of alcohol (all chargeable). As mentioned, the room did look a bit tired with certain parts of the wallpaper (hidden from plain view) peeling off. Bathroom was gorgeous! Came with 2 sinks and a bathtub in middle, plus a small walk-in wardrobe, toilet and shower. Toiletries were provided, like hair conditioner, shampoo, body soap, body moisturiser,",4 out of 5,February 2023,5.0 of 5 stars,#60 of 373 hotels in Singapore,0.22434210526315787,0.5387844611528824,61.21710526315789,53.878446115288234,22.434210526315788,Services
The St. Regis Singapore,Perfect,Everything was perfect. How is that even possible? The room was lovely. The bathroom was a palace. The beds wonderful. But the real highlight was the breakfast buffet. Made to order food without having to stand in the omelet line. All sorts of stations with an enormous variety of food. DO NOT MISS IT.,5 out of 5,March 2023,5.0 of 5 stars,#60 of 373 hotels in Singapore,0.45,0.8250000000000001,72.5,82.5,45.0,Amenities
