year,Cleaniness,Cleaniness_POS,Cleaniness_NEG,CleaninessNumbers,Amenities,Amenities_POS,Amenities_NEG,AmenitiesNumbers,Services,Services_POS,Services_NEG,ServicesNumbers,Value,Value_POS,Value_NEG,ValueNumbers,Location,Location_POS,Location_NEG,LocationNumbers,General,General_POS,General_NEG,GeneralNumbers
2015,0,0,0,0/0,72.65555555555557,58.2888888888889,,1/1,0,0,0,0/0,52.521904761904764,27.660952380952384,,1/1,64.49100529100528,46.2989417989418,,4/4,56.95833333333333,36.138888888888886,,1/1
2016,59.446660138107504,38.75937576416899,28.611904761904768,7/8,67.15908490172353,49.03886280792706,,48/48,58.7439173889196,38.13849044090564,19.743569393569395,33/37,60.830655562498805,41.56021597617905,20.220588235294116,19/21,60.96384263515907,39.59394742683335,26.188235294117653,58/59,62.65571215890765,42.66455203460765,,20/20
2017,60.89985484150926,46.52820853982619,24.290740740740745,6/8,64.17085378446573,45.362954551193425,23.611344537815132,66/68,61.962702436542514,42.36291301509921,32.07070707070707,64/67,59.57179921222958,37.81520387271901,22.8425925925926,27/28,61.942548376690674,41.54080906184335,,53/53,63.08919596255767,43.09507100504308,31.19791666666667,27/28
2018,62.33694207480972,48.6138113157721,22.38506493506494,3/4,64.33530171894195,44.973255552351134,,37/37,59.412801166252606,39.0785353293504,23.523699294532626,55/59,56.520596406679736,35.535764634226176,20.33688186813187,13/15,63.41029239073886,43.65541625158646,,30/30,61.22111166879668,43.08834737860279,21.66473704866562,18/20
2019,57.27408937863483,41.25289256198347,21.429292929292927,2/3,66.865669018809,48.36198635524889,,27/27,60.02468396917392,40.08603482349247,25.38985088985089,35/38,61.0754438820983,39.6634499405823,,10/10,62.41832182548448,41.75405422398414,,34/34,63.696269741454685,47.60654329644714,31.666666666666664,13/14
2020,0,0,0,0/0,64.94353571428572,45.91261111111112,,5/5,63.23193399252901,42.810230571458845,,17/17,55.060227272727275,33.788636363636364,,2/2,67.78645022823945,51.03814840751116,,6/6,64.99368969810146,46.91783380018674,,6/6
2021,0,0,0,0/0,60.1730604657688,38.60960297418631,,6/6,62.94489488540171,42.17925929189613,,19/19,60.58291666666666,41.37416666666667,,2/2,63.213251024315454,41.79161994764236,,7/7,62.2462481962482,40.7642270923521,,4/4
2022,45.233891828336276,30.06666666666667,29.555996472663143,1/3,69.83559259259259,53.553576719576725,,5/5,58.48943305887417,38.171926671236676,42.29333333333334,16/17,47.23016862346408,25.74305555555556,26.623939393939395,1/3,60.27630954893408,40.47421307555497,20.27252747252748,9/10,58.279109573554024,41.401530999864335,39.83333333333333,5/6
2023,52.77864347662141,27.2549302413273,,2/2,69.48117837577809,53.70034985407392,33.46527777777778,53/54,63.988245975240574,45.386893391320285,36.79761904761905,49/50,64.45555555555556,42.78888888888889,,3/3,66.68410610797855,48.380369752524615,,12/12,63.720628234301316,47.151294591871974,42.33333333333333,12/13
General,58.04289709679746,,,21/28,66.26536474865208,,,248/251,61.10509147281053,,,288/304,59.09273993945686,,,78/85,62.39302949635525,,,213/215,62.5868752560736,,,106/112
