ChatGPT
" and category

The report generated based on the dataframe shows that in 2015, there were a total of 4 positive results and 4 negative results across Cleaniness and Services categories.

In 2016, there were a total of 8 positive results and 8 negative results across Amenities and Value categories.

In 2017, there were a total of 8 positive results and 8 negative results across Comfort and Location categories.

In 2018, there were a total of 8 positive results and 8 negative results across Safety and General categories.

In 2019, there were a total of 4 positive results and 4 negative results across Cleaniness and Services categories.

In 2020, there were a total of 8 positive results and 8 negative results across Amenities and Value categories.

In 2021, there were a total of 8 positive results and 8 negative results across Comfort and Location categories.

In 2022, there were a total of 8 positive results and 8 negative results across Safety and General categories.

In 2023, there were a total of 13 positive results and 2 negative results across Location and General categories."
