hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
The Westin Singapore,Nice and fine dining meet up,"We had the nice time last night. We catch up and meet up our friendly big brother. We celebrated my Mom’s birthday. So, once the associates knew, they made a surprise to my Mom with yummy tiramisu ruhmn cake in cup and raisin ice cream scoop. They also had option for vegetarian. Must try “impossible beef” burger. Highly recommend. All of the staff is skillful. Nice view with the quay and port view The pork chop, calamari are also nice. Definitely will come back",5 out of 5,September 2023,5.0 of 5 stars,#36 of 372 hotels in Singapore,0.1834848484848485,0.586969696969697,59.17424242424243,58.6969696969697,18.34848484848485,Amenities
The Westin Singapore,hotel lobby at 30th floor and higher floors on rooms,"I really like hotels that have their lobby half way up the building, which really gives great skyline views. Rooms are large and spacious, and a view of the harbor and ships even better. Only regret was that the infinity pool was under maintenance BUT they did have an arrangement with JW to use their pool and the Westin would provide transportation. Staff is extremely friendly and lobby very comfortable and original (met a friend for two hours)",4 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.3017619047619048,0.5495238095238095,65.08809523809525,54.95238095238095,30.17619047619048,Amenities
The Westin Singapore,Pretty good,"Large rooms, accomodated early check in, grand lobby and excellent buffet breakfast. Location pretty decent, couple of minutes to metro and easy to walk to gardens by bay or china town. Hawker style food court 2 minutes walk away. Lobby and bar have classy feel. Would have been nice to have been forewarned about pool closure. Items available for purchase in rooms are poisonously overpriced. $14 for 250ml water. Bedding very comfortable, bathroom excellent. Staff friendly. Would recommend.",4 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.4353296703296703,0.7714285714285715,71.76648351648352,77.14285714285715,43.53296703296703,Amenities
The Westin Singapore,Excellent service,"The service is excellent. The breakfast buffet is way overpriced ($53), it doesn't worth it. The cafe downstairs is very simple (isnt Starbucks) Location is very good, 3 blocks from the subway station.",4 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.5525,0.5860714285714287,77.625,58.60714285714287,55.25,Value
The Westin Singapore,Top Business Hotel,"I have been staying here quite a few nights and I have to say that I am very satisfied. The location is great if you have to work in the Financial Center, there is a Subway Station very close. Despite the fact that this hotel is rather large with 305 rooms, the staff is friendly and professional. I actually like that the rooms are quite modern, very clean and most of them have a great view. The quality of the food in the hotel is okay, I prefer less variety and more quality. The bar in the lobby is decent, it feels a bit cold (I don’t just mean the air con) and could use some more style. The pool is great, but could be a bit larger for swimming (currently under renovation) and the gym is well equipped and has a good view. Overall I am very satisfied and will stay here",4 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.2501278659611993,0.4818298059964726,62.50639329805997,48.18298059964727,25.01278659611993,General
The Westin Singapore,Top notch business hotel in CBD,"Westin Singapore evokes the new hotel feel although it’s been a few years. Luxurious and comfortable heavenly bed awaits, and service from the team is very friendly and excellent; must say one of the better Westin in the region. Located right in CBD it’s an easy walk to marina bay sands. Gym is well equipped and their Westin run programme is excellent and worth to join for a quick tour of Singapore if you love running!",4 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.4417703823953824,0.5894660894660894,72.08851911976912,58.94660894660893,44.17703823953824,Location
The Westin Singapore,"Review for Seasonal tastes, Westin Singapore","Dinner buffet in Seasonal tastes, Westin Singapore, is amazing in food taste and service. Even though the price is expensive, it is worth to spend at there. If you through the ""Chope"" application, they have discount sometime. Recommended to go and try.",5 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.1333333333333333,0.5666666666666668,56.66666666666666,56.66666666666668,13.333333333333336,Value
The Westin Singapore,a nice dinning place,"Recently i went to this hotel for their one for one lobster buffet dinner. we got a seat near the window, the price is about $50 per pax (after the promo). the food serve was nice and they replenished the food quite fast. worth going if they are having a promotion.",5 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.24,0.47,62.0,47.0,24.0,Value
The Westin Singapore,Amazing Hotel! Relaxing experience,"I stayed at the Westin this month during my first trip to Singapore. The hotel is wonderful! The lobby is fresh, open and modern. The hotel is maintained very well and looks and feels new. Each staff person I encountered was friendly and polite. The front desk was welcoming! I was upgraded to a suite, which was a very large room with a large bathroom and sleeping area. The room itself was so comfortable and relaxing. The bed was comfortable and the air conditioning worked well. I ate lunch and dinner in the hotel at Seasonal Tastes and had breakfast in the Club Lounge. There was a good variety of food and I enjoyed that the lobby level of the hotel was midway in the building so you could enjoy the views while at the restaurant. Please take time to visit the pool. What a",5 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.3631980519480519,0.5515728715728715,68.1599025974026,55.15728715728715,36.31980519480519,Services
The Westin Singapore,A good hotel,"It is hard to fault this hotel, the staff are very helpful, the food is good the room large, the AC work maybe a bit too well, the view over the dock and harbour will keep you fascinated for hours. The only problem is the food and beverage prices are a little high especially over a weekend. but it not the right hotel for a holiday visit as it is in the centre of the financial area.",4 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.1080833333333333,0.5445952380952381,55.40416666666667,54.459523809523816,10.808333333333334,General
The Westin Singapore,incredible views from infinity pool,"first time in Singapore for 3 days and I am so happy I choose this hotel. It was a short walk from the main attractions of shopping centres, marina bay sands and the Gardens. Very close to the subway and restaurants. The staff were very accommodating and even helped me to make the most of my short stay. They gave advice on what to see and when etc. My room was luxury and had everything I needed. The bath was amazing, the bed was extremely comfortable and the views looked over the city. The infinity pool had spectacular views and was very quiet.",5 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.3097222222222222,0.5333333333333333,65.48611111111111,53.333333333333336,30.97222222222222,Location
The Westin Singapore,Excellent in every respect,"This hotel has figured out how to exceed its guests’ expectations in every respect. The lounge near reception and the rooms have awesome views. The rooms are modern, clean, comfortable, and filled with amenities, including a big screen TV, and wi-fi. The bathroom fixtures were modern, efficient and very comfortable, especially the shower. The fitness facilities and pool were also extraordinary. The food in the dining facilities was excellent and so was staff. Nui, the Assistant Manger, and Kelvin were friendly, helpful and very professional, and the price was reasonable. The hotel is also located near the Downtown subway station for quick access to the entire city. I stayed two days and found the hotel and its staff excellent in every respect.",5 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.350438596491228,0.645,67.5219298245614,64.5,35.04385964912281,General
The Westin Singapore,Just OK,"Generally, perfectly fine business hotel. Large room, good shower, comfy bed, OK service, decent selection at breakfast. I would have graded this 4, but I'm knocking a point off for the ridiculous number of LEDs and the non-dimmable clock in the bedroom which collectively were disruptive to sleep.",3 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.2773809523809524,0.6158730158730158,63.86904761904761,61.58730158730158,27.73809523809524,General
The Westin Singapore,Seasonal Tastes - Good buffet in CBD area,"The food have lots of variety, sushi, fresh bread, local delight (Chicken rice, laska, soup noodle & etc), indian food, pasta, salad, dim sum, chinese food, meat loft, satay and dessert. I love their food.I was too full, I dont even have the chance to try their pasta. You will be spolit with their dessert too, ice cream sorbet, cakes, kueh, fruits chocolate fondue, blueberry chessecake and more...Another credits goes to their beautiful scenery. What a relaxing and satisfy lunch!!",4 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.20625,0.5125,60.3125,51.24999999999999,20.625,Amenities
The Westin Singapore,one of my fave hotels,"ALWAYS a great stay. We love staying at this hotel. This stay was our 20th stay and we were given a fantastic upgrade to an amazing suite. The hotel had a pyjama party to raise awareness for their thread forward campaign. They send old bed sheets and other linens to be recycled, re-woven and turned into children’s pyjamas. A great idea. I was lucky enough to get an invite and also meet Lance the hotel manager and his lovely wife Michelle. I was a really nice evening and I felt quite special to get the invite. As always the rooms are immaculate, housekeeping don't miss anything here. The club lounge is a great bonus and the staff are all excellent. Patrick even remembered that my husband likes to have a G&T. The reception guys greet my husband by name before he has even",5 out of 5,April 2018,5.0 of 5 stars,#38 of 372 hotels in Singapore,0.4443650793650793,0.6586507936507936,72.21825396825396,65.86507936507935,44.43650793650794,General
