ChatGPT
"

For 2019: 
Positive Cleaniness: 8
Negative Cleaniness: 1
Positive Services: 33
Negative Services: 3
Positive Value: 6
Negative Value: 0
Positive Amenities: 16
Negative Amenities: 0
Positive Location: 25
Negative Location: 2
Positive General: 17
Negative General: 0

For 2020: 
Positive Cleaniness: 2
Negative Cleaniness: 0
Positive Services: 1
Negative Services: 0
Positive Value: 0
Negative Value: 0
Positive Amenities: 2
Negative Amenities: 0
Positive Location: 3
Negative Location: 0
Positive General: 1
Negative General: 0

For 2021: 
Positive Cleaniness: 0
Negative Cleaniness: 0
Positive Services: 0
Negative Services: 0
Positive Value: 0
Negative Value: 0
Positive Amenities: 0
Negative Amenities: 0
Positive Location: 0
Negative Location: 0
Positive General: 0
Negative General: 0

For 2022: 
Positive Cleaniness: 0
Negative Cleaniness: 0
Positive Services: 5
Negative Services: 1
Positive Value: 1
Negative Value: 0
Positive Amenities: 1
Negative Amenities: 0
Positive Location: 1
Negative Location: 0
Positive General: 3
Negative General: 0

For 2023: 
Positive Cleaniness: 23
Negative Cleaniness: 2
Positive Services: 232
Negative Services: 5
Positive Value: 25
Negative Value: 5
Positive Amenities: 85
Negative Amenities: 0
Positive Location: 48
Negative Location: 2
Positive General: 98
Negative General: 1"
