hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
V Hotel Lavender,Superb,"We have stayed here 3 times now and again in February 2020. The staff are helpful the hotel clean and comfortable there are many eateries in and around the hotel, the MRT is at your doorstep to all stations . We luv it.",5 out of 5,March 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.4222222222222222,0.6666666666666666,71.11111111111111,66.66666666666666,42.22222222222222,Services
V Hotel Lavender,Very Good Location,"I love the location. The hotel room is small but we managed! Aside from the MTR being just few steps away, there a lot of food choices around the area as well as a grocery! Bus stops are also around the hotel. Neighborhood also feels safe even if we walk at night. We booked for 3 rooms and we requested to be put within the same floor which they did. Each room also comes with a cellphone with unlimited internet access and international phone call. So our group was able to communicate using this. The aircon in one of the 3 rooms where we should be staying was not working and this is the only bad thing about the experience. The maintenance told us that he will inform the front desk so we can change our room, we waited for almost 3 hours and no one calls. So we went to the front",4 out of 5,March 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.026388888888888906,0.4462962962962963,51.31944444444445,44.62962962962963,2.6388888888888906,Location
V Hotel Lavender,Great place,"Central place to be. trains underneath, great for Santoasa island or to see a show, or f1 if the time is right, great food at good prices, we felt safe there even at night. great staff. Will go back again.",4 out of 5,April 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.48571428571428577,0.5169642857142858,74.28571428571429,51.69642857142858,48.57142857142858,Location
V Hotel Lavender,Clean & Convenient,"This was our second stay at the Lavender and we love the location, easy to catch a train and travel to any destination in Singapore. The bus is also at the doorstep but we didn't use this service. The hotel is clean and our room was very comfortable. The staff are very friendly and we would definitely recommend staying at the Lavender. We will definitely come back.",5 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.2563888888888889,0.5314814814814814,62.81944444444445,53.148148148148145,25.63888888888889,Location
V Hotel Lavender,Best Value for money hotel in Singapore,The location of this hotel is perfect for access to the MRT from either the Airport or the cruise terminal. The Lavendar Station is directly below the hotel . The MRT is easy to use to get anywhere in the city. The hotel rooms meet all our requirements and the staff are friendly and helpful. Free wifi and a nice swimming pool to cool off after a long day shopping. We have stayed at this hotel several times now and our friends also book regularly.,5 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.3208333333333334,0.566025641025641,66.04166666666667,56.6025641025641,32.08333333333334,Amenities
V Hotel Lavender,Superb...,"Beautiful city view from the hotel. Nice rooms, comfertable for family. I like it. Good service... It was a wonderful experience highlight quality service and friendly environment feels us happy. Decently you can opt this hotel for stay at Singapore. Perfect deals, and good restaurant, swimming pools.",5 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.687962962962963,0.8185185185185185,84.39814814814814,81.85185185185185,68.7962962962963,Amenities
V Hotel Lavender,Ween end gate away,"Fast check in and check out. So happy when Mr. Jason Teo gave me free up grade to premier room. The room is nice, not too small. Very near to Lavender MRT station and have so many foodstall surround. Absolutely will stay at V hotel Lavender if visit Singapore.",5 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.3225,0.7150000000000001,66.125,71.50000000000001,32.25,Services
V Hotel Lavender,Visit,Good Hotel .. Thanks Jason Teo for helping me in early check in free of Cost . Looking forward visiting V soon :) Thankyou . But Please restore soon as the Noise was very annoying during stay but hope overall a good experience .,4 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.19999999999999998,0.5625,60.0,56.25,20.0,General
V Hotel Lavender,Superb service and location,Booked a room for my parents for 2 days. They were served by Kerwin who's friendly and accomodating. Location is very accessible and super close to MRT and city centre. Highly recommended to all visitors.,5 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.3389583333333333,0.5485416666666667,66.94791666666666,54.85416666666667,33.89583333333333,Amenities
V Hotel Lavender,V hotel lavander,"Much happy since they allowed to check in early. this check in mangger is so good. thank you.i am much happy with the service of this hotel, specially this checkin guy who helped me. I was much tired and early checked in made me easy",5 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.36130952380952386,0.6630952380952381,68.06547619047619,66.30952380952381,36.13095238095239,Services
V Hotel Lavender,Mr,"Appreciate the good reception at the hotel. Work done within no time They accommodated for early check-in Thanks ZHEN ZHOU & Jason I had a good time chatting with them, convenient, near to MRT Thanks once again",5 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.3333333333333333,0.38333333333333336,66.66666666666666,38.333333333333336,33.33333333333333,Services
V Hotel Lavender,General manager,Very good service by Zhen Zhou. Good location and just beside the MRT. Nice property and convenient for all areas. Nice food outlets around the area. Well experience staff and very friendly. For a holiday or business travelers good location to select.,5 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.6662500000000001,0.7716666666666668,83.31250000000001,77.16666666666669,66.62500000000001,Amenities
V Hotel Lavender,Singapore tour celebration,"On our first day i made a call to ask if they have a birthday cake because its our friend's birthday and we wanted to surprise her,he said no they dont have. Then 1 min after, the staff told me he will try his best to send us free cake. i was impressed to the staff named JOVAN. He did everything for us to give us a birthday cake request for free!!!🎂 Great service!!!😊",5 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.6900000000000001,0.6366666666666667,84.5,63.66666666666667,69.0,Services
V Hotel Lavender,Awesome hotel,Good ambience and friendly surrounding. Hotel near to subway station. Mr Hanif front office supervisor help us alot with the tourist attractions places. He helps us alot with our stay here. Recommended and will come again soon.,5 out of 5,May 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.39166666666666666,0.5,69.58333333333333,50.0,39.166666666666664,General
V Hotel Lavender,Good service,Tho hotel renovating but the service from the hotel staff zhen Zhou and his manager Jason was so nice and friendly to us upon our arrival they help us with our queries and assist us to a smooth check in,5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.4583333333333333,0.6666666666666666,72.91666666666666,66.66666666666666,45.83333333333333,Services
V Hotel Lavender,Awesome staff,Awesome staff by v hotel lavender! I was warmly greeted by the repctionist zhen zhou and assistant manager Jason! They are so professional in their services! Would book this hotel again! 4star hotel with 5 star services! Do compliment them v hotel,5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.6484375,0.5666666666666668,82.421875,56.66666666666668,64.84375,Services
V Hotel Lavender,Wonderful hotel,Excellent service staffs by front office Jovan and manager Jason are very cooperative.wish to come again. Best hotel in Singapore. view from the room is awesome.near by to shopping centers.very cleanly maintained.Breakfast was awesome. Over all nice place,5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.6944444444444445,0.7166666666666668,84.72222222222223,71.66666666666669,69.44444444444446,Services
V Hotel Lavender,Best hotel,"Hotel good. The hotel is convenient,which is near the mrt station. I have been served by aloysius and Jason with a smile. Great stuff you have in the hotel. I will stay in this hotel next time I come.",5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.38,0.37,69.0,37.0,38.0,General
V Hotel Lavender,Overall is good,We walked in to the hotel for the stay. Jason Teo and Zhen Zhou served us friendly. They offered a free upgrade to us. The room was sparkling clean with stunning city views. Recommended and definitely will come back for future travels.,4 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.23452380952380952,0.5178571428571429,61.72619047619048,51.78571428571429,23.452380952380953,General
V Hotel Lavender,Best Hotel,"Very good customer service by front office staff Mohan and assistant manager Jason teo, clean rooms very curious friendly was very helpful to guide us for our shopping,will recommend yo our friends from india to check in this property .",5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.34433333333333327,0.656,67.21666666666665,65.60000000000001,34.43333333333333,Services
V Hotel Lavender,Great Hotel,"Excellent hotel,Great location just above lavender train station, good staff,room is small but manageable.Room is clean everyday,cheers,food courts and eatery just outside the hotel,listen to the customer and especially jason teo helped us a lot.",5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.25952380952380955,0.55,62.976190476190474,55.00000000000001,25.952380952380956,Location
V Hotel Lavender,Great host,"I would like to praise reception Zhen Zhou and the assistant manager Jason Teo, they serve me well and was very patient with me and my family. This is the first time I encounter such friendly staff in Singapore. I would certainly book this hotel again next time",5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.17321428571428568,0.3674603174603175,58.66071428571429,36.74603174603175,17.32142857142857,Services
V Hotel Lavender,Good View Room Nice place,I’m on high floor nice view in night time and very easy to access from MRT and go to another place even if raining. Room clean not big but not too small for me it good hotel with nice facility and nice staff,5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.3711111111111111,0.7044444444444444,68.55555555555556,70.44444444444444,37.111111111111114,Amenities
V Hotel Lavender,Ok for what you pay,"Firstly good location in Singapore. It has been noted the rooms are small and that was the case. No problems for us but if you like space then this is probably not the hotel for you. There was a pretty awful smell on level 8 at times and we couldn’t work out what it was. Also the air-con is freezing. We actually had to turn it off to warm ip the room!! If you are after a hotel where they bring your bags up and down from the room this wasn’t our experience, however didn’t bother us personally. The tour booking guy is fantastic by the way. Lots of local knowledge and very helpful. Definitely saved us by being scammed from a taxi driver. Overall we don’t have a lot of complaints and is very handy for transport and the pool immaculate.",3 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.13299603174603175,0.4992063492063492,56.64980158730158,49.920634920634924,13.299603174603176,Location
V Hotel Lavender,"Good Location, Friendly Helpful Staff","Hotel transfer from Changi Airport was easy and quick (SGD 9p/p including luggage). Very early arrival brought us to the hotel many hours in advance of check in time. Staff were very gracious and allowed us to occupy the room immediately which was very much appreciated. After a noisy start due to renovations, staff graciously and without question changed our room to a higher floor (again very much appreciated). First room was a little basic with older fixtures and fittings, older bed linen and towels however we were on a Singapore Air stopover for $1.00 per person per night so absolutely no complaint about the standard of room. The room change resulted in a superior room which, although not particularly large, was extremely comfortable, spotlessly clean and had a fabulous",4 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.2108106575963719,0.44056689342403627,60.5405328798186,44.05668934240363,21.08106575963719,Services
V Hotel Lavender,Awesome hotel,Amazing hotel very near to burger king and lavender mrt station. Nice room... Great hospitality by Mr. Hanif.... Room is very spacious................ Will come again soon and recommend my friends to v hotel lavender,5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.466,0.694,73.3,69.39999999999999,46.6,Location
V Hotel Lavender,Family Trip,"The Hotel was very nice, ; The staff (especially Kevis Toh) was very good. newly renovated with swimming pool including gym. Very convenient Hotel.... Check in was smooth... This is a must staying hotel ....",5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.40439393939393936,0.6724242424242425,70.21969696969697,67.24242424242425,40.43939393939394,Services
V Hotel Lavender,Nice and Beautiful Hotel,"I have checked in at V Hotel Lavender and I must say that the staff are warmly welcomed and the they were very approachable. The room were neat and tidy, and they do have complimentary coffee and tea bag. If you are bored, you can switch the TV channel to YouTube app and watch your favorite movies. V Hotel Lavender is a best place to check in as it is very near to the town area or I should say the well known area like Bugis, Orchard and many more. Thank you so much for the accommodation and the hospitality that you have given to me.",5 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.3663636363636364,0.5654545454545454,68.31818181818183,56.54545454545455,36.63636363636364,Cleaniness
V Hotel Lavender,V hotel,Firstly is it V hotel or lavender hotel or both. The room given was small dark and dingy. Nothing like the pictures on website . Then there is the gym nothing like pictures online so it’s has 5 pieces of equipment and no air con so like being in a prison cell I can imagine. The moment another guest walks in forget the workout. If you want an iron you have to share with all the other guests really. Breakfast was ok on plastic plates and plastic glasses a bit like a 5 year birthday party . One good thing about hotel the underground station is close .,1 out of 5,June 2019,4.0 of 5 stars,#39 of 373 hotels in Singapore,0.16071428571428573,0.40119047619047615,58.03571428571429,40.11904761904761,16.071428571428573,Amenities
