hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Village Hotel Albert Court by Far East Hospitality,"Convenience, Value, all we need","This is a great value hotel for a trip in Singapore. Extremely well situated with easy access to main stations and bus. It is lined with lots of convenient meal options. Breakfast is okay but it's limited for our taste. Not a big deal as there are so many food options everywhere in Singapore. The hotel staffs are all warm and friendly, very helpful and gave us guidance and suggestions on where to go in Singapore. We stayed until they closed so it is such a pity. Sincerely hope the hotel is open when we return to Singapore in future.",5 out of 5,September 2023,3.0 of 5 stars,#84 of 372 hotels in Singapore,0.2163865546218487,0.440266106442577,60.81932773109244,44.0266106442577,21.638655462184875,Value
Village Hotel Albert Court by Far East Hospitality,Comfortable stay at walking distance from Little India,"Visited with family- 2 seniors, couple with a kid The hotel is centrally located well connected. At walking distance from Rochor MRT station and Little India Station. Bugis is also not very far. The staff is very friendly and helpful. We forgot to take printouts of our tickets and they happily printed it for us. Rooms are averaged sized, modern and comfortable. Some of the rooms have nice view of the Bukit Timah road. free wifi is available in the room. Prices are reasonable, we paid about S$157 per night per room. Little India is walking distance from here and you can have your meals there. If you are a vegetarian this is a boon, ananda bhavan/komala vilas restaurant outlets are hardly 500 meters away. Note that you need to take the door towards Bukit Timah road to walk to",5 out of 5,May 2017,3.0 of 5 stars,#84 of 372 hotels in Singapore,0.2140285996055227,0.6239151873767258,60.70142998027613,62.39151873767258,21.402859960552277,Value
Village Hotel Albert Court by Far East Hospitality,Ok,The rooms are too small. They do serve indian breakfast but for vegetarian it’s too limited. It’s a small hotel but the location is good. The staff is good. They have shops down and a very good traveller shop down,4 out of 5,June 2017,3.0 of 5 stars,#84 of 372 hotels in Singapore,0.1784325396825396,0.4375793650793651,58.92162698412699,43.75793650793651,17.843253968253965,Value
Village Hotel Albert Court by Far East Hospitality,Suitable for small families and couples,"Located at the heart of Bugis and very near to OG shopping mall, the hotel brings a cozy environment with very good customer service. I still remembered when my family came to our room, we loved the smell of lemongrass. It was so much comfortable and fresh.",4 out of 5,September 2017,3.0 of 5 stars,#84 of 372 hotels in Singapore,0.3733333333333333,0.6916666666666668,68.66666666666667,69.16666666666667,37.33333333333333,Cleaniness
Village Hotel Albert Court by Far East Hospitality,Lovely hotel and excellent location,This hotel is set out like a village and felt like one it was nice a peaceful with clean and spacious rooms rooms were cleaned everyday with fresh towels and bedding. All staff were very friendly and helpful. Breakfast was delicious lots to choose from we had dinner one night here they had a 3 course deal on which was very cheap and worth it tasty food and would come back again. We went out every day visiting the city. Would highly recommend this hotel close to India street and the mrt and bus station. Singapore has lots to offer an amazing city!,5 out of 5,October 2017,3.0 of 5 stars,#84 of 372 hotels in Singapore,0.3778472222222223,0.6166666666666667,68.89236111111111,61.66666666666667,37.78472222222223,Location
Village Hotel Albert Court by Far East Hospitality,Satisfied with several issues,"Nice hotel, clean, very good breakfast. Internet was so slow that I had to use my cellular network. Location of the hotel was ok, near metro station. Regardless that my company paid, it was very expensive! Thank you.",3 out of 5,October 2017,3.0 of 5 stars,#84 of 372 hotels in Singapore,0.1948809523809523,0.67,59.74404761904761,67.0,19.488095238095237,Location
Village Hotel Albert Court by Far East Hospitality,Stasfied stay at the hotel,"A big applaud to the gesture received by the reception staff throughout the stay and would like to mention one name here - Kelvin Ooi. Excellent job doing brother, keep up the spirit. Must visit place",5 out of 5,November 2017,3.0 of 5 stars,#84 of 372 hotels in Singapore,0.5,0.55,75.0,55.00000000000001,50.0,Services
Village Hotel Albert Court by Far East Hospitality,Love this place.,"This is the second time I have stayed here and for good reason. Great location - I could see little India from my room. There is an MRT right outside and another line within a short walking distance. The rooms are modern and clean. There is some ambiance to the building and decor. Staff were helpful and there was a good choice of food for breakfast. However, there are few hang out areas at the hotel (no garden bar or pool) but this wasn't an issue as we were out and about. I would stay here again and I recommend this place to my single friends going to Singapore. However, if you have children suggest a place with a big outdoor pool rather than here.",4 out of 5,November 2017,3.0 of 5 stars,#84 of 372 hotels in Singapore,0.1994963369963369,0.3653846153846153,59.97481684981685,36.53846153846153,19.949633699633694,Location
Village Hotel Albert Court by Far East Hospitality,Great Location and very friendly.,"You arrive to a very pretty courtyard with the hotel rooms either side. The staff are incredibly helpful and will do anything to make you stay more pleasant. Unfortunately our first night was dogged by noise from the kitchen next door so the hotel moved us without the slightest quibble. The breakfasts are very good and well stocked and location, for us, couldn't be better:- placed in-between little india and china town with the excellent metro station just a couple of minutes walk away.",4 out of 5,December 2017,3.0 of 5 stars,#84 of 372 hotels in Singapore,0.4028030303030303,0.68,70.14015151515152,68.0,40.280303030303024,Location
Village Hotel Albert Court by Far East Hospitality,Nice hotel in a great location,Stayed two nights for a quick weekend getaway from Manila. Location - perfect location close to little india and MRT. It took us about 20 mins to walk to the main strip of orchard st. Breakfast - Both of us are vegan. Vegan hot food options at breakfast was plentiful and the variety changed over two days Rooms - spacious and clean. The rooms were nicely furnished. Comfortable bed. Water pressure a little low but still ok. Loved the free handy phone with internet and local calls to use during you stay We are checking out today but will definitely be back next time we come to Singapore,5 out of 5,January 2018,3.0 of 5 stars,#84 of 372 hotels in Singapore,0.2906862745098039,0.557843137254902,64.5343137254902,55.7843137254902,29.06862745098039,Amenities
