hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Village Hotel Bugis by Far East Hospitality,Great service,Went here for a meeting on a weekday. Great service and assisted us with all we needed. The AV worked well. Ashaari led us to our sit and told us we could have refreshments which was coffee or tea. Thank you!,5 out of 5,July 2022,4.0 of 5 stars,#92 of 372 hotels in Singapore,1.0,0.75,100.0,75.0,100.0,Services
Village Hotel Bugis by Far East Hospitality,Good all round option in Singapore,"The hotel has several things going in its favour: 1. Centrally located, convenient to easily reach many attractions or even office locations 2. Many shops and eateries in close proximity, serving a variety of cuisines 3. Large and comfortable rooms with modern amenities 4. Quick access to the metro stations - there are 3 stations within 5-8 mins walk 5. Nice swimming pool :-) We did not have any meals at the hotel, so no comments on the in-house dining aspect. Given the vast variety of eateries nearby, food was never an issue, including the nearby Little India area where we went often. Breakfast was SGP $25 per head, a bit steep, so we did not opt for it. The one thing we did not like about the hotel was that there is no lobby area to sit and wait. We reached the place early in",4 out of 5,April 2023,4.0 of 5 stars,#92 of 372 hotels in Singapore,0.2566751700680272,0.5651360544217686,62.83375850340136,56.51360544217686,25.66751700680273,Location
Village Hotel Bugis by Far East Hospitality,Good all round option in Singapore,"The hotel has several things going in its favour: 1. Centrally located, convenient to easily reach many attractions or even office locations 2. Many shops and eateries in close proximity, serving a variety of cuisines 3. Large and comfortable rooms with modern amenities 4. Quick access to the metro stations - there are 3 stations within 5-8 mins walk 5. Nice swimming pool :-) We did not have any meals at the hotel, so no comments on the in-house dining aspect. Given the vast variety of eateries nearby, food was never an issue, including the nearby Little India area where we went often. Breakfast was SGP $25 per head, a bit steep, so we did not opt for it. The one thing we did not like about the hotel was that there is no lobby area to sit and wait. We reached the place early in",4 out of 5,April 2023,4.0 of 5 stars,#92 of 372 hotels in Singapore,0.2566751700680272,0.5651360544217686,62.83375850340136,56.51360544217686,25.66751700680273,Location
Village Hotel Bugis by Far East Hospitality,"Nice clean hotel, probably an ideal location.","Very poorly done entry, but that is the end of the downside. Nice clean room. Breakfast is good, Indian, Western and Asian - all kinds of food on the menu. Nice pool, poolside dining. Walking distance to Bugis Market, Little India, close to China town, airport, and the marina.",5 out of 5,June 2023,4.0 of 5 stars,#92 of 372 hotels in Singapore,0.1948958333333333,0.5725,59.74479166666666,57.25,19.48958333333333,Amenities
Village Hotel Bugis by Far East Hospitality,Great family stopover,"Great location, near MRT and walkable to city sights. Helpful staff, especially Ivy at reception. Really comfortable beds and clean bathroom. Beside the Sultan mosque and Arab St and I loved the vibe of the area. Huge selection at the buffet breakfast and our kids enjoyed a few hours at the pool. I would return without hesitation!",5 out of 5,June 2023,4.0 of 5 stars,#92 of 372 hotels in Singapore,0.3351851851851852,0.6833333333333333,66.75925925925927,68.33333333333333,33.51851851851852,Amenities
Village Hotel Bugis by Far East Hospitality,Great location,"The hotel is in a great location, handy to everywhere, MTR, shopping and food. Its showing a little bit of age but is very clean and tidy. The staff are friendly and helpful. Will stay there again next time we visit wonderful Singapore.",4 out of 5,June 2023,4.0 of 5 stars,#92 of 372 hotels in Singapore,0.4580208333333333,0.67,72.90104166666667,67.0,45.80208333333333,General
Village Hotel Bugis by Far East Hospitality,A good stay,Reasonable value and quite central. However the overpriced breakfast spoilt it a little. Would use this hotel again. The staff were great and were very friendly and helpful. The hotel is in the Arab area of Bugis and there are many suitable restaurants and local shops around.,5 out of 5,June 2023,4.0 of 5 stars,#92 of 372 hotels in Singapore,0.29375,0.5,64.6875,50.0,29.375,Value
Village Hotel Bugis by Far East Hospitality,Village Hotel Bugis,"My room was nice, service was ok. Hotel needs a good refreshing. Great area for food and a walk. The bed was really hard. I asked for ice a few times and they never showed. Food in the restaurant was good. Pool area needs an up lift. Very nice people and they were helpful.",3 out of 5,June 2023,4.0 of 5 stars,#92 of 372 hotels in Singapore,0.4542592592592592,0.6768518518518518,72.71296296296296,67.68518518518518,45.42592592592592,Amenities
Village Hotel Bugis by Far East Hospitality,,"I recently had stay at Village Hotel and I wanted to share some feedback regarding my experience. While I enjoyed my stay overall, I did encounter a situation that left me somewhat disappointed. When I requested breakfast for an additional guest, I was informed that there would be an extra charge. In my past stays at various hotels, it has often been customary to accommodate extra breakfast guests without an additional fee. I believe that a more accommodating policy in this regard could significantly improve the guest experience at Village Hotel. This might include considering a more flexible approach for accommodating additional breakfast guests, which could help set Village Hotel apart as a customer-centric establishment. I hope you take this feedback into consideration, as",3 out of 5,July 2023,4.0 of 5 stars,#92 of 372 hotels in Singapore,0.0729166666666666,0.3770833333333334,53.645833333333336,37.708333333333336,7.291666666666667,Value
Village Hotel Bugis by Far East Hospitality,Club lounge re-open,"Club lounge re-opened in this time. But lounge style is not same with past. There are several kind of snack and can of Coca-Cola / Sider , coffee/ tea server. And there are some kind of bord game and darts. Darts is electrical type but there is no AC adopter. If you have the mobile battery and usb typeC cable, you can enjoy darts game.",3 out of 5,July 2023,4.0 of 5 stars,#92 of 372 hotels in Singapore,0.0687499999999999,0.4343749999999999,53.43750000000001,43.43749999999999,6.874999999999999,Amenities
