ChatGPT
"

For 2017, there were 2 positive and 2 negative ratings in Cleaniness, 2 positive and 2 negative ratings in Services, 1 positive and 0 negative ratings in Value, 0 positive and 0 negative ratings in Amenities, 0 positive and 0 negative ratings in Location, and 1 positive and 1 negative ratings in General.

For 2018, there were 4 positive and 2 negative ratings in Cleaniness, 4 positive and 0 negative ratings in Services, 1 positive and 0 negative ratings in Value, 0 positive and 0 negative ratings in Amenities, 0 positive and 0 negative ratings in Location, and 4 positive and 1 negative ratings in General.

For 2019, there were 5 positive and 1 negative ratings in Cleaniness, 4 positive and 2 negative ratings in Services, 0 positive and 0 negative ratings in Value, 1 positive and 0 negative ratings in Amenities, 1 positive and 0 negative ratings in Location, and 0 positive and 0 negative ratings in General.

For 2020, there were 4 positive and 2 negative ratings in Cleaniness, 0 positive and 0 negative ratings in Services, 3 positive and 0 negative ratings in Value, 0 positive and 0 negative ratings in Amenities, 0 positive and 0 negative ratings in Location, and 2 positive and 0 negative ratings in General.

For 2021, there were 5 positive and 0 negative ratings in Cleaniness, 0 positive and 0 negative ratings in Services, 1 positive and 0 negative ratings in Value, 1 positive and 0 negative ratings in Amenities, 0 positive and 0 negative ratings in Location, and 2 positive and 0 negative ratings in General.

For 2022, there were 5 positive and 0 negative ratings in Cleaniness, 1 positive and 0 negative ratings in Services, 2 positive and 0 negative ratings in Value, 0 positive and 0 negative ratings in Amenities, 0 positive and 0 negative ratings in Location, and 2 positive and 0 negative ratings in General.

For 2023, there were 4 positive and 1 negative ratings in Cleaniness, 2 positive and 0 negative ratings in Services, 1 positive and 0 negative ratings in Value, 1 positive and 1 negative ratings in Amenities, 20 positive and 0 negative ratings in Location, and 13 positive and 1 negative ratings in General."
