hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
Village Hotel Katong by Far East Hospitality,Disappointing,"Arrived at 6.30pm after 13hr flight from UK and room not ready! Supplied free drinks and snacks, but just wanted shower and sleep. Staff all very friendly, but feels as though they need more people working there. Breakfast room bit of a disaster with dirty plates around and only paper cups for hot drinks. Housekeeping didn’t come until 5pm next day when we’d just got back from day out. Overall, a good location but a disappointing experience and not what we’ve experienced from other hotels in this chain on other visits to Singapore.",3 out of 5,September 2023,4.0 of 5 stars,#44 of 372 hotels in Singapore,0.1041666666666666,0.5366666666666667,55.208333333333336,53.66666666666667,10.416666666666668,Services
Village Hotel Katong by Far East Hospitality,Great location,"Arrived middle of the night but room was ready for us. Check-in was smooth and easy. Took a family room so it was relatively large. This time it was on the opposite end of the corridor, facing towards the city rather than Parkway Parade. Could see the pool from the room. Had two huge queen beds. Empty bar fridge, which is good. However, the smart phone was no longer there. Seems like they no longer provide this. Supermarket right below the hotel, so easy to get stuff. Would stay again if in Singapore for a short trip.",5 out of 5,December 2019,4.0 of 5 stars,#44 of 372 hotels in Singapore,0.2093537414965986,0.4862244897959183,60.46768707482993,48.62244897959184,20.935374149659864,Location
Village Hotel Katong by Far East Hospitality,My stay at the Village hotel Katong,"I love the room with bathtub and the peranakan style. Simply amazing And comfortable. Will definitely go back for staycation soon. However, one thing I am not secure about is the room door, I feel there is a need to install a door latch for security reasons.",4 out of 5,December 2019,4.0 of 5 stars,#44 of 372 hotels in Singapore,0.26,0.58,63.0,57.99999999999999,26.0,Cleaniness
Village Hotel Katong by Far East Hospitality,Mt les fraser,This is the second time we have stayed at this hotel stayed in the club room which was very nice club facilities are quite good Wendy from the club room is a real gem she looked after us perfectly the only complaint that we have is On their monitor They display when you book club room you can have 4 pm check out however when I went to Receotion they said no only if you book direct with the hotel which I find quite discriminative however after much to-ing and fro-ingI was able to check out at 4 pm apart from that we enjoyed the hotel,4 out of 5,December 2019,4.0 of 5 stars,#44 of 372 hotels in Singapore,0.3066666666666667,0.5854166666666668,65.33333333333333,58.54166666666668,30.66666666666667,Services
Village Hotel Katong by Far East Hospitality,Really bad experience,"We booked a superior double room 3 months before, specifying that it was our honeymoon. We arrived and they told us that they only had a twin room with separate beds because the double rooms were all already taken. We insisted showing our booking for a double room, they tried to sell us an “upgrade” to a deluxe double room for 140$ more (plus taxes) per night! I couldn’t believe how they were trying to scam us and ruin our honeymoon, I got really upset and after a while they said they would upgrade us to this “deluxe” room for free. Well, if that was a “deluxe” room then I must be Santa Claus, the room was old, stinking of humidity and with cheap motel-style, broken furnitures (look pictures down). The “king-size” bed were just two single beds put next to each other (again look",1 out of 5,December 2019,4.0 of 5 stars,#44 of 372 hotels in Singapore,0.1827903091060986,0.4356934001670844,59.13951545530494,43.569340016708445,18.279030910609865,Value
Village Hotel Katong by Far East Hospitality,Another great visit,"We have stayed numerous times before and this visit did not disappoint. We were particularly pleased that we were allowed a late check-out as our flight was after midnight. This meant that we could stay in the hotel until the last shuttle, which was most helpful.",5 out of 5,December 2019,4.0 of 5 stars,#44 of 372 hotels in Singapore,0.1399999999999999,0.5333333333333334,56.99999999999999,53.33333333333334,13.999999999999998,Services
Village Hotel Katong by Far East Hospitality,Value for money and fantastic service,"We had a wonderful stay in this hotel for 4 nights in Dec. The service provided from front desk to room ...was simply good and fast, and the staffs are friendly and helpful. Room was clean and spacious. Located in a strategic place and plenty of local foods to try out nearby. Value for money. Our stay here was a memorable one. We would like to thank Sankar from housekeeping for recommending us this hotel. It's because of him that we decided to stay in this fantastic hotel. Another thank you note to Sankar and team for keeping our room clean and tidy. We will definitely come back to this hotel the next time we visit Singapore.",5 out of 5,December 2019,4.0 of 5 stars,#44 of 372 hotels in Singapore,0.3467948717948718,0.5615384615384615,67.33974358974359,56.15384615384615,34.679487179487175,Services
Village Hotel Katong by Far East Hospitality,Bad Experience,We were 29 pax. 7 families. Had booked 8 rooms. Cockroaches and mosquitos in our rooms. Shower water overflowed into the entire room. No proper drainage. Had to shift/ change the rooms. Overall average hotel.,2 out of 5,December 2019,4.0 of 5 stars,#44 of 372 hotels in Singapore,-0.0375,0.28125,48.125,28.125,3.75,General
Village Hotel Katong by Far East Hospitality,Singapore Driving trip Dec 2019,Spacious room and overall cleanliness maintain at high quality. Value for money and complimentary car parking is a plus for those driving to Singapore. Strategy location at Katong area with varieties of food outlet nearby.,4 out of 5,December 2019,4.0 of 5 stars,#44 of 372 hotels in Singapore,0.1533333333333333,0.3466666666666667,57.66666666666666,34.66666666666667,15.333333333333332,Value
Village Hotel Katong by Far East Hospitality,Everything ok,"Everything was fine about the room (nothing wow, but ok). A lot of roadworks on the road near reception, but if wanting to walk round the area the road at the rear of the hotel is best. Would stay again if for 1 night.",5 out of 5,December 2019,4.0 of 5 stars,#44 of 372 hotels in Singapore,0.3194444444444445,0.5166666666666666,65.97222222222221,51.66666666666666,31.944444444444446,Location
