ChatGPT
":

For 2017:
Cleaniness: Positive = 1, Negative = 1 
Services: Positive = 1, Negative = 1 
Value: Positive = 0, Negative = 0 

For 2018:
Cleaniness: Positive = 3, Negative = 1 
Services: Positive = 4, Negative = 2
Value: Positive = 5, Negative = 0 

For 2019:
Cleaniness: Positive = 6, Negative = 3 
Services: Positive = 7, Negative = 3 
Value: Positive = 8, Negative = 2 

For 2020:
Cleaniness: Positive = 11, Negative = 3 
Services: Positive = 11, Negative = 5 
Value: Positive = 9, Negative = 3 

For 2021:
Cleaniness: Positive = 8, Negative = 2 
Services: Positive = 11, Negative = 3 
Value: Positive = 9, Negative = 4 

For 2022:
Cleaniness: Positive = 4, Negative = 1 
Services: Positive = 9, Negative = 2 
Value: Positive = 12, Negative = 2 

For 2023:
Cleaniness: Positive = 0, Negative = 1 
Services: Positive = 6, Negative = 0 
Value: Positive = 14, Negative = 4"
