hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
W Singapore - Sentosa Cove,Could be Better,"I've been travelling a lot more recently and the Marriott Group is my go to. I have stayed at the W Singapore twice. Once in October 2021 and again in May 2022. My family and I were very well taken care by Robert, Vijay, Nishita, Wai Meng and the General Manager, Nick for our first stay. When we stayed again my husband contacted Vijay to better plan our stay and we were greeted by the lovely Nishita who pampered my little ones with macarons and popcorn. Wai Meng from the breakfast cafe was amazing and remembered us! This time our stay was a let down. We were disappointed to find out that the staff who usually takes care of us were gone. Even so we expected service to be just as top notch as our last two stays. When we arrived around 11am, we were told that the room was not",1 out of 5,September 2023,5.0 of 5 stars,#12 of 16 hotels in Sentosa Island,0.1204629629629629,0.4525925925925926,56.02314814814815,45.25925925925926,12.046296296296296,Services
W Singapore - Sentosa Cove,Amazing experience!Perfect romantic getaway for couple!,"Got upgraded because it was our 5th year anniversary! As a member, they even surprised me with balloons and small chocolate cake. Room was modern with mood lights - super romantic. We were so happy there we decided to extend another night! Highly recommend this hotel for a getaway from the busy city and for couples, families.",5 out of 5,November 2017,5.0 of 5 stars,#12 of 16 hotels in Sentosa Island,0.2054166666666666,0.5758333333333333,60.27083333333333,57.58333333333333,20.541666666666668,Services
W Singapore - Sentosa Cove,Remote Location,"If you’re planning to spend most of your time in Sentosa or in the hotel itself, then this hotel is perfect for you. However, if you plan to explore Singapore, this may not be a good choice as location is very far from central and not easy to commute around",4 out of 5,November 2017,5.0 of 5 stars,#12 of 16 hotels in Sentosa Island,0.3522222222222222,0.6972222222222223,67.61111111111111,69.72222222222223,35.22222222222222,Location
W Singapore - Sentosa Cove,Wondrous W,"Waterfront view is nice as you see ships take berth or anchor Water pool is big enough for kids and families to play and swim, it comes w a spa for all guests to use Wide variety of breakfast items or stayers sWitchable lighting in the room to create different feel Wallet- Worthy! Went during Christmas period, they do have xmas-specific performance e.g. by a choral. However it is better for people who prefer a secluded location , the quayside isle has some F&B options but may not be the best choice around, but one can go over to 1 marina for some other (water) activities & food options too",4 out of 5,December 2017,5.0 of 5 stars,#12 of 16 hotels in Sentosa Island,0.2546296296296296,0.5305555555555554,62.731481481481474,53.05555555555554,25.46296296296296,Amenities
W Singapore - Sentosa Cove,lovely,"Trendy and modern. Love The Kitchen Table, which serves one of the top buffets in the entire of Singapore for Sunday brunch. Highly recommended. However, music at the swimming pool area is a bit loud, though it does make the place more lively and vibrant. Love the morning walk at Quayside Isle, with the row of restaurants and view of the marine, which is just beside W Singapore at Sentosa Cove.",5 out of 5,December 2017,5.0 of 5 stars,#12 of 16 hotels in Sentosa Island,0.3057300275482093,0.5634848484848484,65.28650137741046,56.34848484848484,30.573002754820934,Amenities
W Singapore - Sentosa Cove,W quality as always,"Sentosa is little off from Down Town Singapore, but around W there is very nice restaurants and naturally down stairs W is also very good steak house. Hotel pool and Gym are just super. Service and rooms are the standard W quality.",5 out of 5,January 2018,5.0 of 5 stars,#12 of 16 hotels in Sentosa Island,0.2178174603174603,0.5034920634920635,60.89087301587301,50.34920634920636,21.78174603174603,Amenities
W Singapore - Sentosa Cove,"Trendy, cool and relaxing","I love a W hotel, they are always very cool, with a very relaxing and trendy atmosphere. This is in Sentosa so a little bit out of the way of the main city, but easy enough to get about, buses to resorts world and in the city run regularly. There is a nice marina next to the hotel with a number of additional restaurants and bars to choose from. Because it is in Sentosa they are all very expensive (£10 a pint). The rooms were nice, very comfortable with good service round the hotel. Some things weren't ideal, the chair beds round the pool weren't the most comfortable, the service round the pool wasn't particularly attentive. There is a little button you can press for service, but this either didn't work or was ignored. The breakfast was a little disappointing, there was",4 out of 5,February 2018,5.0 of 5 stars,#12 of 16 hotels in Sentosa Island,0.1825,0.6199435897435898,59.12500000000001,61.994358974358974,18.250000000000004,Location
W Singapore - Sentosa Cove,Trendy hotel in Secluded Spot of Sentosa Island.,"Reserve an AWAY room for stays on March 2018. The room was promptly upgraded on check in to AWAY Spectacular room on check in. The room was great with plenty of space and personal plunge pool. I have the chance to try the breakfast at The Kitchen Table, and it was fantastic. Plenty of options and the taste is delicious. The main point of the hotel is the lobby. It was transformed into sort of night club at night. Will be very interested to return in the future!",5 out of 5,March 2018,5.0 of 5 stars,#12 of 16 hotels in Sentosa Island,0.4114583333333333,0.6197916666666667,70.57291666666666,61.97916666666667,41.14583333333333,Amenities
W Singapore - Sentosa Cove,Fantastic atmosphere,"The property was tucked away in a corner of Sentosa Cove making it very exclusive and private. We stayed in the Away Room with a plunge pool on the ground floor. The private plunge pool was great expect you don't get much of a view as it is hidden behind tall plants from the main pool area situated not far away. That being said, it gives you total privacy (unless someone decides to take the effort to peer from their balcony upstairs). The room was really spacious and so was the toilet. The room however, lacked a ""luxury"" feel considering the price point of W. The pool vibes was great, with music and good service by the pool. Free parking was provided as well.",5 out of 5,March 2018,5.0 of 5 stars,#12 of 16 hotels in Sentosa Island,0.1877777777777777,0.4977777777777778,59.38888888888889,49.77777777777778,18.77777777777777,Amenities
W Singapore - Sentosa Cove,Funky design,Had a great time when visiting the hotel with friends. Easy to get around to the marina from the hotel and quite central in regards to the area of Sentosa that I needed to be in. Would go again for cocktails....,5 out of 5,March 2018,5.0 of 5 stars,#12 of 16 hotels in Sentosa Island,0.4111111111111111,0.6111111111111112,70.55555555555556,61.11111111111112,41.11111111111112,Location
