hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
YOTEL Singapore,Yotel was decent,"The hotel rooms were wuite small to fit 3 people in it. Altough the rooms were small, the pool was actually quite nice and had a good view. The gym was quite small and had a little too few machines, altough if you improvised you could have done all the neccesary exercises.",4 out of 5,October 2023,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.0625,0.43333333333333335,53.125,43.333333333333336,6.25,Amenities
YOTEL Singapore,Staycation at Yotel,"Cool hotel, the room is small but cozy. Cabin was clean and view was good Early check in was allowed. Staff was friendly and helpful. Location was good and value for money. Will be back again for another staycation.",5 out of 5,February 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.23796296296296296,0.5,61.898148148148145,50.0,23.796296296296298,Value
YOTEL Singapore,What a stay!,"Love this hotel, it is such an experience, specialy when you come with kids. The robot, the high tech small room that you operate with remote and another suprise of bathroom with a city few!! The food was great and the service was quick too. Loving it so much!",5 out of 5,April 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.19808333333333333,0.47400000000000003,59.90416666666667,47.400000000000006,19.808333333333334,Amenities
YOTEL Singapore,Short stay cation,"Had a solo staycation at Yotel Singapore. Room was really small and but luckily for me, I didn't have a luggage so it wasn't that bad. Bed had an automatic uplift at the back and that was quite nice as I could watch the TV while sitting up straight. Had quite a few nice channels on the TV so I watched a few movies. Bed was also extremely soft, so I could roll around it and enjoy how fluffy it was. Location was excellent, it was just 5 to 10mins from Orchard mrt station. I managed to buy McDonald's and brought it back to my hotel room. Unfortunately, there was no table or chair so I could only eat on the bed. Toilet was very cool and had a nice large window outside. I like the large window very much. Would definitely go there again.",5 out of 5,May 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.1205654761904762,0.5109226190476192,56.02827380952381,51.09226190476191,12.05654761904762,Value
YOTEL Singapore,Recommended,"Small and cozy, smooth check in and out, Comfortable bed. Breakfast can have more choices, ordered orange but came half a cup. Don’t have a proper place for work. Convenient location. Overall recommended",4 out of 5,June 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.08541666666666668,0.40208333333333335,54.270833333333336,40.208333333333336,8.541666666666668,Value
YOTEL Singapore,Best Hotel Ever,"The place is clean. The staff that attend to us polite, professional and she mention everything with detail. The bed is comfy, the cabin room is cozy and nice. Modern kind of hotel. Overall experience is perfect.",5 out of 5,June 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.3333333333333333,0.59375,66.66666666666666,59.375,33.33333333333333,General
YOTEL Singapore,Staycation,The cabin was modern minimalistic. The toilet design was great with the 2 different types of blinds. The variety of channels to offer was good. But maybe the type of bed should be better as it was a little uncomfortable. Overall it was a great stay.,4 out of 5,June 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.22791666666666668,0.5,61.395833333333336,50.0,22.791666666666668,Cleaniness
YOTEL Singapore,"Great Staff, Great Stay!","The check in staff was super friendly, and he was detailed as he even wished me advanced Happy Birthday based on my particular. I had a connecting rooms and everything was superb! When I requested some amenities to be sent up to the room from the robots (Yoshi and Yolanda), the service crew was also nice enough to give me a call to tell us that the robots was low on battery and offered to send it up. (understandable because it was a weekend booking and everyone wants to see the robots in action!)",5 out of 5,June 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.3666666666666667,0.5708333333333332,68.33333333333333,57.08333333333332,36.66666666666667,Services
YOTEL Singapore,Relaxing Staycation for One,"I thoroughly enjoyed my stay at Yotel! Although I was wondering how the emphasis on technology and functionality would impact my overall experience, I must say it didn't matter much in the end. The staff were helpful, friendly and earnest in their service. When I needed a lightning cable and HDMI cable for my ipad, the mission control staff were quick to help (though I must say I was fortunate enough to snag a lightning cable before they were all taken). When I asked to spend my $40 F&B voucher over multiple visits to the restaurant rather than all at once as required, the young man speaking over the line made sure that that could happen since I was staying alone and would find it hard to eat and drink $40 worth of food at one go. The gym is rather small and could be better",4 out of 5,June 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.1994047619047619,0.4236111111111111,59.970238095238095,42.36111111111111,19.94047619047619,Services
YOTEL Singapore,Warm and cozy,"Although the cabin was quite small, it was just nice a fit for 2-3 guests. The overall comfort level was good and it was at a very good location. The robots which they utilized to transport up extra towels/water was really cool!",4 out of 5,June 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.3496875,0.49125,67.484375,49.125,34.96875,Amenities
YOTEL Singapore,Futuristic StayCay,"Our 3D2N futuristic staycay here was satisfactory. Check-in and check-out was smooth. Room was basic but great shower and even better bed - recliner mode and very comfy. Breakfast was okay. Special thanks to Syazwan for attending to us on both days during breakfast. A lot of yummy eateries around being in Orchard area. Overall, we’d come back and book a bigger room.",4 out of 5,June 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.26883116883116887,0.35876623376623373,63.44155844155844,35.87662337662337,26.883116883116887,Services
YOTEL Singapore,Motorcycle and Car parking tips,Great stay and service👍🏻👍🏻👍🏻👍🏻👍🏻 Tip for riders: open motorcycle parking at parking lot number C0036 - Claymore Rd (behind the hotel). Or park opposite the building at Anguilla Park. For cars: you may park at Anguilla Park for cheaper parking ;),5 out of 5,June 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.13,0.5900000000000001,56.49999999999999,59.00000000000001,13.0,Amenities
YOTEL Singapore,Hotel review,"Overall it was a good hotel , come to know about this hotel through booking site and saw this hotel and the city views and location wise was good , the bed was so comfortable making my sleep so enjoyable and it can be adjusted .",4 out of 5,July 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.49999999999999994,0.5833333333333334,75.0,58.333333333333336,49.99999999999999,General
YOTEL Singapore,Recent stay,"Stay was ok, shower was lousy, water flow was inconsistent, sleep was disruptive whole night. Free breakfast should have a option for Asian food also. Near to MRT is a plus point though so worth considering again.",3 out of 5,July 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.14285714285714285,0.38571428571428573,57.14285714285714,38.57142857142858,14.285714285714285,Amenities
YOTEL Singapore,-,hotel really stands out from the rest because they have robots to deliver items to your room and a huge open view of the city from their toilet that comes with blinds for privacy. room is small but cosy.,5 out of 5,July 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.06333333333333335,0.4,53.16666666666667,40.0,6.333333333333336,Cleaniness
YOTEL Singapore,Good for Celebration birthday,"This place good for couple Can releases mind View very nice I hope I can stay at yotel for the next time The robot very2 cute,bring macaroons for the birthday boy and sing a song My request all done with good",5 out of 5,July 2021,4.0 of 5 stars,#89 of 372 hotels in Singapore,0.5449999999999999,0.55,77.25,55.00000000000001,54.49999999999999,Amenities
