ChatGPT
"

For 2016:

Cleaniness: Positive: 3, Negative: 4
Services: Positive: 6, Negative: 0
Value: Positive: 8, Negative: 0
Amenities: Positive: 0, Negative: 0
Location: Positive: 0, Negative: 0
General: Positive: 0, Negative: 0

For 2017:

Cleaniness: Positive: 5, Negative: 6
Services: Positive: 4, Negative: 0
Value: Positive: 5, Negative: 0
Amenities: Positive: 0, Negative: 0
Location: Positive: 0, Negative: 0
General: Positive: 0, Negative: 0

For 2018:

Cleaniness: Positive: 4, Negative: 8
Services: Positive: 6, Negative: 0
Value: Positive: 10, Negative: 0
Amenities: Positive: 0, Negative: 0
Location: Positive: 0, Negative: 0
General: Positive: 0, Negative: 0

For 2019:

Cleaniness: Positive: 4, Negative: 5
Services: Positive: 7, Negative: 0
Value: Positive: 6, Negative: 0
Amenities: Positive: 0, Negative: 0
Location: Positive: 0, Negative: 0
General: Positive: 0, Negative: 0

For 2020:

Cleaniness: Positive: 10, Negative: 5
Services: Positive: 3, Negative: 0
Value: Positive: 9, Negative: 0
Amenities: Positive: 0, Negative: 0
Location: Positive: 0, Negative: 0
General: Positive: 0, Negative: 0

For 2021:

Cleaniness: Positive: 6, Negative: 7
Services: Positive: 3, Negative: 0
Value: Positive: 10, Negative: 0
Amenities: Positive: 0, Negative: 0
Location: Positive: 0, Negative: 0
General: Positive: 0, Negative: 0

For 2022:

Cleaniness: Positive: 4, Negative: 6
Services: Positive: 5, Negative: 0
Value: Positive: 8, Negative: 0
Amenities: Positive: 0, Negative: 0
Location: Positive: 0, Negative: 0
General: Positive: 0, Negative: 0

For 2023:

Cleaniness: Positive: 6, Negative: 4
Services: Positive: 6, Negative: 0
Value: Positive: 7, Negative: 0
Amenities: Positive: 0, Negative: 0
Location: Positive: 5, Negative: 0
General: Positive: 5, Negative: 0"
