hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
York Hotel Singapore,Excellent ambiance and perfect location,"i have stayed 2 nights in Singapore York Hotel. I had an amazing experience. rooms were quite big, neat and clean. facilities were fantastic. metro access is just 15 mins walk. cab booking is just 5 mins to reach. staff is friendly and hepfull. accomodating our luggage for early checkin and late checkout process is amazing and very professional. all in all, York Hotel is amazing place to stay.",5 out of 5,September 2023,4.0 of 5 stars,#119 of 372 hotels in Singapore,0.2871666666666667,0.5930000000000001,64.35833333333333,59.30000000000001,28.71666666666667,Services
York Hotel Singapore,Fair Price,"A little far from the bay, this hotel has everything you need. It's clean, well decorated, staff it's friendly and helpful. We had a double / singles room and it was spacious, comfy bed and plenty of towels. We had the breakfast included and there were plenty of options as it's a very well stacked buffet. We also ate at the Rose cafe one night, we had Singaporean food, it was our first time. Our waitress went above and beyond and explained us how to assemble the components of such delicious food. Also, the hotel has plenty of amenities: gym, pool, business center / meeting rooms and the internet it's very, very good. I recommend it.",4 out of 5,October 2019,4.0 of 5 stars,#119 of 372 hotels in Singapore,0.2703205128205128,0.5202564102564102,63.51602564102564,52.02564102564102,27.03205128205128,General
York Hotel Singapore,Great location,Great spot with 5minute walk to Orchard road shopping malls Had a family room - king bed and two singles and still heaps of space for all 4 of us Food halls and all Orchard road has to offer is a short walk away - close to Orchard MRT station which will is very easy to use and links you up with the whole city Would recommend to anyone 👍,4 out of 5,October 2019,4.0 of 5 stars,#119 of 372 hotels in Singapore,0.3908333333333333,0.6124999999999999,69.54166666666667,61.24999999999999,39.08333333333333,Location
York Hotel Singapore,Good to family,"room was very large and clean. The bed condition also good for our family. the breakfast was valuable. American, Thai, India, Chinese foods were served. However bathroom curtain smell was not good. =(",4 out of 5,October 2019,4.0 of 5 stars,#119 of 372 hotels in Singapore,0.0350340136054421,0.4938775510204082,51.75170068027211,49.38775510204082,3.503401360544219,Cleaniness
York Hotel Singapore,Good Old Hotel,"Service not as my expectation and what recommend and mentioned by online booking Not friendly staff at reception when check in ammenities in the room very minimal, no small towel, no shampoo may be because I made the reservation via online",3 out of 5,October 2019,4.0 of 5 stars,#119 of 372 hotels in Singapore,-0.0641666666666666,0.56,46.79166666666666,56.00000000000001,6.416666666666666,Services
York Hotel Singapore,Unexpectedly Superb!,"A wonderful hotel. Roomy, clean, centrally located with all the amenities one would require. The staff are exceptional, and courteous in their service. The hotel's restaurant - the White Rose - has a superb and in-expensive menu ranging from the best local cuisine in Singapore to some of the most popular dishes from around Asia. The service from staff is of the highest quality. if you're stopping in Singapore for a few days while on route to Europe or elsewhere, or taking a good break in Singapore alone, the York Hotel is highly recommended.",5 out of 5,October 2019,4.0 of 5 stars,#119 of 372 hotels in Singapore,0.4662222222222222,0.5893333333333334,73.3111111111111,58.93333333333334,46.62222222222222,Services
York Hotel Singapore,York Hotel Singapore,"We were very welcomed from the start to end of our stay a the York Hotel. The Hotel went above and beyond to help us with some delayed and unexpected travel arrangements. Accommodation was excellent, is easy walking distance to Orchard Road, rooms were spacious, staff were friendly and the service and facilities were great, food was delicious and varied to cover all tastes. We had a lovely time staying at this hotel and I would highly recommend it to other families.",5 out of 5,October 2019,4.0 of 5 stars,#119 of 372 hotels in Singapore,0.4039393939393939,0.6498484848484849,70.19696969696969,64.98484848484848,40.39393939393939,Services
York Hotel Singapore,A good place to stay for family,"Visiting Singapore for leisure, was not our first time staying at York Hotel. Clean room, enough for 2 adults and 2 children. Good access to shopping centre, easy to get taxi / online transportation. Overall staying experience was good.",4 out of 5,October 2019,4.0 of 5 stars,#119 of 372 hotels in Singapore,0.35,0.5095238095238096,67.5,50.95238095238096,35.0,Value
York Hotel Singapore,"Well located hotel, neat and pleasant",We stayed here for 2 nights. You can access this hotel via Scotts Road (about 5-6min walk up from Far East Plaza/Goodwood Park Hotel) or Orchard Road (about 8-9 min walk from next to Lucky Plaza / Paragon). Easy access to everything including the Somerset MRT station and the heart of Orchard Road. Rooms were neat and I like the large sink in the bathroom. Good amenities and very efficient housekeeping! I would highly recommend this hotel for a fuss free stay in the heart of Orchard. We didn't try the buffet breakfast but it looked good.,4 out of 5,December 2019,4.0 of 5 stars,#119 of 372 hotels in Singapore,0.329095238095238,0.5935238095238095,66.45476190476191,59.35238095238095,32.909523809523805,Location
York Hotel Singapore,Good for family,"The family room is spacious. Recommended for those with kids and want to stay together in the same room. Quite strategically located, near Orchard Road. The only thing that need to be improved is the room cleanliness",4 out of 5,December 2019,4.0 of 5 stars,#119 of 372 hotels in Singapore,0.0333333333333333,0.5083333333333333,51.66666666666667,50.83333333333333,3.333333333333333,Cleaniness
