ChatGPT
".

In 2016, there were 4 Positive responses in Cleaniness, 4 Negative responses in Services, 3 Positive responses in Value, 0 Negative responses in Amenities, 5 Positive responses in Location and 2 Positive responses in General. 

In 2017, there was 1 Positive response in Cleaniness, 1 Negative response in Services, 5 Positive responses in Value, 0 Negative responses in Amenities, 4 Positive responses in Location and 1 Positive response in General. 

In 2018, there were 2 Positive responses in Cleaniness, 4 Negative responses in Services, 5 Positive responses in Value, 0 Negative responses in Amenities, 6 Positive responses in Location and 0 Positive responses in General. 

In 2019, there were 6 Positive responses in Cleaniness, 4 Negative responses in Services, 5 Positive responses in Value, 1 Negative response in Amenities, 5 Positive responses in Location and 0 Positive responses in General. 

In 2020, there were 4 Positive responses in Cleaniness, 3 Negative responses in Services, 4 Positive responses in Value, 2 Negative responses in Amenities, 4 Positive responses in Location and 0 Positive responses in General. 

In 2021, there were 5 Positive responses in Cleaniness, 2 Negative responses in Services, 4 Positive responses in Value, 0 Negative responses in Amenities, 6 Positive responses in Location and 1 Positive response in General. 

In 2022, there were 1 Positive response in Cleaniness, 4 Negative responses in Services, 2 Positive responses in Value, 2 Negative responses in Amenities, 4 Positive responses in Location and 1 Positive response in General. 

In 2023, there were 4 Positive responses in Cleaniness, 0 Negative responses in Services, 3 Positive responses in Value, 0 Negative responses in Amenities, 5 Positive responses in Location and 2 Positive responses in General."
