hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
ibis Singapore on Bencoolen Hotel,Very good place to stay in Singapore,We spent about a week in Singapore and Ibis Singapore on Bencoolen and our experience was very very good! And there is a bus station right about an exit from hotel. Or you can find a metro station around as well.,5 out of 5,April 2018,3.0 of 5 stars,#107 of 372 hotels in Singapore,0.3952380952380952,0.471904761904762,69.76190476190476,47.1904761904762,39.523809523809526,Location
ibis Singapore on Bencoolen Hotel,Love their buffet breakfast!!!,Rooms in the hotel are not so big and so the bathrooms....but this place is near at Suntec City...they have wide varieties of food offered at buffet breakfast....receptionist are very well accomodating and speak english well!,5 out of 5,April 2018,3.0 of 5 stars,#107 of 372 hotels in Singapore,0.04,0.24,52.0,24.0,4.0,Cleaniness
ibis Singapore on Bencoolen Hotel,"Small Clean Room, and close to Bugis MRT(Train).","It's not a 5 star hotel but it never says it is. It's a good budget hotel, the room was very small but it was clean and had all I needed, a good shower, comfortable bed, airconditioned, a small fridge and TV. Good free internet. My room was on the 13th floor and I had a town view. It cost me $150 Singapore dollars per night. There is no pool. IBIS Bencoolen is close to Bugis MRT station, about a 10 minute walk through the busy Bugis market place. There is a 7 eleven next door for basic essentials, and plenty of markets, food stalls and shops nearby. When in Singapore try to find time to do ""Gardens by the Bay"" and the night ""Supertree grove sound and light show"", they are fantastic!",4 out of 5,April 2018,3.0 of 5 stars,#107 of 372 hotels in Singapore,0.2727777777777778,0.4963333333333334,63.638888888888886,49.63333333333334,27.27777777777778,Value
ibis Singapore on Bencoolen Hotel,Good Stay,We were at this nice hotel as a part of a delegation to an exhibition and convention. Near to Metro and was convenient to reach the Expo. Rooms a bit small but comfortable. Breakfast was good. Request for late checkout was however turned down curtly. Wish the associate would have checked with a manager rather than turning down the request abruptly.,5 out of 5,April 2018,3.0 of 5 stars,#107 of 372 hotels in Singapore,0.09043209876543207,0.5975308641975308,54.52160493827161,59.753086419753075,9.043209876543207,Services
ibis Singapore on Bencoolen Hotel,Charlie Graylish,We had 2 nights here after our holiday to Thailand on the way home to the uk . The hotel is lovely and clean and great location for the city and underground ( the staff are so polite ). We had a room on the top floor ( 16th) were the views were amazing over the city . We were asked at check-in if we would like a floor high or low . The breakfast is really good a huge selection to choose from . Book in advance at reception it’s cheaper !!!,5 out of 5,May 2018,3.0 of 5 stars,#107 of 372 hotels in Singapore,0.48976851851851855,0.6599999999999999,74.48842592592592,65.99999999999999,48.976851851851855,Value
ibis Singapore on Bencoolen Hotel,Not budget,Stayed for four nights. Very helpful staff. Great breakfast. Close to MRT. Also close to local food markets and gym that you can use free. Takes approximately 40 minutes by MRT to reach the hotel. Also easy for late check out,5 out of 5,May 2018,3.0 of 5 stars,#107 of 372 hotels in Singapore,0.16190476190476186,0.5547619047619048,58.09523809523809,55.47619047619048,16.190476190476186,Amenities
ibis Singapore on Bencoolen Hotel,Smart stay in Singapore,"The hotel is very eco-friendly and go green themed which was impressive. Rooms were small, but adequate. Very friendly staff. The facility also provides hair iron for borrowing if you need one. Breakfast is a lot, but almost same menu everyday. The hotel also has bambo bikes you can borrow which was really fun. Location is great. The entire stay was smooth and sound. Thanks Ibis Singapore on Bencoolen",5 out of 5,May 2018,3.0 of 5 stars,#107 of 372 hotels in Singapore,0.24791666666666665,0.455952380952381,62.39583333333333,45.5952380952381,24.791666666666664,Value
ibis Singapore on Bencoolen Hotel,Value stay,Hotel has good location with easy access of transport and restaurants around. Room size is good with suitable facility adequate for business travel. The wifi function well within hotel. Breakfast room is spacious and you could find many choice of food of good quality.,4 out of 5,May 2018,3.0 of 5 stars,#107 of 372 hotels in Singapore,0.5595238095238095,0.6023809523809524,77.97619047619048,60.238095238095234,55.952380952380956,Amenities
ibis Singapore on Bencoolen Hotel,Good place to stay,"IBIS Ben is a decent place to stay in Singapore. Pros: superb location, closer to all tourist spots, walkable distance to MRT, bus stop is just opposite, walkable distance to little India, friendly staff and good housekeeping. Cons: rooms are smaller compared to other ibis hotels (Malaysia, Thailand), no Indian food available.",4 out of 5,May 2018,3.0 of 5 stars,#107 of 372 hotels in Singapore,0.2587962962962963,0.5046296296296297,62.93981481481481,50.46296296296296,25.87962962962963,Value
ibis Singapore on Bencoolen Hotel,"Great location , food is nice , staff deliver their services quick and efficiency","Location is just 5 minutes walk from hotel to the nearest mrt station. Services by the staff also superb they entertain my every request and also quick and efficiency. Manage to try on their food that is located in the lobby, taste good and also reasonable price",5 out of 5,May 2018,3.0 of 5 stars,#107 of 372 hotels in Singapore,0.5583333333333333,0.675,77.91666666666667,67.5,55.833333333333336,Services
