hotelname,title,desc,reviewRatings,reviewDate,hotelClass,hotelRank,polarity,subjectivity,Normalized_Polarity,Normalized_Subjectivity,Normalized_Polarity_POS_NEG,Category
"voco Orchard Singapore, an IHG Hotel",Club convenience,We booked a Club room for about a week here and it was really enjoyable. The breakfast spread was phenomenal. The Club package came with afternoon tea and canape hour and I have to say it was well worth it. Free flow of drinks and quite a nice spread for canape hour. I think most days we didnt end up eating dinner because we had eaten so much. If I were to be critical of one thing the pool is quite dated and not very child friendly. Tiles were peeling off and the pool goes from kids section to deep very quickly. The service was really good though.. Our flight was delayed so we arrived around 2am and they greeted us by name when we walked into the hotel. Must have been the last guests to check in but shows that staff are paying attention which mirrored the rest of our stay,5 out of 5,February 2018,5.0 of 5 stars,#34 of 372 hotels in Singapore,0.31488095238095243,0.5011904761904763,65.74404761904762,50.11904761904763,31.488095238095244,Amenities
"voco Orchard Singapore, an IHG Hotel",Excellent location,"I was booked ther on busines several times. The rooms are functional, mid-size for Singapore and have quiet air conditioning. However the rooms facing Orchard road are quite noisy. The pool and the bar have a fantastic view over the city. On the overall the hotel needs a major renovation. The staf is very efficien and friendly.",3 out of 5,March 2018,5.0 of 5 stars,#34 of 372 hotels in Singapore,0.14821428571428572,0.3619047619047619,57.410714285714285,36.19047619047619,14.821428571428571,Amenities
"voco Orchard Singapore, an IHG Hotel",Great stay,All the staff we came across (from housekeeping to Concierge and wait staff) were so friendly and helpful. A special shout out to Kenny (who checked us in) and Vino (in the Exec Lounge) – both exceeded our expectations in top service.,4 out of 5,April 2018,5.0 of 5 stars,#34 of 372 hotels in Singapore,0.41071428571428575,0.5238095238095238,70.53571428571429,52.38095238095239,41.07142857142858,Services
"voco Orchard Singapore, an IHG Hotel",Always a pleasure to be back!,"The Hilton is like “home” for me in Singapore. Service, cleanliness and amenities are spot on. Lots of options to eat in and around. The patisserie is like a sweet jewellery shop. Evening you are in business, you will have chance to spare some time and treat you with some shopping. I will be back soon.",5 out of 5,April 2018,5.0 of 5 stars,#34 of 372 hotels in Singapore,0.175,0.325,58.75,32.5,17.5,Value
"voco Orchard Singapore, an IHG Hotel",Always takes an extra step for customer satisfaction,Been to a few Hilton properties and this particular property was incredibly good as other properties too. Located in on of the worlds most expensive streets and really busy place.. though very calm and relaxing. The room was really comfortable and the view from the room was amazing. Took Great care about us when we were in there.. nice but dangerous pool with an awesome roof top.,5 out of 5,July 2018,5.0 of 5 stars,#34 of 372 hotels in Singapore,0.2887777777777778,0.648888888888889,64.4388888888889,64.8888888888889,28.87777777777778,Amenities
"voco Orchard Singapore, an IHG Hotel",Our fourth visit to Singapore,"We love Singapore and try to get there every couple of years. We have stayed at the Marriott Hotel, Grand Hyatt , Four Seasons, Marina Bay Sands and decided to stay in the CBD and booked at the Hilton Hotel for a period of 7 days. We stayed in a suite which was very comfortable and as a result had access to the Executive Lounge for breakfast, afternoon tea and canapes in the evening which was great and certainly would recommend. The room had stunning views and the service was exemplary. The staff in the Executive lounge were all excellent with smiles on their faces even though they were very busy most days. Location is in Orchard Road which is perfect for shopping and in close proximity of the many malls. We would have no hesitation in recommending this hotel to travelers.",4 out of 5,July 2018,5.0 of 5 stars,#34 of 372 hotels in Singapore,0.5603896103896104,0.7555844155844156,78.01948051948052,75.55844155844156,56.03896103896104,Services
"voco Orchard Singapore, an IHG Hotel",A very average property but over priced,"I stayed for 1 night in Hilton Singapore for my transit travel from Manila to Delhi. The rooms are extremely basic both in terms of facilities & amenities and the size. On the positives, the property is close to lots of shopping malls and restaurants. Their breakfast buffet spread is great as well",3 out of 5,July 2018,5.0 of 5 stars,#34 of 372 hotels in Singapore,0.4,0.4375,70.0,43.75,40.0,Value
"voco Orchard Singapore, an IHG Hotel",Not my favourite Hilton,"As a Hilton Diamond member, I've stayed in many Hilton hotels. They's my go-to. Unfortunately this one is a little dated. The service is wonderful, but the rooms could use an upgrade. The lounge is lovely, and on the larger size for a hotel lounge which is great. While Orchard Road is a tourist destination in itself, I would not recommend staying here for a whole holiday. We were only here for a couple of days and while they were wonderful, we didn't really feel we were located in a holiday destination until we moved to our second hotel. If I'm here for business, I will stay in this hotel again. However I would not recommend it for a holiday.",3 out of 5,August 2018,5.0 of 5 stars,#34 of 372 hotels in Singapore,0.29270833333333335,0.6333333333333334,64.63541666666667,63.33333333333334,29.270833333333336,Services
"voco Orchard Singapore, an IHG Hotel",Old Friend Still a Joy!,"First stayed here in 1978 on my first Southeast Asia trip! Over the years over 20 stays! The penultimate stay was 1991. Makes it 27 years before this September! Some things are constant! Singapore itself, this great Hilton location, Shopping, the smiles of the staff!! 40 years of excellence!!",5 out of 5,September 2018,5.0 of 5 stars,#34 of 372 hotels in Singapore,0.4345703125,0.4375,71.728515625,43.75,43.45703125,Services
"voco Orchard Singapore, an IHG Hotel",Great place,"As a family of 5, we had 2 adjoining rooms on the Exec level. Staff were very helpful and catered to the kids. Rooms were a good size for the area and the location is very good. Food was also to a high standard (when considering the cost).",5 out of 5,October 2018,5.0 of 5 stars,#34 of 372 hotels in Singapore,0.39399999999999996,0.44400000000000006,69.69999999999999,44.400000000000006,39.4,Value
