Entity,Count,Avg Sentiment
experience,78,0.5705128164054492
executive room,8,0.27499999664723873
executive rooms,3,-0.033333333830038704
room,285,0.2807017522161467
booking,12,0.08333333333333333
level,25,0.08800000011920929
service,229,0.64279475909003
choice,15,0.2733333334326744
hotel,366,0.3775956291155737
raymond,316,0.6265822786460572
staff,240,0.6091666636367639
hospitality,49,0.6306122412182846
food menu,1,0.8999999761581421
check out,1,0.699999988079071
ala carte,1,0.8999999761581421
anyone,7,0.2857142857142857
quality,11,0.7090909074653279
f&b,1,0.8999999761581421
singapore,53,0.4603773647884153
arrival,15,0.25333333214124043
check-in,18,0.1722222235467699
raymond & siti,3,0.7333333293596903
anybody,2,0.5
f1 season,1,0.4000000059604645
new york city,1,0.10000000149011612
countries,1,0.0
kindness,5,0.6200000047683716
siti,29,0.5758620708666998
amara,145,0.5317241381468444
club floor,1,0.699999988079071
deck,1,0.699999988079071
elements,6,0.43333333854873973
attention,18,0.4888888912068473
restaurants,40,0.44000000040978193
tras,4,0.6499999910593033
vin,1,0.800000011920929
sights,1,0.800000011920929
drinks,7,0.5142857198204313
location,109,0.6862385292802382
jessy,4,0.6499999947845936
concierge,24,0.4708333319673936
help,23,0.5565217461275018
thanks,73,0.7780821874533614
mails,1,0.20000000298023224
checkout,18,0.2944444509016143
especial,1,0.800000011920929
bathtub,13,0.2692307698038908
roon,1,0.6000000238418579
checking,3,0.3333333457509677
touch,4,0.4000000059604645
engineering staff,1,0.800000011920929
housekeepers,1,0.800000011920929
stay,236,0.5813559307637861
mention,13,0.6384615347935603
reception staff,8,0.5500000044703484
details,12,0.5166666743656
concierge raymond,2,0.75
amara hotel,42,0.4833333306014538
onah,1,0.6000000238418579
goodies,1,0.20000000298023224
refurbishment,6,-2.483526865641276e-09
shout,3,0.6666666666666666
hugs,1,0.0
children,3,0.09999999403953552
cleaner,1,0.6000000238418579
place,40,0.5149999998509884
breakfast,67,0.3641791046777768
floor,21,0.2000000019158636
buffet spread,2,0.4000000059604645
coziest,1,0.6000000238418579
reception,42,0.340476191646996
resort,1,0.8999999761581421
services,21,0.6523809482653936
one,33,0.24848484722050754
sheets,2,-0.04999999701976776
amenities.,1,0.30000001192092896
needs.,1,0.20000000298023224
care,40,0.5400000039488078
memories,1,0.8999999761581421
person,22,0.6045454550873149
check,30,0.4633333337803682
experience.,1,0.699999988079071
