Review,Avg Entity Sentiment,Actual,Predicted
"Very poor experience while checking in - had booked an executive room, but while checking in I was told that executive rooms are not available and I should go with a deluxe room (one level down). Worst - they said I can cancel the booking and leave Extremely disappointed with the service",-0.4142857257808958,0,0
"My Choice of hotel always simply because the hospitality rendered by the staff especially my friend Raymond. Check in Check Out was was very efficient. I like the Ala Carte food menu too, well prepared, good quality. F&B staff cheerful and nice. Room was well kept too. Highly recommend to anyone",0.6230769180334531,1,1
Amazing staff! First time in Singapore & happy to receive such a welcoming arrival. I arrived 3 hours prior check-in and they made it possible for me to check-in earlier even in F1 Season! Can recommend it to anybody else! Thank you for the personal touch Raymond & Siti!,0.5125000029802322,1,1
"I live in New York City and have traveled to over 50 countries. But the kindness exhibited by Raymond, Siti and the staff at Amara really blew me away. After traveling for 24 hours to get to Singapore, they were incredibly kind and helpful and helped me settle in. The quality of the hotel and the room were outstanding. I’d gladly come back to experience this level of service again.",0.6000000009579318,1,1
"We stayed at the wonderful Amara on the club floor. Service and attention by concierge Raymond was superb. Drinks on the deck at Elements on Tras were delicious with Vin and Jessy. Great location, close to many restaurants and easy to get to the many sights.",0.7785714268684387,1,1
"Very friendly concierge, of great help to me. Especial thanks to Raymond. He helped me receive mails even a couple of days after checkout. The room is good. I enjoyed the bathtub. Roon service is also careful and prompt",0.6636363606561314,1,1
"Checked in smoothly on a typical checking in hour, was assisted immediately. Reception staff, engineering staff and housekeepers were really friendly and had a nice personal touch which makes the stay more enjoyable. Special mention to both Raymond and Siti whose service was impeccable. Even the tiniest details were looked after and the overall experience was one to remember!",0.6833333373069763,1,1
"we had a great stay at Amara Hotel. The service was warm and friendly and a very big shout out to Concierge Raymond who was so very friendly and warm to our two young children. He spoiled them buying goodies for them and greeting them with warm hugs everyday ! Also a big thank you to manger Onah , she was very accommodating by changing our room to a cleaner more comfortable room on a high floor . The breakfast was excellent and had a great buffet spread. we would stay here again when we come back for sure especially since a refurbishment is going to take place to make it more fresh and new.",0.5764705977019142,1,1
"The room was the coziest in Singapore. The stay was delightful and the staff were very cooperating and warm, especially Mr. Raymond at Reception. He was humorous and charming. Loved the resort! Thank you for your services!!",0.7666666706403097,1,1
I had a delightful stay at Amara. From the sheets to the amenities. :) The location is accesible to my needs. :) One of the best memories i had is meeting Raymond. Before going to Amara to check in i was really tired... but when Raymond welcomed and assisted me... i felt taken care of and very well assisted. He is really funny and made u feel at home... The person who also assisted me in my check in was also diligent and had fast service. :) Thank you Raymond and Amara hotel. For a great experience. :),0.5866666664679845,1,1
Bumped into the general manager Chan and suprised at how humble and helpful he was. His team was brilliant. from Spacious rooms to friendly faces all over. The location was great. big shout out to Front Manager Oonah and Mustaffa. Thank you for making my work trip seamless.,0.6555555413166682,1,1
"I was very surprised how friendly and helpful the hotel workers are. Especially Raymond, helped us arrange airport pickup and leave us no worries behind. He’s very fast and efficient, and that’s the service we need.",0.7400000095367432,1,1
"Most disappointing experience I had in my lifetime . Dirty kettle, room service guy do not do their job properly, if you call room service they come after 45 mins. I was super frustrated. Booking Amara is just a waste of money and time. Their service is worst in Singapore.",-0.6909090984951366,0,0
Overall it was a good experience and the staff was very polite though in the buffet vegetarian spread was really less and Raymond from the front office entertained us the whole time so all in all it was a good experience and the room sizes were really good and hence very spacious.,0.4714285731315613,1,1
"I’m really unsure how this hotel has so many good reviews. The pros were that the hotel was close to Chinatown, lots of restaurants and eateries, transport, a supermarket. The cons were the air conditioning was super loud, keeping me awake half the night. The room had a stale, musty smell overlaid with a chemical cleaning smell. A couple of the electrical outlets only worked intermittently. I thought it was my adapter but when we moved on to other hotels they worked perfectly fine. One pillow felt crumpled into bits like it’d been around long past any use by date. One of the lifts had tape hastily placed over the lift button. But worst of all, on our last night we had a smoke smell in our room. I rang the front desk (twice) thinking they would initiate an investigation into",-0.13125000125728548,0,2
Raymond is super helpful .and knowledgeable . Always remember me . Cause I’m a regular. He remembers all my requests and even my vehicle number. I feel very welcome and at home . Thank you v very very much.,0.5999999903142452,1,1
"It’s just so old and tired now. Dangerous plugs, chipped furniture, no USB, noisy air con and drains and way overpriced for what you get. The pool is nice and the breakfast is good. I will say, we booked two rooms and a few days before, I contacted the hotel to ask them to remove one night stay on one of the rooms and they refused. No explanation, no customer service - just all about the money. Soulless, like the hotel. It’s 2023, I think peoples expectations are higher in service and experience for what the Amara offers. It feels like it might have been good 20 years ago.",-0.11363636058839885,0,2
"We are staying at the Amara hotel for a business trip. The hotel is well located. The staff is really nice and friendly. I had a really warm welcome from Raymond at check in. Darryl organised our meeting facilities and the contact was always smooth and friendly. Once here, everthing was well organised. We are definely coming back!",0.44166666828095913,1,1
"Nice staff even though issues at check in with a confusion regarding bag storage. Hotel seems generally very tired, this was probably the place to be 15-20years ago but now needs a full facelift. We were looking forward 1 night stay here on our return to Europe, it was booked specially because of the pool area and us wanting a relaxing time before a near 14h flight. However there are 3 large building sites surrounding the hotel with non stop drilling during daytime making the tranquil idea of pool a no go. Other guests look like they have found their own solution with either earplugs, AirPods, or personal speakers to try and blast out the building noise. I appreciate this is not the hotels fault however would’ve been handy to know before hand. Maybe I would return in 1-2years",0.0,0,2
"Stayed in the apartment-style room; lots of space, nice bathrooms and comfortable beds. The amenities and complimentary services provided were thoughtful and great. The location of the hotel is amazing as you are essentially at the centre of all tourist attractions and you can easily take an MRT to any location as the stations for 2 different lines are within a 5 minute walk. Additionally, there’s a mall attached to the hotel, local markets on the opposite side as well as two 7-elevens. Highly recommend this hotel when in Singapore.",0.5217391304347826,1,1
"This is not a 4 star standard hotel, more like a 3 star maximum. Firstly, our check in was great, Leslie was lovely & couldn’t be more helpful. We were upgraded from a deluxe to a premier room. Fantastic we thought! This was very short lived. The hallway and room had a terrible smell of damp, so much so we had to leave our room. Reception upgraded us once more with no question, to a suite. This hallway/ room seemed ok for the first day. The hotel is tired and dirty. The carpets are not cleaned/ hoovered around the perimeter, thick dust and dirt is visible everywhere. Wallpaper is taped up and dirty marks all over. Our bathroom had splatters on the bath which I do not want to know about (see photo) this was never cleaned. The second day, the hall started smelling of damp, not",-0.22857143144522393,0,0
"Thank you Rajeev and team for taking care of the banquet and requests from our guests. They have a professional team and was able to solve matters calmly. Had a enjoyable evening. Thank you, appreciate it",0.7624999955296516,1,1
Good hospitality and good food. Thank you for the nice lunch banquet organized for my company. It was also a nice touch when Raymond made a balloon sword for my colleague’s son. There’s a nice offer at their elements restaurant for 1 for 1.,0.4727272750301795,1,1
"The service staff was extremely friendly, and the rooms were clean. The hotel is conveniently located just 5 to 10 minutes away from two nearby MRT stations, Tanjong Pagar and Maxwell, making transportation very convenient. Additionally, there is a supermarket just across the main entrance of the hotel, so you don't have to wander around if you forget to bring any daily necessities. Overall, I am satisfied with the service of this hotel, and I would definitely come back if I have the opportunity to visit Singapore again.",0.443750012665987,1,1
If there was a score less than 1 I would definitely rate it a zero. Mould in hallways and showers and bath also in bedroom and living area. Staff stealing money from room and management covering for them in a manner. Be warned when you see a safe in room as big as the one you have here. Also food for breakfast was cold and tasteless. Been to Singapore every year for 30 years. Not good now.,-0.23529411677051992,0,0
"We had a pleasant stay at Amara Singapore. While the hotel offered a nice experience, what truly made our trip memorable was the outstanding service from the reception staff. Raymond, in particular, deserves special mention for his exceptional assistance with our travel requirements and his insightful tourist recommendations. His efforts went a long way in enhancing our overall stay. We are genuinely impressed and would enthusiastically choose to stay at Amara Singapore again in the future.",0.6200000067551931,1,1
"Everything was great with the room arrangement to the meeting setting. The hotel location is good, near to eateries. Thanks to Rajeev and banquet team for taking care of our group meeting, we had a smooth meeting in the hotel. Great job! Keep up the good service!",0.7857142899717603,1,1
decent stay for a quick night and the staff is super extremely humble and helpful and very cooperative. recommended with small group enjoy your stay and the good staff with a decent weather as well..,0.8499999940395355,1,1
"The hotel staff are friendly, especially Mr. Raymond. He was so helpful and kind to help me with my needs. The breakfast food was also diverse and good. I highly recommend you to book Amara for your stay in SG.",0.7375000044703484,1,1
"It is my 1st time to have these kind of good experiences when emirates flight delay, free taxi free hotel free meals make me very happy and have a wonderful day. All the people is very kind and nice.",0.7166666587193807,1,1
